OA,ts0580001,ts0580002,ts0580003,ts0580004,ts0580005,ts0580006,ts0580007,ts0580008,ts0580009,ts0580010,ts0580011,ts0580002_PCT,ts0580003_PCT,ts0580004_PCT,ts0580005_PCT,ts0580006_PCT,ts0580007_PCT,ts0580008_PCT,ts0580009_PCT,ts0580010_PCT,ts0580011_PCT
E00144867,162,25,38,1,8,10,6,4,4,41,25,15.432098765432098,23.456790123456788,0.6172839506172839,4.938271604938271,6.172839506172839,3.7037037037037033,2.4691358024691357,2.4691358024691357,25.308641975308642,15.432098765432098
E00144868,213,66,23,5,10,13,13,3,7,57,16,30.985915492957744,10.7981220657277,2.3474178403755865,4.694835680751173,6.103286384976526,6.103286384976526,1.4084507042253522,3.286384976525822,26.76056338028169,7.511737089201878
E00144869,120,26,20,1,6,4,4,4,0,39,16,21.666666666666668,16.666666666666664,0.8333333333333334,5,3.3333333333333335,3.3333333333333335,3.3333333333333335,0,32.5,13.333333333333334
E00144870,181,22,36,3,12,17,8,4,1,55,23,12.154696132596685,19.88950276243094,1.6574585635359116,6.629834254143646,9.392265193370166,4.41988950276243,2.209944751381215,0.5524861878453038,30.386740331491712,12.70718232044199
E00144871,150,34,30,4,5,9,9,1,0,40,18,22.666666666666664,20,2.666666666666667,3.3333333333333335,6,6,0.6666666666666667,0,26.666666666666668,12
E00144872,96,16,22,5,5,7,2,2,2,21,14,16.666666666666664,22.916666666666664,5.208333333333334,5.208333333333334,7.291666666666667,2.083333333333333,2.083333333333333,2.083333333333333,21.875,14.583333333333334
E00144873,100,14,17,5,4,12,11,2,3,17,15,14.000000000000002,17,5,4,12,11,2,3,17,15
E00144874,93,10,28,2,2,8,1,2,2,28,10,10.75268817204301,30.107526881720432,2.1505376344086025,2.1505376344086025,8.60215053763441,1.0752688172043012,2.1505376344086025,2.1505376344086025,30.107526881720432,10.75268817204301
E00144876,136,34,14,6,9,4,5,3,2,44,15,25,10.294117647058822,4.411764705882353,6.61764705882353,2.941176470588235,3.6764705882352944,2.2058823529411766,1.4705882352941175,32.35294117647059,11.029411764705882
E00144877,198,42,16,6,5,7,16,3,6,71,26,21.21212121212121,8.080808080808081,3.0303030303030303,2.525252525252525,3.535353535353535,8.080808080808081,1.5151515151515151,3.0303030303030303,35.858585858585855,13.131313131313133
E00144878,237,55,33,8,8,10,13,3,2,83,22,23.20675105485232,13.924050632911392,3.375527426160337,3.375527426160337,4.219409282700422,5.485232067510549,1.2658227848101267,0.8438818565400843,35.0210970464135,9.282700421940929
E00144879,148,33,20,3,5,5,6,5,4,53,14,22.2972972972973,13.513513513513514,2.027027027027027,3.3783783783783785,3.3783783783783785,4.054054054054054,3.3783783783783785,2.7027027027027026,35.810810810810814,9.45945945945946
E00144880,180,42,31,5,9,10,12,4,5,48,14,23.333333333333332,17.22222222222222,2.7777777777777777,5,5.555555555555555,6.666666666666667,2.2222222222222223,2.7777777777777777,26.666666666666668,7.777777777777778
E00144881,170,44,27,3,14,8,4,4,3,38,25,25.882352941176475,15.88235294117647,1.7647058823529411,8.235294117647058,4.705882352941177,2.3529411764705883,2.3529411764705883,1.7647058823529411,22.35294117647059,14.705882352941178
E00144882,131,18,13,3,4,8,3,3,2,57,20,13.740458015267176,9.923664122137405,2.2900763358778624,3.0534351145038165,6.106870229007633,2.2900763358778624,2.2900763358778624,1.5267175572519083,43.51145038167939,15.267175572519085
E00144883,89,13,15,3,4,5,1,1,2,27,18,14.606741573033707,16.853932584269664,3.3707865168539324,4.49438202247191,5.617977528089887,1.1235955056179776,1.1235955056179776,2.247191011235955,30.337078651685395,20.224719101123593
E00144884,158,22,29,6,14,10,9,0,5,51,12,13.924050632911392,18.354430379746837,3.79746835443038,8.860759493670885,6.329113924050633,5.69620253164557,0,3.1645569620253164,32.278481012658226,7.59493670886076
E00144885,109,22,16,2,1,11,3,1,1,28,24,20.18348623853211,14.678899082568808,1.834862385321101,0.9174311926605505,10.091743119266056,2.7522935779816518,0.9174311926605505,0.9174311926605505,25.688073394495415,22.018348623853214
E00144886,144,18,22,5,5,7,4,3,0,61,19,12.5,15.277777777777779,3.4722222222222223,3.4722222222222223,4.861111111111112,2.7777777777777777,2.083333333333333,0,42.36111111111111,13.194444444444445
E00144887,203,51,31,3,8,8,11,5,7,55,24,25.12315270935961,15.270935960591133,1.477832512315271,3.9408866995073892,3.9408866995073892,5.41871921182266,2.4630541871921183,3.4482758620689653,27.093596059113302,11.822660098522167
E00144888,121,22,30,3,7,4,6,1,1,34,13,18.181818181818183,24.793388429752067,2.479338842975207,5.785123966942149,3.3057851239669422,4.958677685950414,0.8264462809917356,0.8264462809917356,28.09917355371901,10.743801652892563
E00144889,172,45,32,3,13,9,11,1,4,27,27,26.16279069767442,18.6046511627907,1.744186046511628,7.55813953488372,5.232558139534884,6.395348837209303,0.5813953488372093,2.3255813953488373,15.69767441860465,15.69767441860465
E00144891,166,39,24,3,3,4,5,0,5,52,31,23.49397590361446,14.457831325301203,1.8072289156626504,1.8072289156626504,2.4096385542168677,3.0120481927710845,0,3.0120481927710845,31.32530120481928,18.67469879518072
E00144892,288,31,46,7,15,14,16,10,10,104,35,10.76388888888889,15.972222222222221,2.430555555555556,5.208333333333334,4.861111111111112,5.555555555555555,3.4722222222222223,3.4722222222222223,36.11111111111111,12.152777777777777
E00144894,162,78,15,2,8,5,7,2,2,21,22,48.148148148148145,9.25925925925926,1.2345679012345678,4.938271604938271,3.0864197530864197,4.320987654320987,1.2345679012345678,1.2345679012345678,12.962962962962962,13.580246913580247
