OA,ts0200001,ts0200002,ts0200003,ts0200002_PCT,ts0200003_PCT
E00044438,0,0,0,NA,NA
E00044441,0,0,0,NA,NA
E00044445,0,0,0,NA,NA
E00044449,0,0,0,NA,NA
E00170221,0,0,0,NA,NA
E00170228,0,0,0,NA,NA
E00044451,0,0,0,NA,NA
E00044452,0,0,0,NA,NA
E00044457,0,0,0,NA,NA
E00170240,0,0,0,NA,NA
E00044427,0,0,0,NA,NA
E00044433,0,0,0,NA,NA
E00044454,0,0,0,NA,NA
E00044455,0,0,0,NA,NA
E00044460,0,0,0,NA,NA
E00044425,0,0,0,NA,NA
E00044426,0,0,0,NA,NA
E00044458,0,0,0,NA,NA
E00170239,0,0,0,NA,NA
E00044428,0,0,0,NA,NA
E00044431,0,0,0,NA,NA
E00044434,0,0,0,NA,NA
E00044440,0,0,0,NA,NA
E00044446,0,0,0,NA,NA
E00044244,0,0,0,NA,NA
E00044257,0,0,0,NA,NA
E00044260,0,0,0,NA,NA
E00182881,0,0,0,NA,NA
E00182905,0,0,0,NA,NA
E00044253,0,0,0,NA,NA
E00044254,0,0,0,NA,NA
E00044256,0,0,0,NA,NA
E00044259,0,0,0,NA,NA
E00044262,0,0,0,NA,NA
E00044263,0,0,0,NA,NA
E00044267,0,0,0,NA,NA
E00044268,0,0,0,NA,NA
E00044269,0,0,0,NA,NA
E00044270,0,0,0,NA,NA
E00044245,0,0,0,NA,NA
E00044261,0,0,0,NA,NA
E00044264,0,0,0,NA,NA
E00044265,1,0,1,0,100
E00044266,0,0,0,NA,NA
E00044442,0,0,0,NA,NA
E00044443,0,0,0,NA,NA
E00044444,0,0,0,NA,NA
E00044447,0,0,0,NA,NA
E00044448,0,0,0,NA,NA
E00044429,0,0,0,NA,NA
E00044432,0,0,0,NA,NA
E00044435,0,0,0,NA,NA
E00044437,0,0,0,NA,NA
E00044439,0,0,0,NA,NA
E00044461,0,0,0,NA,NA
E00044272,0,0,0,NA,NA
E00044278,0,0,0,NA,NA
E00044279,0,0,0,NA,NA
E00044281,0,0,0,NA,NA
E00170241,0,0,0,NA,NA
E00044273,0,0,0,NA,NA
E00044275,0,0,0,NA,NA
E00044276,0,0,0,NA,NA
E00170245,0,0,0,NA,NA
E00044388,0,0,0,NA,NA
E00044394,0,0,0,NA,NA
E00044396,0,0,0,NA,NA
E00044397,0,0,0,NA,NA
E00044398,0,0,0,NA,NA
