OA,ts0080001,ts0080002,ts0080003,ts0080002_PCT,ts0080003_PCT
W00005518,341,180,161,52.785923753665685,47.214076246334315
W00005519,370,196,174,52.972972972972975,47.02702702702703
W00005520,324,147,177,45.370370370370374,54.629629629629626
W00005521,263,136,127,51.71102661596958,48.28897338403042
W00005522,314,164,150,52.22929936305732,47.77070063694268
W00005523,277,140,137,50.54151624548736,49.458483754512635
W00005414,292,149,143,51.02739726027398,48.97260273972603
W00005415,394,201,193,51.01522842639594,48.984771573604064
W00005416,352,171,181,48.57954545454545,51.42045454545454
W00005417,262,146,116,55.72519083969466,44.274809160305345
W00005418,306,142,164,46.40522875816993,53.59477124183007
W00005406,255,124,131,48.627450980392155,51.37254901960784
W00005407,295,151,144,51.186440677966104,48.8135593220339
W00005419,252,129,123,51.19047619047619,48.80952380952381
W00005420,328,168,160,51.21951219512195,48.78048780487805
W00005421,286,152,134,53.14685314685315,46.85314685314685
W00005408,240,134,106,55.833333333333336,44.166666666666664
W00005409,254,122,132,48.031496062992126,51.96850393700787
W00005410,284,136,148,47.88732394366197,52.112676056338024
W00005411,442,215,227,48.64253393665158,51.35746606334841
W00005412,220,98,122,44.54545454545455,55.45454545454545
W00005413,213,112,101,52.58215962441315,47.417840375586856
W00005434,240,110,130,45.83333333333333,54.166666666666664
W00005439,329,158,171,48.02431610942249,51.97568389057751
W00005440,306,159,147,51.9607843137255,48.03921568627451
W00005441,227,108,119,47.57709251101321,52.42290748898678
W00005445,311,172,139,55.30546623794213,44.69453376205787
W00005447,472,241,231,51.059322033898304,48.940677966101696
W00005486,271,137,134,50.55350553505535,49.44649446494465
W00005487,271,138,133,50.92250922509225,49.07749077490775
W00005488,327,166,161,50.764525993883794,49.235474006116206
W00005489,267,143,124,53.558052434456926,46.441947565543074
W00005490,281,131,150,46.619217081850536,53.380782918149464
W00005493,346,162,184,46.82080924855491,53.179190751445084
W00005199,318,161,157,50.62893081761006,49.37106918238994
W00005213,365,188,177,51.50684931506849,48.49315068493151
W00005224,289,134,155,46.36678200692042,53.63321799307958
W00009956,248,120,128,48.38709677419355,51.61290322580645
W00009966,386,212,174,54.92227979274611,45.07772020725388
W00005202,463,245,218,52.915766738660906,47.084233261339094
W00005211,280,132,148,47.14285714285714,52.85714285714286
W00005221,273,137,136,50.18315018315018,49.81684981684982
W00005227,284,149,135,52.46478873239436,47.53521126760563
W00005228,226,112,114,49.557522123893804,50.442477876106196
W00005204,338,165,173,48.81656804733728,51.183431952662716
W00005212,354,188,166,53.10734463276836,46.89265536723164
W00005215,308,147,161,47.72727272727273,52.27272727272727
W00005223,282,137,145,48.58156028368794,51.41843971631206
W00005314,488,255,233,52.254098360655746,47.74590163934426
W00005315,294,155,139,52.721088435374156,47.27891156462585
W00005316,266,135,131,50.75187969924813,49.24812030075188
W00005317,289,155,134,53.63321799307958,46.36678200692042
W00005214,235,118,117,50.212765957446805,49.787234042553195
W00005216,229,126,103,55.021834061135365,44.97816593886463
W00005218,290,135,155,46.55172413793103,53.44827586206896
W00005220,309,149,160,48.22006472491909,51.7799352750809
W00005222,294,148,146,50.34013605442177,49.65986394557823
W00005217,318,156,162,49.056603773584904,50.943396226415096
W00005219,311,168,143,54.019292604501615,45.98070739549839
W00005225,323,184,139,56.965944272445824,43.034055727554176
W00005226,304,150,154,49.34210526315789,50.6578947368421
W00005203,327,165,162,50.45871559633027,49.54128440366973
W00005205,267,131,136,49.063670411985015,50.936329588014985
W00005230,293,148,145,50.51194539249146,49.48805460750853
W00010360,345,176,169,51.01449275362319,48.98550724637681
W00010447,197,111,86,56.34517766497462,43.65482233502538
W00005206,246,129,117,52.4390243902439,47.5609756097561
W00005207,268,133,135,49.62686567164179,50.373134328358205
W00005229,252,125,127,49.60317460317461,50.39682539682539
W00009960,262,119,143,45.41984732824427,54.58015267175572
W00009961,419,213,206,50.83532219570406,49.16467780429594
W00009970,246,125,121,50.81300813008131,49.1869918699187
W00010448,216,107,109,49.53703703703704,50.46296296296296
W00010449,257,131,126,50.97276264591439,49.0272373540856
W00005243,263,145,118,55.13307984790875,44.866920152091254
W00005247,295,143,152,48.47457627118644,51.52542372881356
W00005248,288,152,136,52.77777777777778,47.22222222222222
W00005249,241,131,110,54.356846473029044,45.643153526970956
W00005250,477,255,222,53.459119496855344,46.540880503144656
W00005437,248,148,100,59.67741935483871,40.32258064516129
