OA,ts0660001,ts0660002,ts0660003,ts0660004,ts0660005,ts0660006,ts0660007,ts0660008,ts0660009,ts0660010,ts0660011,ts0660012,ts0660013,ts0660014,ts0660015,ts0660016,ts0660017,ts0660018,ts0660019,ts0660020,ts0660021,ts0660022,ts0660023,ts0660024,ts0660025,ts0660026,ts0660027,ts0660028,ts0660029,ts0660030,ts0660031,ts0660002_PCT,ts0660003_PCT,ts0660004_PCT,ts0660005_PCT,ts0660006_PCT,ts0660007_PCT,ts0660008_PCT,ts0660009_PCT,ts0660010_PCT,ts0660011_PCT,ts0660012_PCT,ts0660013_PCT,ts0660014_PCT,ts0660015_PCT,ts0660016_PCT,ts0660017_PCT,ts0660018_PCT,ts0660019_PCT,ts0660020_PCT,ts0660021_PCT,ts0660022_PCT,ts0660023_PCT,ts0660024_PCT,ts0660025_PCT,ts0660026_PCT,ts0660027_PCT,ts0660028_PCT,ts0660029_PCT,ts0660030_PCT,ts0660031_PCT
E00054078,233,134,129,110,37,73,4,0,4,15,6,9,5,5,5,5,3,2,0,0,0,0,0,0,0,94,60,9,7,11,7,57.5107296137339,55.36480686695279,47.21030042918455,15.879828326180256,31.330472103004293,1.7167381974248928,0,1.7167381974248928,6.437768240343347,2.575107296137339,3.862660944206009,2.1459227467811157,2.1459227467811157,2.1459227467811157,2.1459227467811157,1.2875536480686696,0.8583690987124464,0,0,0,0,0,0,0,40.343347639484975,25.75107296137339,3.862660944206009,3.004291845493562,4.721030042918455,3.004291845493562
E00054079,225,122,118,108,29,79,0,0,0,10,4,6,4,1,0,0,0,0,0,0,0,0,0,0,1,102,61,15,11,7,8,54.22222222222223,52.44444444444445,48,12.88888888888889,35.11111111111111,0,0,0,4.444444444444445,1.7777777777777777,2.666666666666667,1.7777777777777777,0.4444444444444444,0,0,0,0,0,0,0,0,0,0,0.4444444444444444,45.33333333333333,27.111111111111114,6.666666666666667,4.888888888888889,3.111111111111111,3.5555555555555554
E00054080,325,149,142,100,39,61,11,4,7,31,15,16,7,10,8,7,6,1,0,0,0,1,1,0,2,166,79,22,21,4,40,45.84615384615385,43.69230769230769,30.76923076923077,12,18.76923076923077,3.3846153846153846,1.2307692307692308,2.1538461538461537,9.538461538461538,4.615384615384616,4.923076923076923,2.1538461538461537,3.076923076923077,2.4615384615384617,2.1538461538461537,1.8461538461538463,0.3076923076923077,0,0,0,0.3076923076923077,0.3076923076923077,0,0.6153846153846154,51.07692307692307,24.307692307692307,6.769230769230769,6.461538461538462,1.2307692307692308,12.307692307692308
E00054082,176,92,76,69,26,43,1,0,1,6,4,2,16,1,1,1,1,0,0,0,0,0,0,0,0,83,19,10,20,26,8,52.27272727272727,43.18181818181818,39.20454545454545,14.772727272727273,24.431818181818183,0.5681818181818182,0,0.5681818181818182,3.4090909090909087,2.272727272727273,1.1363636363636365,9.090909090909092,0.5681818181818182,0.5681818181818182,0.5681818181818182,0.5681818181818182,0,0,0,0,0,0,0,0,47.159090909090914,10.795454545454545,5.681818181818182,11.363636363636363,14.772727272727273,4.545454545454546
E00054083,406,188,173,132,61,71,10,9,1,31,16,15,15,27,22,20,19,1,0,0,0,2,0,2,5,191,36,43,62,15,35,46.30541871921182,42.610837438423644,32.51231527093596,15.024630541871922,17.48768472906404,2.4630541871921183,2.2167487684729066,0.24630541871921183,7.635467980295567,3.9408866995073892,3.6945812807881775,3.6945812807881775,6.65024630541872,5.41871921182266,4.926108374384237,4.679802955665025,0.24630541871921183,0,0,0,0.49261083743842365,0,0.49261083743842365,1.2315270935960592,47.04433497536946,8.866995073891626,10.591133004926109,15.270935960591133,3.6945812807881775,8.620689655172415
E00054084,332,187,183,155,44,111,5,0,5,23,12,11,4,8,2,1,1,0,0,0,0,1,0,1,6,137,95,12,11,14,5,56.325301204819276,55.12048192771084,46.68674698795181,13.253012048192772,33.433734939759034,1.5060240963855422,0,1.5060240963855422,6.927710843373494,3.614457831325301,3.313253012048193,1.2048192771084338,2.4096385542168677,0.6024096385542169,0.30120481927710846,0.30120481927710846,0,0,0,0,0.30120481927710846,0,0.30120481927710846,1.8072289156626504,41.265060240963855,28.614457831325304,3.614457831325301,3.313253012048193,4.216867469879518,1.5060240963855422
E00054085,351,142,132,105,33,72,12,5,7,15,9,6,10,11,11,11,11,0,0,0,0,0,0,0,0,198,60,36,47,32,23,40.45584045584046,37.60683760683761,29.914529914529915,9.401709401709402,20.51282051282051,3.418803418803419,1.4245014245014245,1.9943019943019942,4.273504273504273,2.564102564102564,1.7094017094017095,2.849002849002849,3.133903133903134,3.133903133903134,3.133903133903134,3.133903133903134,0,0,0,0,0,0,0,0,56.41025641025641,17.094017094017094,10.256410256410255,13.390313390313391,9.116809116809117,6.552706552706552
E00054086,365,173,161,119,40,79,6,4,2,36,22,14,12,25,17,16,10,6,0,0,0,1,1,0,8,167,31,49,48,14,25,47.397260273972606,44.109589041095894,32.602739726027394,10.95890410958904,21.643835616438356,1.643835616438356,1.095890410958904,0.547945205479452,9.863013698630137,6.027397260273973,3.8356164383561646,3.287671232876712,6.8493150684931505,4.657534246575342,4.383561643835616,2.73972602739726,1.643835616438356,0,0,0,0.273972602739726,0.273972602739726,0,2.191780821917808,45.75342465753425,8.493150684931507,13.424657534246576,13.150684931506849,3.8356164383561646,6.8493150684931505
E00054087,243,116,101,92,33,59,0,0,0,9,5,4,15,7,1,1,1,0,0,0,0,0,0,0,6,120,29,16,35,28,12,47.73662551440329,41.56378600823045,37.86008230452675,13.580246913580247,24.279835390946502,0,0,0,3.7037037037037033,2.05761316872428,1.646090534979424,6.172839506172839,2.880658436213992,0.411522633744856,0.411522633744856,0.411522633744856,0,0,0,0,0,0,0,2.4691358024691357,49.382716049382715,11.934156378600823,6.584362139917696,14.40329218106996,11.522633744855968,4.938271604938271
E00054088,224,95,82,79,23,56,0,0,0,3,2,1,13,2,2,2,2,0,0,0,0,0,0,0,0,127,36,19,28,29,15,42.410714285714285,36.607142857142854,35.267857142857146,10.267857142857142,25,0,0,0,1.3392857142857142,0.8928571428571428,0.4464285714285714,5.803571428571429,0.8928571428571428,0.8928571428571428,0.8928571428571428,0.8928571428571428,0,0,0,0,0,0,0,0,56.69642857142857,16.071428571428573,8.482142857142858,12.5,12.946428571428573,6.696428571428571
E00054089,234,129,125,106,24,82,2,0,2,17,8,9,4,6,5,5,3,2,0,0,0,0,0,0,1,99,36,8,16,33,6,55.12820512820513,53.41880341880342,45.2991452991453,10.256410256410255,35.04273504273504,0.8547008547008548,0,0.8547008547008548,7.264957264957266,3.418803418803419,3.8461538461538463,1.7094017094017095,2.564102564102564,2.1367521367521367,2.1367521367521367,1.282051282051282,0.8547008547008548,0,0,0,0,0,0,0.4273504273504274,42.30769230769231,15.384615384615385,3.418803418803419,6.837606837606838,14.102564102564102,2.564102564102564
E00054090,201,102,93,83,28,55,2,0,2,8,4,4,9,1,0,0,0,0,0,0,0,0,0,0,1,98,28,10,18,35,7,50.74626865671642,46.26865671641791,41.29353233830846,13.930348258706468,27.363184079601986,0.9950248756218906,0,0.9950248756218906,3.9800995024875623,1.9900497512437811,1.9900497512437811,4.477611940298507,0.4975124378109453,0,0,0,0,0,0,0,0,0,0,0.4975124378109453,48.756218905472636,13.930348258706468,4.975124378109453,8.955223880597014,17.412935323383085,3.482587064676617
E00054091,229,114,105,82,32,50,6,3,3,17,10,7,9,2,1,1,1,0,0,0,0,0,0,0,1,113,35,17,31,19,11,49.78165938864629,45.851528384279476,35.80786026200873,13.973799126637553,21.83406113537118,2.6200873362445414,1.3100436681222707,1.3100436681222707,7.423580786026202,4.366812227074235,3.056768558951965,3.9301310043668125,0.8733624454148471,0.43668122270742354,0.43668122270742354,0.43668122270742354,0,0,0,0,0,0,0,0.43668122270742354,49.34497816593886,15.283842794759824,7.423580786026202,13.537117903930133,8.296943231441048,4.8034934497816595
E00054092,191,72,63,51,15,36,0,0,0,12,1,11,9,1,0,0,0,0,0,0,0,0,0,0,1,118,58,6,8,39,7,37.696335078534034,32.98429319371728,26.701570680628272,7.853403141361256,18.848167539267017,0,0,0,6.282722513089005,0.5235602094240838,5.7591623036649215,4.712041884816754,0.5235602094240838,0,0,0,0,0,0,0,0,0,0,0.5235602094240838,61.78010471204188,30.36649214659686,3.1413612565445024,4.18848167539267,20.418848167539267,3.664921465968586
