OA,ts0650001,ts0650002,ts0650003,ts0650004,ts0650002_PCT,ts0650003_PCT,ts0650004_PCT
W00002777,128,11,96,21,8.59375,75,16.40625
W00002778,99,6,76,17,6.0606060606060606,76.76767676767676,17.17171717171717
W00002779,66,8,45,13,12.121212121212121,68.18181818181817,19.696969696969695
W00002780,80,10,55,15,12.5,68.75,18.75
W00002781,122,17,94,11,13.934426229508196,77.04918032786885,9.01639344262295
W00002782,113,10,80,23,8.849557522123893,70.79646017699115,20.353982300884958
W00002783,54,6,45,3,11.11111111111111,83.33333333333334,5.555555555555555
W00002784,131,4,105,22,3.0534351145038165,80.1526717557252,16.793893129770993
W00002785,129,12,97,20,9.30232558139535,75.1937984496124,15.503875968992247
W00002786,113,7,91,15,6.1946902654867255,80.53097345132744,13.274336283185843
W00002787,113,12,87,14,10.619469026548673,76.99115044247787,12.389380530973451
W00002788,124,12,101,11,9.67741935483871,81.45161290322581,8.870967741935484
W00002789,97,12,68,17,12.371134020618557,70.10309278350515,17.525773195876287
W00002790,89,6,77,6,6.741573033707865,86.51685393258427,6.741573033707865
W00002791,111,9,88,14,8.108108108108109,79.27927927927928,12.612612612612612
W00002792,102,8,74,20,7.8431372549019605,72.54901960784314,19.607843137254903
W00002793,109,14,78,17,12.844036697247708,71.55963302752293,15.59633027522936
W00002794,103,13,80,10,12.62135922330097,77.66990291262135,9.70873786407767
W00002795,119,8,91,20,6.722689075630252,76.47058823529412,16.80672268907563
W00002796,105,7,82,16,6.666666666666667,78.0952380952381,15.238095238095239
W00002797,121,20,79,22,16.528925619834713,65.28925619834712,18.181818181818183
W00002798,107,13,74,20,12.149532710280374,69.1588785046729,18.69158878504673
W00002799,93,7,69,17,7.526881720430108,74.19354838709677,18.27956989247312
W00002800,82,2,70,10,2.4390243902439024,85.36585365853658,12.195121951219512
W00002801,125,14,92,19,11.200000000000001,73.6,15.2
W00002802,106,16,74,16,15.09433962264151,69.81132075471697,15.09433962264151
W00002803,118,14,86,18,11.864406779661017,72.88135593220339,15.254237288135593
W00002805,119,11,88,20,9.243697478991598,73.94957983193278,16.80672268907563
W00002806,178,7,159,12,3.932584269662921,89.32584269662921,6.741573033707865
W00002807,133,14,96,23,10.526315789473683,72.18045112781954,17.293233082706767
W00002808,134,13,104,17,9.701492537313433,77.61194029850746,12.686567164179104
W00002809,93,5,66,22,5.376344086021505,70.96774193548387,23.655913978494624
W00002811,116,5,98,13,4.310344827586207,84.48275862068965,11.206896551724139
W00002812,114,10,71,33,8.771929824561402,62.28070175438597,28.947368421052634
W00002813,83,9,60,14,10.843373493975903,72.28915662650603,16.867469879518072
W00002814,117,11,84,22,9.401709401709402,71.7948717948718,18.803418803418804
W00002815,102,12,66,24,11.76470588235294,64.70588235294117,23.52941176470588
W00002816,93,7,64,22,7.526881720430108,68.81720430107528,23.655913978494624
W00002818,73,9,40,24,12.32876712328767,54.794520547945204,32.87671232876712
W00002819,116,12,79,25,10.344827586206897,68.10344827586206,21.551724137931032
W00002820,194,17,138,39,8.762886597938143,71.1340206185567,20.103092783505154
W00002821,130,7,103,20,5.384615384615385,79.23076923076923,15.384615384615385
W00002822,116,14,84,18,12.068965517241379,72.41379310344827,15.517241379310345
W00002823,115,13,87,15,11.304347826086957,75.65217391304347,13.043478260869565
W00002824,74,9,49,16,12.162162162162163,66.21621621621621,21.62162162162162
W00002825,102,12,67,23,11.76470588235294,65.68627450980392,22.54901960784314
W00002826,80,9,53,18,11.25,66.25,22.5
W00002827,70,14,47,9,20,67.14285714285714,12.857142857142856
W00002828,140,15,106,19,10.714285714285714,75.71428571428571,13.571428571428571
W00002829,83,19,52,12,22.89156626506024,62.65060240963856,14.457831325301203
W00002831,542,175,199,168,32.28782287822878,36.715867158671585,30.996309963099634
W00002832,124,16,91,17,12.903225806451612,73.38709677419355,13.709677419354838
W00002833,98,12,72,14,12.244897959183673,73.46938775510205,14.285714285714285
W00002834,235,9,202,24,3.829787234042553,85.95744680851064,10.212765957446807
W00002835,66,1,56,9,1.5151515151515151,84.84848484848484,13.636363636363635
