OA,ts0620001,ts0620002,ts0620003,ts0620004,ts0620005,ts0620006,ts0620007,ts0620008,ts0620009,ts0620010,ts0620002_PCT,ts0620003_PCT,ts0620004_PCT,ts0620005_PCT,ts0620006_PCT,ts0620007_PCT,ts0620008_PCT,ts0620009_PCT,ts0620010_PCT
E00045094,313,26,54,39,25,30,33,48,31,27,8.30670926517572,17.252396166134183,12.460063897763577,7.987220447284344,9.584664536741213,10.543130990415335,15.335463258785943,9.904153354632587,8.626198083067091
E00045095,230,22,41,26,19,17,28,29,37,11,9.565217391304348,17.82608695652174,11.304347826086957,8.26086956521739,7.391304347826087,12.173913043478262,12.608695652173912,16.08695652173913,4.782608695652174
E00045096,203,20,23,13,11,8,32,42,45,9,9.852216748768473,11.330049261083744,6.403940886699508,5.41871921182266,3.9408866995073892,15.763546798029557,20.689655172413794,22.167487684729064,4.433497536945813
E00045097,255,25,51,33,21,21,27,33,29,15,9.803921568627452,20,12.941176470588237,8.235294117647058,8.235294117647058,10.588235294117647,12.941176470588237,11.372549019607844,5.88235294117647
E00045098,210,10,41,25,20,5,32,43,20,14,4.761904761904762,19.523809523809526,11.904761904761903,9.523809523809524,2.380952380952381,15.238095238095239,20.476190476190474,9.523809523809524,6.666666666666667
E00045099,193,13,19,24,16,10,24,29,35,23,6.7357512953367875,9.844559585492227,12.435233160621761,8.290155440414509,5.181347150259067,12.435233160621761,15.025906735751295,18.134715025906736,11.917098445595855
E00045100,288,6,25,27,24,15,43,56,61,31,2.083333333333333,8.680555555555555,9.375,8.333333333333332,5.208333333333334,14.930555555555555,19.444444444444446,21.180555555555554,10.76388888888889
E00045101,271,10,23,27,16,10,24,63,56,42,3.6900369003690034,8.487084870848708,9.96309963099631,5.904059040590406,3.6900369003690034,8.856088560885608,23.247232472324722,20.66420664206642,15.498154981549817
E00045102,343,15,56,34,31,14,41,37,69,46,4.373177842565598,16.3265306122449,9.912536443148689,9.037900874635568,4.081632653061225,11.9533527696793,10.787172011661808,20.11661807580175,13.411078717201166
E00045103,277,20,29,29,30,15,31,37,49,37,7.2202166064981945,10.469314079422382,10.469314079422382,10.830324909747292,5.415162454873646,11.191335740072201,13.357400722021662,17.689530685920577,13.357400722021662
E00045104,278,13,23,25,19,10,43,41,75,29,4.676258992805756,8.273381294964029,8.992805755395683,6.83453237410072,3.5971223021582732,15.467625899280577,14.748201438848922,26.978417266187048,10.431654676258994
E00045105,277,7,23,31,21,11,54,44,53,33,2.527075812274368,8.303249097472925,11.191335740072201,7.581227436823104,3.9711191335740073,19.494584837545126,15.884476534296029,19.133574007220215,11.913357400722022
E00045106,255,14,28,24,18,15,28,36,48,44,5.490196078431373,10.980392156862745,9.411764705882353,7.0588235294117645,5.88235294117647,10.980392156862745,14.117647058823529,18.823529411764707,17.254901960784313
E00045107,255,8,25,17,33,11,40,40,52,29,3.1372549019607843,9.803921568627452,6.666666666666667,12.941176470588237,4.313725490196078,15.686274509803921,15.686274509803921,20.392156862745097,11.372549019607844
E00045108,235,12,25,20,14,14,39,33,57,21,5.106382978723404,10.638297872340425,8.51063829787234,5.957446808510639,5.957446808510639,16.595744680851062,14.042553191489363,24.25531914893617,8.936170212765958
E00045109,289,8,27,25,31,12,47,42,57,40,2.768166089965398,9.342560553633218,8.650519031141869,10.726643598615917,4.1522491349480966,16.26297577854671,14.53287197231834,19.72318339100346,13.84083044982699
E00045110,230,27,42,36,13,10,31,33,23,15,11.73913043478261,18.26086956521739,15.65217391304348,5.6521739130434785,4.3478260869565215,13.478260869565217,14.347826086956522,10,6.521739130434782
