OA,ts0660001,ts0660002,ts0660003,ts0660004,ts0660005,ts0660006,ts0660007,ts0660008,ts0660009,ts0660010,ts0660011,ts0660012,ts0660013,ts0660014,ts0660015,ts0660016,ts0660017,ts0660018,ts0660019,ts0660020,ts0660021,ts0660022,ts0660023,ts0660024,ts0660025,ts0660026,ts0660027,ts0660028,ts0660029,ts0660030,ts0660031,ts0660002_PCT,ts0660003_PCT,ts0660004_PCT,ts0660005_PCT,ts0660006_PCT,ts0660007_PCT,ts0660008_PCT,ts0660009_PCT,ts0660010_PCT,ts0660011_PCT,ts0660012_PCT,ts0660013_PCT,ts0660014_PCT,ts0660015_PCT,ts0660016_PCT,ts0660017_PCT,ts0660018_PCT,ts0660019_PCT,ts0660020_PCT,ts0660021_PCT,ts0660022_PCT,ts0660023_PCT,ts0660024_PCT,ts0660025_PCT,ts0660026_PCT,ts0660027_PCT,ts0660028_PCT,ts0660029_PCT,ts0660030_PCT,ts0660031_PCT,RGN23NM
W00003270,264,122,122,103,29,74,5,0,5,14,3,11,0,4,1,1,1,0,0,0,0,0,0,0,3,138,112,10,5,11,0,46.21212121212121,46.21212121212121,39.015151515151516,10.984848484848484,28.030303030303028,1.893939393939394,0,1.893939393939394,5.303030303030303,1.1363636363636365,4.166666666666666,0,1.5151515151515151,0.3787878787878788,0.3787878787878788,0.3787878787878788,0,0,0,0,0,0,0,1.1363636363636365,52.27272727272727,42.42424242424242,3.787878787878788,1.893939393939394,4.166666666666666,0,Wales
W00003271,236,111,111,93,27,66,6,0,6,12,6,6,0,1,1,1,1,0,0,0,0,0,0,0,0,124,89,4,8,16,7,47.03389830508475,47.03389830508475,39.40677966101695,11.440677966101696,27.966101694915253,2.5423728813559325,0,2.5423728813559325,5.084745762711865,2.5423728813559325,2.5423728813559325,0,0.423728813559322,0.423728813559322,0.423728813559322,0.423728813559322,0,0,0,0,0,0,0,0,52.54237288135594,37.71186440677966,1.694915254237288,3.389830508474576,6.779661016949152,2.9661016949152543,Wales
W00003272,225,109,101,79,31,48,6,3,3,16,4,12,8,5,5,5,3,2,0,0,0,0,0,0,0,111,73,4,14,14,6,48.44444444444444,44.888888888888886,35.11111111111111,13.777777777777779,21.333333333333336,2.666666666666667,1.3333333333333335,1.3333333333333335,7.111111111111111,1.7777777777777777,5.333333333333334,3.5555555555555554,2.2222222222222223,2.2222222222222223,2.2222222222222223,1.3333333333333335,0.8888888888888888,0,0,0,0,0,0,0,49.333333333333336,32.44444444444444,1.7777777777777777,6.222222222222222,6.222222222222222,2.666666666666667,Wales
W00003273,212,103,102,70,25,45,12,4,8,20,10,10,1,2,2,2,2,0,0,0,0,0,0,0,0,107,83,8,7,6,3,48.58490566037736,48.113207547169814,33.0188679245283,11.79245283018868,21.22641509433962,5.660377358490567,1.8867924528301887,3.7735849056603774,9.433962264150944,4.716981132075472,4.716981132075472,0.4716981132075472,0.9433962264150944,0.9433962264150944,0.9433962264150944,0.9433962264150944,0,0,0,0,0,0,0,0,50.47169811320755,39.15094339622642,3.7735849056603774,3.30188679245283,2.8301886792452833,1.4150943396226416,Wales
W00003274,284,120,115,71,29,42,17,1,16,27,13,14,5,5,3,3,3,0,0,0,0,0,0,0,2,159,128,8,15,4,4,42.25352112676056,40.49295774647887,25,10.211267605633804,14.788732394366196,5.985915492957746,0.35211267605633806,5.633802816901409,9.507042253521126,4.577464788732395,4.929577464788732,1.7605633802816902,1.7605633802816902,1.056338028169014,1.056338028169014,1.056338028169014,0,0,0,0,0,0,0,0.7042253521126761,55.98591549295775,45.07042253521127,2.8169014084507045,5.28169014084507,1.4084507042253522,1.4084507042253522,Wales
W00003275,523,256,247,185,56,129,22,5,17,40,16,24,9,6,5,5,4,1,0,0,0,0,0,0,1,261,164,20,13,39,25,48.94837476099426,47.22753346080306,35.37284894837477,10.707456978967496,24.665391969407267,4.2065009560229445,0.9560229445506693,3.2504780114722758,7.648183556405354,3.0592734225621414,4.588910133843212,1.7208413001912046,1.147227533460803,0.9560229445506693,0.9560229445506693,0.7648183556405354,0.19120458891013384,0,0,0,0,0,0,0.19120458891013384,49.90439770554494,31.35755258126195,3.824091778202677,2.48565965583174,7.45697896749522,4.780114722753346,Wales
W00003276,240,89,89,53,20,33,11,4,7,25,13,12,0,1,1,1,1,0,0,0,0,0,0,0,0,150,128,3,6,7,6,37.083333333333336,37.083333333333336,22.083333333333332,8.333333333333332,13.750000000000002,4.583333333333333,1.6666666666666667,2.9166666666666665,10.416666666666668,5.416666666666667,5,0,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.4166666666666667,0,0,0,0,0,0,0,0,62.5,53.333333333333336,1.25,2.5,2.9166666666666665,2.5,Wales
W00003277,163,93,93,54,18,36,3,0,3,36,11,25,0,3,1,1,1,0,0,0,0,0,0,0,2,67,44,2,6,12,3,57.05521472392638,57.05521472392638,33.12883435582822,11.042944785276074,22.085889570552148,1.8404907975460123,0,1.8404907975460123,22.085889570552148,6.748466257668712,15.337423312883436,0,1.8404907975460123,0.6134969325153374,0.6134969325153374,0.6134969325153374,0,0,0,0,0,0,0,1.2269938650306749,41.104294478527606,26.993865030674847,1.2269938650306749,3.6809815950920246,7.361963190184049,1.8404907975460123,Wales
W00003279,227,122,121,95,24,71,8,0,8,18,10,8,1,2,2,1,1,0,1,1,0,0,0,0,0,103,70,2,14,12,5,53.74449339207048,53.30396475770925,41.85022026431718,10.572687224669604,31.277533039647576,3.524229074889868,0,3.524229074889868,7.929515418502203,4.405286343612335,3.524229074889868,0.4405286343612335,0.881057268722467,0.881057268722467,0.4405286343612335,0.4405286343612335,0,0.4405286343612335,0.4405286343612335,0,0,0,0,0,45.37444933920705,30.837004405286343,0.881057268722467,6.167400881057269,5.286343612334802,2.2026431718061676,Wales
W00003280,377,217,213,180,46,134,14,4,10,19,5,14,4,3,3,3,2,1,0,0,0,0,0,0,0,157,117,3,19,9,9,57.55968169761273,56.49867374005305,47.745358090185675,12.20159151193634,35.54376657824933,3.7135278514588856,1.0610079575596816,2.6525198938992043,5.039787798408488,1.3262599469496021,3.7135278514588856,1.0610079575596816,0.7957559681697612,0.7957559681697612,0.7957559681697612,0.5305039787798408,0.2652519893899204,0,0,0,0,0,0,0,41.644562334217504,31.03448275862069,0.7957559681697612,5.039787798408488,2.3872679045092835,2.3872679045092835,Wales
