OA,ts0210001,ts0210002,ts0210003,ts0210004,ts0210005,ts0210006,ts0210007,ts0210008,ts0210009,ts0210010,ts0210011,ts0210012,ts0210013,ts0210014,ts0210015,ts0210016,ts0210017,ts0210018,ts0210019,ts0210020,ts0210021,ts0210022,ts0210023,ts0210024,ts0210025,ts0210002_PCT,ts0210003_PCT,ts0210004_PCT,ts0210005_PCT,ts0210006_PCT,ts0210007_PCT,ts0210008_PCT,ts0210009_PCT,ts0210010_PCT,ts0210011_PCT,ts0210012_PCT,ts0210013_PCT,ts0210014_PCT,ts0210015_PCT,ts0210016_PCT,ts0210017_PCT,ts0210018_PCT,ts0210019_PCT,ts0210020_PCT,ts0210021_PCT,ts0210022_PCT,ts0210023_PCT,ts0210024_PCT,ts0210025_PCT
W00002985,306,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,304,300,0,0,0,4,0,0,0,0.32679738562091504,0,0,0.32679738562091504,0,0,0,0,0,0,0.32679738562091504,0.32679738562091504,0,0,0,99.34640522875817,98.0392156862745,0,0,0,1.3071895424836601,0,0,0
W00002986,433,0,0,0,0,0,0,0,0,0,0,3,0,2,0,1,430,420,4,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6928406466512702,0,0.4618937644341801,0,0.23094688221709006,99.30715935334872,96.99769053117782,0.9237875288683602,0,0,1.3856812933025404,0,0,0
W00002987,380,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,379,370,1,0,0,8,0,0,0,0.2631578947368421,0,0.2631578947368421,0,0,0,0,0,0,0,0,0,0,0,0,99.73684210526315,97.36842105263158,0.2631578947368421,0,0,2.1052631578947367,0,0,0
W00002988,334,0,0,0,0,0,0,0,0,0,0,4,1,0,3,0,330,323,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1976047904191618,0.29940119760479045,0,0.8982035928143712,0,98.80239520958084,96.7065868263473,0.29940119760479045,0,0,1.7964071856287425,0,0,0
W00002989,395,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,394,387,1,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25316455696202533,0.25316455696202533,0,0,0,99.74683544303798,97.9746835443038,0.25316455696202533,0.25316455696202533,0,1.2658227848101267,0,0,0
W00002990,458,3,0,0,2,1,0,1,1,0,0,7,3,0,3,1,446,441,5,0,0,0,1,0,1,0.6550218340611353,0,0,0.43668122270742354,0.21834061135371177,0,0.21834061135371177,0.21834061135371177,0,0,1.5283842794759825,0.6550218340611353,0,0.6550218340611353,0.21834061135371177,97.37991266375546,96.2882096069869,1.0917030567685588,0,0,0,0.21834061135371177,0,0.21834061135371177
W00002991,320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,320,316,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,98.75,0,0,0,1.25,0,0,0
W00002992,212,2,0,0,2,0,0,1,0,1,0,2,0,0,2,0,207,200,0,0,0,7,0,0,0,0.9433962264150944,0,0,0.9433962264150944,0,0,0.4716981132075472,0,0.4716981132075472,0,0.9433962264150944,0,0,0.9433962264150944,0,97.64150943396226,94.33962264150944,0,0,0,3.30188679245283,0,0,0
W00002993,439,2,0,0,1,0,1,2,0,2,0,6,0,3,1,2,425,406,0,2,0,17,4,0,4,0.45558086560364464,0,0,0.22779043280182232,0,0.22779043280182232,0.45558086560364464,0,0.45558086560364464,0,1.366742596810934,0,0.683371298405467,0.22779043280182232,0.45558086560364464,96.81093394077449,92.48291571753985,0,0.45558086560364464,0,3.8724373576309796,0.9111617312072893,0,0.9111617312072893
W00002994,363,1,0,0,0,0,1,0,0,0,0,2,2,0,0,0,360,356,2,0,0,2,0,0,0,0.27548209366391185,0,0,0,0,0.27548209366391185,0,0,0,0,0.5509641873278237,0.5509641873278237,0,0,0,99.17355371900827,98.07162534435263,0.5509641873278237,0,0,0.5509641873278237,0,0,0
W00002995,401,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,398,384,1,1,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7481296758104738,0.7481296758104738,0,0,0,99.25187032418953,95.76059850374065,0.24937655860349126,0.24937655860349126,0,2.9925187032418954,0,0,0
W00002996,298,2,0,0,0,0,2,0,0,0,0,5,5,0,0,0,291,286,2,0,0,3,0,0,0,0.6711409395973155,0,0,0,0,0.6711409395973155,0,0,0,0,1.6778523489932886,1.6778523489932886,0,0,0,97.6510067114094,95.9731543624161,0.6711409395973155,0,0,1.006711409395973,0,0,0
W00002997,286,4,0,1,0,0,3,0,0,0,0,2,2,0,0,0,280,273,2,0,0,5,0,0,0,1.3986013986013985,0,0.34965034965034963,0,0,1.048951048951049,0,0,0,0,0.6993006993006993,0.6993006993006993,0,0,0,97.9020979020979,95.45454545454545,0.6993006993006993,0,0,1.7482517482517483,0,0,0
W00002998,197,1,0,1,0,0,0,1,0,0,1,1,0,0,1,0,194,188,0,0,0,6,0,0,0,0.5076142131979695,0,0.5076142131979695,0,0,0,0.5076142131979695,0,0,0.5076142131979695,0.5076142131979695,0,0,0.5076142131979695,0,98.47715736040608,95.43147208121827,0,0,0,3.0456852791878175,0,0,0
W00002999,274,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,273,267,0,0,0,6,0,0,0,0,0,0,0,0,0,0.36496350364963503,0.36496350364963503,0,0,0,0,0,0,0,99.63503649635037,97.44525547445255,0,0,0,2.18978102189781,0,0,0
W00003000,266,2,0,2,0,0,0,0,0,0,0,4,1,0,2,1,260,254,0,0,0,6,0,0,0,0.7518796992481203,0,0.7518796992481203,0,0,0,0,0,0,0,1.5037593984962405,0.37593984962406013,0,0.7518796992481203,0.37593984962406013,97.74436090225564,95.48872180451127,0,0,0,2.2556390977443606,0,0,0
W00003001,285,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,283,276,0,1,1,5,0,0,0,0.7017543859649122,0,0,0,0,0.7017543859649122,0,0,0,0,0,0,0,0,0,99.29824561403508,96.84210526315789,0,0.3508771929824561,0.3508771929824561,1.7543859649122806,0,0,0
W00003002,288,0,0,0,0,0,0,7,7,0,0,0,0,0,0,0,276,258,7,3,0,8,5,0,5,0,0,0,0,0,0,2.430555555555556,2.430555555555556,0,0,0,0,0,0,0,95.83333333333334,89.58333333333334,2.430555555555556,1.0416666666666665,0,2.7777777777777777,1.7361111111111112,0,1.7361111111111112
