OA,ts0180001,ts0180002,ts0180003,ts0180004,ts0180005,ts0180006,ts0180007,ts0180008,ts0180009,ts0180010,ts0180011,ts0180012,ts0180013,ts0180014,ts0180015,ts0180016,ts0180017,ts0180018,ts0180019,ts0180002_PCT,ts0180003_PCT,ts0180004_PCT,ts0180005_PCT,ts0180006_PCT,ts0180007_PCT,ts0180008_PCT,ts0180009_PCT,ts0180010_PCT,ts0180011_PCT,ts0180012_PCT,ts0180013_PCT,ts0180014_PCT,ts0180015_PCT,ts0180016_PCT,ts0180017_PCT,ts0180018_PCT,ts0180019_PCT
W00002002,236,225,11,4,1,0,0,0,1,0,2,0,2,1,0,0,0,0,0,95.33898305084746,4.661016949152542,1.694915254237288,0.423728813559322,0,0,0,0.423728813559322,0,0.847457627118644,0,0.847457627118644,0.423728813559322,0,0,0,0,0
W00002003,297,288,9,0,0,0,0,0,0,1,5,0,3,0,0,0,0,0,0,96.96969696969697,3.0303030303030303,0,0,0,0,0,0,0.33670033670033667,1.6835016835016834,0,1.0101010101010102,0,0,0,0,0,0
W00002005,235,227,8,1,0,0,1,0,0,1,4,1,0,0,0,0,0,0,0,96.59574468085106,3.404255319148936,0.425531914893617,0,0,0.425531914893617,0,0,0.425531914893617,1.702127659574468,0.425531914893617,0,0,0,0,0,0,0
W00002006,287,276,11,2,0,0,5,0,0,0,1,3,0,0,0,0,0,0,0,96.16724738675958,3.8327526132404177,0.6968641114982579,0,0,1.7421602787456445,0,0,0,0.34843205574912894,1.0452961672473868,0,0,0,0,0,0,0
W00002007,279,275,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98.56630824372759,1.4336917562724014,1.4336917562724014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
W00002078,326,320,6,0,0,0,0,1,0,0,2,2,1,0,0,0,0,0,0,98.15950920245399,1.8404907975460123,0,0,0,0,0.3067484662576687,0,0,0.6134969325153374,0.6134969325153374,0.3067484662576687,0,0,0,0,0,0
W00002079,304,300,4,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,98.68421052631578,1.3157894736842104,0.6578947368421052,0,0,0,0,0,0,0,0,0.6578947368421052,0,0,0,0,0,0
W00002081,280,278,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,99.28571428571429,0.7142857142857143,0.35714285714285715,0,0,0.35714285714285715,0,0,0,0,0,0,0,0,0,0,0,0
W00002083,273,262,11,2,1,0,0,0,0,0,5,2,1,0,0,0,0,0,0,95.97069597069597,4.029304029304029,0.7326007326007326,0.3663003663003663,0,0,0,0,0,1.8315018315018317,0.7326007326007326,0.3663003663003663,0,0,0,0,0,0
W00002085,256,254,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,99.21875,0.78125,0,0,0,0,0,0,0,0.390625,0.390625,0,0,0,0,0,0,0
W00002077,236,228,8,2,1,0,0,0,0,0,1,3,0,1,0,0,0,0,0,96.61016949152543,3.389830508474576,0.847457627118644,0.423728813559322,0,0,0,0,0,0.423728813559322,1.2711864406779663,0,0.423728813559322,0,0,0,0,0
W00002080,271,267,4,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,98.5239852398524,1.4760147601476015,0.36900369003690037,0,0,0,0,0,0,0,0.7380073800738007,0.36900369003690037,0,0,0,0,0,0
W00002082,302,293,9,3,1,0,0,0,0,0,2,1,2,0,0,0,0,0,0,97.01986754966887,2.980132450331126,0.9933774834437087,0.33112582781456956,0,0,0,0,0,0.6622516556291391,0.33112582781456956,0.6622516556291391,0,0,0,0,0,0
W00002084,306,284,22,2,2,0,0,0,1,4,5,8,0,0,0,0,0,0,0,92.81045751633987,7.18954248366013,0.6535947712418301,0.6535947712418301,0,0,0,0.32679738562091504,1.3071895424836601,1.6339869281045754,2.6143790849673203,0,0,0,0,0,0,0
W00002091,286,264,22,4,3,0,0,0,0,0,2,7,4,2,0,0,0,0,0,92.3076923076923,7.6923076923076925,1.3986013986013985,1.048951048951049,0,0,0,0,0,0.6993006993006993,2.4475524475524475,1.3986013986013985,0.6993006993006993,0,0,0,0,0
W00002092,210,199,11,3,1,0,0,0,0,1,0,1,3,2,0,0,0,0,0,94.76190476190476,5.238095238095238,1.4285714285714286,0.4761904761904762,0,0,0,0,0.4761904761904762,0,0.4761904761904762,1.4285714285714286,0.9523809523809524,0,0,0,0,0
W00002014,422,392,30,1,3,1,2,0,1,3,6,5,6,1,0,0,0,1,0,92.89099526066352,7.109004739336493,0.23696682464454977,0.7109004739336493,0.23696682464454977,0.47393364928909953,0,0.23696682464454977,0.7109004739336493,1.4218009478672986,1.1848341232227488,1.4218009478672986,0.23696682464454977,0,0,0,0.23696682464454977,0
