OA,ts007a0001,ts007a0002,ts007a0003,ts007a0004,ts007a0005,ts007a0006,ts007a0007,ts007a0008,ts007a0009,ts007a0010,ts007a0011,ts007a0012,ts007a0013,ts007a0014,ts007a0015,ts007a0016,ts007a0017,ts007a0018,ts007a0019,ts007a0002_PCT,ts007a0003_PCT,ts007a0004_PCT,ts007a0005_PCT,ts007a0006_PCT,ts007a0007_PCT,ts007a0008_PCT,ts007a0009_PCT,ts007a0010_PCT,ts007a0011_PCT,ts007a0012_PCT,ts007a0013_PCT,ts007a0014_PCT,ts007a0015_PCT,ts007a0016_PCT,ts007a0017_PCT,ts007a0018_PCT,ts007a0019_PCT
W00008640,254,14,8,11,8,8,19,15,18,17,17,13,25,21,17,10,13,9,11,5.511811023622047,3.149606299212598,4.330708661417323,3.149606299212598,3.149606299212598,7.480314960629922,5.905511811023622,7.086614173228346,6.692913385826772,6.692913385826772,5.118110236220472,9.84251968503937,8.267716535433072,6.692913385826772,3.937007874015748,5.118110236220472,3.543307086614173,4.330708661417323
W00008641,278,20,11,21,12,15,10,23,14,25,15,15,27,18,19,8,9,2,14,7.1942446043165464,3.9568345323741005,7.553956834532374,4.316546762589928,5.39568345323741,3.5971223021582732,8.273381294964029,5.0359712230215825,8.992805755395683,5.39568345323741,5.39568345323741,9.712230215827338,6.474820143884892,6.83453237410072,2.877697841726619,3.237410071942446,0.7194244604316548,5.0359712230215825
W00008642,255,20,20,17,14,9,11,19,18,19,15,19,16,9,11,10,11,11,6,7.8431372549019605,7.8431372549019605,6.666666666666667,5.490196078431373,3.5294117647058822,4.313725490196078,7.450980392156863,7.0588235294117645,7.450980392156863,5.88235294117647,7.450980392156863,6.2745098039215685,3.5294117647058822,4.313725490196078,3.9215686274509802,4.313725490196078,4.313725490196078,2.3529411764705883
W00008643,371,28,31,46,25,26,30,30,28,21,26,26,19,15,10,5,2,2,1,7.547169811320755,8.355795148247978,12.398921832884097,6.738544474393531,7.008086253369273,8.086253369272237,8.086253369272237,7.547169811320755,5.660377358490567,7.008086253369273,7.008086253369273,5.121293800539084,4.0431266846361185,2.6954177897574128,1.3477088948787064,0.5390835579514826,0.5390835579514826,0.2695417789757413
W00008644,314,25,22,27,17,15,21,25,21,12,13,19,24,12,15,13,8,4,21,7.961783439490445,7.006369426751593,8.598726114649681,5.414012738853503,4.777070063694268,6.687898089171974,7.961783439490445,6.687898089171974,3.821656050955414,4.140127388535031,6.050955414012739,7.643312101910828,3.821656050955414,4.777070063694268,4.140127388535031,2.547770700636943,1.2738853503184715,6.687898089171974
W00008645,243,1,0,1,2,4,2,0,1,9,4,2,6,25,32,49,45,31,29,0.411522633744856,0,0.411522633744856,0.823045267489712,1.646090534979424,0.823045267489712,0,0.411522633744856,3.7037037037037033,1.646090534979424,0.823045267489712,2.4691358024691357,10.2880658436214,13.168724279835391,20.16460905349794,18.51851851851852,12.757201646090536,11.934156378600823
W00008646,374,22,36,32,25,18,28,22,27,10,25,24,23,33,11,11,14,9,4,5.88235294117647,9.62566844919786,8.55614973262032,6.684491978609626,4.81283422459893,7.4866310160427805,5.88235294117647,7.219251336898395,2.6737967914438503,6.684491978609626,6.417112299465241,6.149732620320856,8.823529411764707,2.941176470588235,2.941176470588235,3.7433155080213902,2.406417112299465,1.06951871657754
W00008647,109,10,3,2,2,0,1,2,5,6,4,5,11,12,15,11,7,7,6,9.174311926605505,2.7522935779816518,1.834862385321101,1.834862385321101,0,0.9174311926605505,1.834862385321101,4.587155963302752,5.5045871559633035,3.669724770642202,4.587155963302752,10.091743119266056,11.009174311926607,13.761467889908257,10.091743119266056,6.422018348623854,6.422018348623854,5.5045871559633035
W00008648,344,25,16,17,14,21,46,26,19,21,15,25,25,17,14,13,14,11,5,7.267441860465117,4.651162790697675,4.941860465116279,4.069767441860465,6.104651162790697,13.372093023255813,7.55813953488372,5.523255813953488,6.104651162790697,4.3604651162790695,7.267441860465117,7.267441860465117,4.941860465116279,4.069767441860465,3.77906976744186,4.069767441860465,3.1976744186046515,1.4534883720930232
W00008649,360,5,10,13,14,19,10,11,18,12,25,25,24,36,24,25,25,23,41,1.3888888888888888,2.7777777777777777,3.6111111111111107,3.888888888888889,5.277777777777778,2.7777777777777777,3.0555555555555554,5,3.3333333333333335,6.944444444444445,6.944444444444445,6.666666666666667,10,6.666666666666667,6.944444444444445,6.944444444444445,6.388888888888888,11.38888888888889
