OA,ts0460001,ts0460002,ts0460003,ts0460004,ts0460005,ts0460006,ts0460007,ts0460008,ts0460009,ts0460010,ts0460011,ts0460012,ts0460013,ts0460002_PCT,ts0460003_PCT,ts0460004_PCT,ts0460005_PCT,ts0460006_PCT,ts0460007_PCT,ts0460008_PCT,ts0460009_PCT,ts0460010_PCT,ts0460011_PCT,ts0460012_PCT,ts0460013_PCT
E00060271,131,1,105,2,2,0,0,0,0,0,1,19,1,0.7633587786259541,80.1526717557252,1.5267175572519083,1.5267175572519083,0,0,0,0,0,0.7633587786259541,14.50381679389313,0.7633587786259541
E00060272,72,4,59,0,1,0,0,0,0,0,1,5,2,5.555555555555555,81.94444444444444,0,1.3888888888888888,0,0,0,0,0,1.3888888888888888,6.944444444444445,2.7777777777777777
E00060273,151,1,126,0,5,0,0,0,1,1,2,15,0,0.6622516556291391,83.44370860927152,0,3.3112582781456954,0,0,0,0.6622516556291391,0.6622516556291391,1.3245033112582782,9.933774834437086,0
E00060274,111,0,92,1,4,0,0,0,0,0,3,11,0,0,82.88288288288288,0.9009009009009009,3.6036036036036037,0,0,0,0,0,2.7027027027027026,9.90990990990991,0
E00060275,158,0,130,0,5,0,0,0,0,0,6,16,1,0,82.27848101265823,0,3.1645569620253164,0,0,0,0,0,3.79746835443038,10.126582278481013,0.6329113924050633
E00060276,117,0,89,1,3,0,0,0,0,0,4,19,1,0,76.06837606837607,0.8547008547008548,2.564102564102564,0,0,0,0,0,3.418803418803419,16.23931623931624,0.8547008547008548
E00060277,124,1,99,0,4,0,0,0,0,0,4,16,0,0.8064516129032258,79.83870967741935,0,3.225806451612903,0,0,0,0,0,3.225806451612903,12.903225806451612,0
E00060278,128,1,91,1,4,0,0,0,0,2,7,22,0,0.78125,71.09375,0.78125,3.125,0,0,0,0,1.5625,5.46875,17.1875,0
E00060279,121,1,101,0,2,0,0,0,0,0,4,13,0,0.8264462809917356,83.47107438016529,0,1.6528925619834711,0,0,0,0,0,3.3057851239669422,10.743801652892563,0
E00060280,220,2,189,3,3,0,0,0,0,3,0,20,0,0.9090909090909091,85.9090909090909,1.3636363636363635,1.3636363636363635,0,0,0,0,1.3636363636363635,0,9.090909090909092,0
E00060281,133,3,110,0,2,0,0,0,0,2,2,10,4,2.2556390977443606,82.70676691729322,0,1.5037593984962405,0,0,0,0,1.5037593984962405,1.5037593984962405,7.518796992481203,3.007518796992481
E00060282,137,1,110,1,2,0,0,0,0,0,4,19,0,0.7299270072992701,80.2919708029197,0.7299270072992701,1.4598540145985401,0,0,0,0,0,2.9197080291970803,13.86861313868613,0
E00060283,120,0,110,0,2,0,0,0,0,0,0,7,1,0,91.66666666666666,0,1.6666666666666667,0,0,0,0,0,0,5.833333333333333,0.8333333333333334
E00060284,160,1,129,0,1,0,0,0,1,0,6,17,5,0.625,80.625,0,0.625,0,0,0,0.625,0,3.75,10.625,3.125
E00060285,143,1,114,2,5,0,0,0,0,0,2,17,2,0.6993006993006993,79.72027972027972,1.3986013986013985,3.4965034965034967,0,0,0,0,0,1.3986013986013985,11.888111888111888,1.3986013986013985
E00060286,133,1,102,2,7,1,0,0,0,1,2,17,0,0.7518796992481203,76.69172932330827,1.5037593984962405,5.263157894736842,0.7518796992481203,0,0,0,0.7518796992481203,1.5037593984962405,12.781954887218044,0
E00060287,132,0,82,0,27,0,0,0,0,6,2,15,0,0,62.121212121212125,0,20.454545454545457,0,0,0,0,4.545454545454546,1.5151515151515151,11.363636363636363,0
E00060288,134,3,108,0,5,0,0,0,0,0,3,13,2,2.2388059701492535,80.59701492537313,0,3.731343283582089,0,0,0,0,0,2.2388059701492535,9.701492537313433,1.4925373134328357
E00060289,115,0,99,1,2,0,0,0,0,0,3,9,1,0,86.08695652173914,0.8695652173913043,1.7391304347826086,0,0,0,0,0,2.608695652173913,7.82608695652174,0.8695652173913043
E00060290,118,0,98,2,3,0,0,0,1,0,2,12,0,0,83.05084745762711,1.694915254237288,2.5423728813559325,0,0,0,0.847457627118644,0,1.694915254237288,10.16949152542373,0
E00060291,97,0,79,0,8,0,0,0,0,0,0,10,0,0,81.44329896907216,0,8.24742268041237,0,0,0,0,0,0,10.309278350515463,0
E00060292,131,0,93,2,7,0,0,0,2,3,8,16,0,0,70.99236641221374,1.5267175572519083,5.343511450381679,0,0,0,1.5267175572519083,2.2900763358778624,6.106870229007633,12.213740458015266,0
E00060293,129,3,104,2,1,1,0,0,0,0,2,16,0,2.3255813953488373,80.62015503875969,1.550387596899225,0.7751937984496124,0.7751937984496124,0,0,0,0,1.550387596899225,12.4031007751938,0
E00060294,116,4,98,0,4,0,0,0,0,0,1,8,1,3.4482758620689653,84.48275862068965,0,3.4482758620689653,0,0,0,0,0,0.8620689655172413,6.896551724137931,0.8620689655172413
E00060295,140,1,114,1,6,0,0,0,0,0,1,16,1,0.7142857142857143,81.42857142857143,0.7142857142857143,4.285714285714286,0,0,0,0,0,0.7142857142857143,11.428571428571429,0.7142857142857143
E00060296,121,2,103,2,3,0,0,0,0,0,1,9,1,1.6528925619834711,85.12396694214877,1.6528925619834711,2.479338842975207,0,0,0,0,0,0.8264462809917356,7.43801652892562,0.8264462809917356
E00060297,108,3,78,0,13,0,0,0,0,0,0,14,0,2.7777777777777777,72.22222222222221,0,12.037037037037036,0,0,0,0,0,0,12.962962962962962,0
E00060298,113,2,90,3,4,0,0,0,0,0,2,12,0,1.7699115044247788,79.64601769911505,2.6548672566371683,3.5398230088495577,0,0,0,0,0,1.7699115044247788,10.619469026548673,0
E00060299,100,3,80,0,2,0,0,0,0,0,2,13,0,3,80,0,2,0,0,0,0,0,2,13,0
