OA,ts0550001,ts0550002,ts0550003,ts0550004,ts0550005,ts0550006,ts0550007,ts0550008,ts0550009,ts0550010,ts0550002_PCT,ts0550003_PCT,ts0550004_PCT,ts0550005_PCT,ts0550006_PCT,ts0550007_PCT,ts0550008_PCT,ts0550009_PCT,ts0550010_PCT
E00144913,12,0,0,0,1,0,2,4,5,0,0,0,0,8.333333333333332,0,16.666666666666664,33.33333333333333,41.66666666666667,0
E00144914,9,0,1,0,0,0,4,4,0,0,0,11.11111111111111,0,0,0,44.44444444444444,44.44444444444444,0,0
E00144915,7,0,1,0,0,0,6,0,0,0,0,14.285714285714285,0,0,0,85.71428571428571,0,0,0
E00144916,9,0,0,0,0,0,3,1,5,0,0,0,0,0,0,33.33333333333333,11.11111111111111,55.55555555555556,0
E00144917,7,0,0,0,0,1,5,0,1,0,0,0,0,0,14.285714285714285,71.42857142857143,0,14.285714285714285,0
E00144918,24,0,1,5,0,2,4,3,9,0,0,4.166666666666666,20.833333333333336,0,8.333333333333332,16.666666666666664,12.5,37.5,0
E00144920,21,0,0,2,0,2,6,3,8,0,0,0,9.523809523809524,0,9.523809523809524,28.57142857142857,14.285714285714285,38.095238095238095,0
E00144921,18,0,3,2,0,0,6,1,6,0,0,16.666666666666664,11.11111111111111,0,0,33.33333333333333,5.555555555555555,33.33333333333333,0
E00144922,10,0,0,0,0,0,6,2,2,0,0,0,0,0,0,60,20,20,0
E00144923,4,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,75,25,0
E00144924,11,0,1,1,0,0,2,4,3,0,0,9.090909090909092,9.090909090909092,0,0,18.181818181818183,36.36363636363637,27.27272727272727,0
E00144925,15,0,0,1,0,0,11,2,1,0,0,0,6.666666666666667,0,0,73.33333333333333,13.333333333333334,6.666666666666667,0
E00144927,9,0,1,3,0,0,3,1,1,0,0,11.11111111111111,33.33333333333333,0,0,33.33333333333333,11.11111111111111,11.11111111111111,0
E00144928,3,0,0,2,0,0,1,0,0,0,0,0,66.66666666666666,0,0,33.33333333333333,0,0,0
