OA,ts007a0001,ts007a0002,ts007a0003,ts007a0004,ts007a0005,ts007a0006,ts007a0007,ts007a0008,ts007a0009,ts007a0010,ts007a0011,ts007a0012,ts007a0013,ts007a0014,ts007a0015,ts007a0016,ts007a0017,ts007a0018,ts007a0019,ts007a0002_PCT,ts007a0003_PCT,ts007a0004_PCT,ts007a0005_PCT,ts007a0006_PCT,ts007a0007_PCT,ts007a0008_PCT,ts007a0009_PCT,ts007a0010_PCT,ts007a0011_PCT,ts007a0012_PCT,ts007a0013_PCT,ts007a0014_PCT,ts007a0015_PCT,ts007a0016_PCT,ts007a0017_PCT,ts007a0018_PCT,ts007a0019_PCT
E00098787,291,11,12,7,12,17,24,22,16,15,18,26,26,24,19,18,11,9,4,3.7800687285223367,4.123711340206185,2.405498281786942,4.123711340206185,5.841924398625429,8.24742268041237,7.560137457044673,5.498281786941581,5.154639175257731,6.185567010309279,8.934707903780069,8.934707903780069,8.24742268041237,6.529209621993128,6.185567010309279,3.7800687285223367,3.0927835051546393,1.3745704467353952
E00098788,264,11,12,10,7,8,17,16,17,19,12,33,24,18,18,21,12,2,7,4.166666666666666,4.545454545454546,3.787878787878788,2.6515151515151514,3.0303030303030303,6.4393939393939394,6.0606060606060606,6.4393939393939394,7.196969696969697,4.545454545454546,12.5,9.090909090909092,6.8181818181818175,6.8181818181818175,7.954545454545454,4.545454545454546,0.7575757575757576,2.6515151515151514
E00098789,258,11,10,7,12,13,14,19,20,16,14,34,30,19,11,15,10,2,1,4.263565891472868,3.875968992248062,2.7131782945736433,4.651162790697675,5.038759689922481,5.426356589147287,7.3643410852713185,7.751937984496124,6.2015503875969,5.426356589147287,13.178294573643413,11.627906976744185,7.3643410852713185,4.263565891472868,5.813953488372093,3.875968992248062,0.7751937984496124,0.3875968992248062
E00098790,225,2,5,9,3,9,3,4,6,17,14,26,25,23,24,18,12,8,17,0.8888888888888888,2.2222222222222223,4,1.3333333333333335,4,1.3333333333333335,1.7777777777777777,2.666666666666667,7.555555555555555,6.222222222222222,11.555555555555555,11.11111111111111,10.222222222222223,10.666666666666668,8,5.333333333333334,3.5555555555555554,7.555555555555555
E00098791,598,38,39,38,39,22,58,49,42,36,56,46,44,29,31,17,6,4,4,6.354515050167224,6.521739130434782,6.354515050167224,6.521739130434782,3.678929765886288,9.698996655518394,8.193979933110368,7.023411371237458,6.0200668896321075,9.364548494983277,7.6923076923076925,7.357859531772576,4.849498327759197,5.183946488294314,2.842809364548495,1.0033444816053512,0.6688963210702341,0.6688963210702341
E00098792,373,6,10,12,8,14,17,18,12,17,25,22,37,50,28,37,26,13,21,1.6085790884718498,2.680965147453083,3.2171581769436997,2.1447721179624666,3.753351206434316,4.557640750670242,4.825737265415549,3.2171581769436997,4.557640750670242,6.702412868632708,5.898123324396782,9.919571045576408,13.404825737265416,7.506702412868632,9.919571045576408,6.970509383378016,3.485254691689008,5.630026809651475
E00098793,192,13,4,5,5,8,15,19,12,7,14,14,12,8,7,12,10,6,21,6.770833333333333,2.083333333333333,2.604166666666667,2.604166666666667,4.166666666666666,7.8125,9.895833333333332,6.25,3.6458333333333335,7.291666666666667,7.291666666666667,6.25,4.166666666666666,3.6458333333333335,6.25,5.208333333333334,3.125,10.9375
E00098794,246,5,8,8,8,10,14,10,13,5,14,15,24,18,25,27,22,11,9,2.0325203252032518,3.2520325203252036,3.2520325203252036,3.2520325203252036,4.0650406504065035,5.691056910569105,4.0650406504065035,5.284552845528456,2.0325203252032518,5.691056910569105,6.097560975609756,9.75609756097561,7.317073170731707,10.16260162601626,10.975609756097562,8.94308943089431,4.471544715447155,3.6585365853658534
E00098795,224,9,13,14,8,14,12,14,10,10,14,11,10,20,16,19,11,11,8,4.017857142857143,5.803571428571429,6.25,3.571428571428571,6.25,5.357142857142857,6.25,4.464285714285714,4.464285714285714,6.25,4.910714285714286,4.464285714285714,8.928571428571429,7.142857142857142,8.482142857142858,4.910714285714286,4.910714285714286,3.571428571428571
E00098796,235,1,8,5,5,11,14,6,8,9,18,16,23,32,12,19,27,14,7,0.425531914893617,3.404255319148936,2.127659574468085,2.127659574468085,4.680851063829787,5.957446808510639,2.553191489361702,3.404255319148936,3.829787234042553,7.659574468085106,6.808510638297872,9.787234042553191,13.617021276595745,5.106382978723404,8.085106382978724,11.48936170212766,5.957446808510639,2.9787234042553195
E00098797,312,25,24,27,18,18,15,22,20,16,23,20,11,7,15,19,18,8,6,8.012820512820513,7.6923076923076925,8.653846153846153,5.769230769230769,5.769230769230769,4.807692307692308,7.051282051282051,6.41025641025641,5.128205128205128,7.371794871794872,6.41025641025641,3.5256410256410255,2.2435897435897436,4.807692307692308,6.089743589743589,5.769230769230769,2.564102564102564,1.9230769230769231
E00098798,284,15,23,13,12,13,13,19,22,14,22,14,26,21,19,15,9,5,9,5.28169014084507,8.098591549295776,4.577464788732395,4.225352112676056,4.577464788732395,4.577464788732395,6.690140845070422,7.746478873239436,4.929577464788732,7.746478873239436,4.929577464788732,9.15492957746479,7.394366197183098,6.690140845070422,5.28169014084507,3.169014084507042,1.7605633802816902,3.169014084507042
E00098799,259,19,14,11,15,13,18,20,21,20,18,23,17,14,13,6,8,2,7,7.335907335907336,5.405405405405405,4.247104247104247,5.7915057915057915,5.019305019305019,6.94980694980695,7.722007722007722,8.108108108108109,7.722007722007722,6.94980694980695,8.880308880308881,6.563706563706563,5.405405405405405,5.019305019305019,2.3166023166023164,3.088803088803089,0.7722007722007722,2.7027027027027026
E00098800,215,7,3,4,4,1,1,3,9,5,11,9,8,21,20,31,26,25,27,3.255813953488372,1.3953488372093024,1.8604651162790697,1.8604651162790697,0.46511627906976744,0.46511627906976744,1.3953488372093024,4.186046511627907,2.3255813953488373,5.116279069767442,4.186046511627907,3.7209302325581395,9.767441860465116,9.30232558139535,14.418604651162791,12.093023255813954,11.627906976744185,12.558139534883722
E00098801,301,11,6,15,12,16,11,23,9,9,17,20,28,21,24,17,14,18,30,3.6544850498338874,1.9933554817275747,4.983388704318937,3.9867109634551494,5.3156146179401995,3.6544850498338874,7.641196013289036,2.990033222591362,2.990033222591362,5.647840531561462,6.64451827242525,9.30232558139535,6.976744186046512,7.973421926910299,5.647840531561462,4.651162790697675,5.980066445182724,9.966777408637874
E00098802,307,12,10,11,8,15,15,15,15,15,12,31,29,36,18,22,20,10,13,3.908794788273615,3.257328990228013,3.5830618892508146,2.6058631921824107,4.88599348534202,4.88599348534202,4.88599348534202,4.88599348534202,4.88599348534202,3.908794788273615,10.097719869706841,9.446254071661238,11.726384364820847,5.863192182410423,7.166123778501629,6.514657980456026,3.257328990228013,4.234527687296417
E00098803,324,12,7,22,16,19,11,17,16,15,24,31,33,23,24,13,14,16,11,3.7037037037037033,2.1604938271604937,6.790123456790123,4.938271604938271,5.864197530864197,3.3950617283950617,5.246913580246913,4.938271604938271,4.62962962962963,7.4074074074074066,9.5679012345679,10.185185185185185,7.098765432098765,7.4074074074074066,4.012345679012346,4.320987654320987,4.938271604938271,3.3950617283950617
E00098804,251,10,8,10,8,13,8,12,20,10,14,18,15,17,23,27,18,9,11,3.9840637450199203,3.187250996015936,3.9840637450199203,3.187250996015936,5.179282868525896,3.187250996015936,4.780876494023905,7.968127490039841,3.9840637450199203,5.577689243027888,7.171314741035857,5.9760956175298805,6.772908366533864,9.163346613545817,10.756972111553784,7.171314741035857,3.5856573705179287,4.382470119521913
E00098805,271,5,10,9,11,16,7,5,9,13,13,28,27,28,10,25,26,14,15,1.8450184501845017,3.6900369003690034,3.3210332103321036,4.059040590405904,5.904059040590406,2.5830258302583027,1.8450184501845017,3.3210332103321036,4.797047970479705,4.797047970479705,10.33210332103321,9.96309963099631,10.33210332103321,3.6900369003690034,9.22509225092251,9.59409594095941,5.166051660516605,5.535055350553505
E00098806,293,21,24,18,9,18,21,27,26,18,9,26,19,17,12,13,6,6,3,7.167235494880546,8.19112627986348,6.143344709897611,3.0716723549488054,6.143344709897611,7.167235494880546,9.215017064846416,8.873720136518772,6.143344709897611,3.0716723549488054,8.873720136518772,6.484641638225256,5.802047781569966,4.09556313993174,4.436860068259386,2.04778156996587,2.04778156996587,1.023890784982935
E00098807,282,11,22,21,7,8,6,14,14,20,14,20,23,22,22,22,16,13,7,3.900709219858156,7.801418439716312,7.446808510638298,2.4822695035460995,2.8368794326241136,2.127659574468085,4.964539007092199,4.964539007092199,7.092198581560284,4.964539007092199,7.092198581560284,8.156028368794328,7.801418439716312,7.801418439716312,7.801418439716312,5.673758865248227,4.609929078014184,2.4822695035460995
