OA,ts0030001,ts0030002,ts0030003,ts0030004,ts0030005,ts0030006,ts0030007,ts0030008,ts0030009,ts0030010,ts0030011,ts0030012,ts0030013,ts0030014,ts0030015,ts0030016,ts0030017,ts0030018,ts0030019,ts0030020,ts0030021,ts0030022,ts0030002_PCT,ts0030003_PCT,ts0030004_PCT,ts0030005_PCT,ts0030006_PCT,ts0030007_PCT,ts0030008_PCT,ts0030009_PCT,ts0030010_PCT,ts0030011_PCT,ts0030012_PCT,ts0030013_PCT,ts0030014_PCT,ts0030015_PCT,ts0030016_PCT,ts0030017_PCT,ts0030018_PCT,ts0030019_PCT,ts0030020_PCT,ts0030021_PCT,ts0030022_PCT
W00005400,136,39,23,16,88,13,46,21,20,5,12,10,1,1,17,11,6,0,0,9,5,4,28.676470588235293,16.911764705882355,11.76470588235294,64.70588235294117,9.558823529411764,33.82352941176471,15.441176470588236,14.705882352941178,3.6764705882352944,8.823529411764707,7.352941176470589,0.7352941176470588,0.7352941176470588,12.5,8.088235294117647,4.411764705882353,0,0,6.61764705882353,3.6764705882352944,2.941176470588235
W00005401,119,29,10,19,81,2,34,12,12,10,16,4,12,0,26,10,16,3,3,9,3,6,24.369747899159663,8.403361344537815,15.966386554621847,68.0672268907563,1.680672268907563,28.57142857142857,10.084033613445378,10.084033613445378,8.403361344537815,13.445378151260504,3.361344537815126,10.084033613445378,0,21.84873949579832,8.403361344537815,13.445378151260504,2.5210084033613445,2.5210084033613445,7.563025210084033,2.5210084033613445,5.042016806722689
W00005402,140,41,20,21,89,13,38,13,18,7,14,4,9,1,24,13,11,0,0,10,3,7,29.28571428571429,14.285714285714285,15,63.57142857142857,9.285714285714286,27.142857142857142,9.285714285714286,12.857142857142856,5,10,2.857142857142857,6.428571428571428,0.7142857142857143,17.142857142857142,9.285714285714286,7.857142857142857,0,0,7.142857142857142,2.142857142857143,5
W00005404,124,36,25,11,81,30,37,13,15,9,10,5,3,2,4,2,2,0,0,7,3,4,29.03225806451613,20.161290322580644,8.870967741935484,65.32258064516128,24.193548387096776,29.838709677419356,10.483870967741936,12.096774193548388,7.258064516129033,8.064516129032258,4.032258064516129,2.4193548387096775,1.6129032258064515,3.225806451612903,1.6129032258064515,1.6129032258064515,0,0,5.64516129032258,2.4193548387096775,3.225806451612903
W00005172,89,28,22,6,57,5,23,7,8,8,18,5,11,2,10,7,3,1,1,4,3,1,31.46067415730337,24.719101123595504,6.741573033707865,64.04494382022472,5.617977528089887,25.842696629213485,7.865168539325842,8.98876404494382,8.98876404494382,20.224719101123593,5.617977528089887,12.359550561797752,2.247191011235955,11.235955056179774,7.865168539325842,3.3707865168539324,1.1235955056179776,1.1235955056179776,4.49438202247191,3.3707865168539324,1.1235955056179776
W00005173,108,31,12,19,68,10,39,21,8,10,9,8,1,0,10,4,6,0,0,9,5,4,28.703703703703702,11.11111111111111,17.59259259259259,62.96296296296296,9.25925925925926,36.11111111111111,19.444444444444446,7.4074074074074066,9.25925925925926,8.333333333333332,7.4074074074074066,0.9259259259259258,0,9.25925925925926,3.7037037037037033,5.555555555555555,0,0,8.333333333333332,4.62962962962963,3.7037037037037033
W00005174,135,35,20,15,89,13,45,19,14,12,20,13,7,0,11,9,2,0,0,11,2,9,25.925925925925924,14.814814814814813,11.11111111111111,65.92592592592592,9.62962962962963,33.33333333333333,14.074074074074074,10.37037037037037,8.88888888888889,14.814814814814813,9.62962962962963,5.185185185185185,0,8.148148148148149,6.666666666666667,1.4814814814814816,0,0,8.148148148148149,1.4814814814814816,6.666666666666667
W00005176,141,54,25,29,86,15,37,16,13,8,14,6,8,0,19,10,9,1,1,1,1,0,38.297872340425535,17.73049645390071,20.56737588652482,60.99290780141844,10.638297872340425,26.24113475177305,11.347517730496454,9.219858156028367,5.673758865248227,9.929078014184398,4.25531914893617,5.673758865248227,0,13.47517730496454,7.092198581560284,6.382978723404255,0.7092198581560284,0.7092198581560284,0.7092198581560284,0.7092198581560284,0
W00005177,136,35,19,16,93,10,49,21,15,13,21,12,8,1,13,7,6,0,0,8,1,7,25.735294117647058,13.970588235294118,11.76470588235294,68.38235294117648,7.352941176470589,36.029411764705884,15.441176470588236,11.029411764705882,9.558823529411764,15.441176470588236,8.823529411764707,5.88235294117647,0.7352941176470588,9.558823529411764,5.147058823529411,4.411764705882353,0,0,5.88235294117647,0.7352941176470588,5.147058823529411
W00005178,143,54,16,38,85,8,34,19,9,6,17,5,11,1,26,18,8,0,0,4,0,4,37.76223776223776,11.188811188811188,26.573426573426573,59.44055944055944,5.594405594405594,23.776223776223777,13.286713286713287,6.293706293706294,4.195804195804196,11.888111888111888,3.4965034965034967,7.6923076923076925,0.6993006993006993,18.181818181818183,12.587412587412588,5.594405594405594,0,0,2.797202797202797,0,2.797202797202797
