OA,ts0390001,ts0390002,ts0390003,ts0390004,ts0390005,ts0390006,ts0390007,ts0390008,ts0390009,ts0390002_PCT,ts0390003_PCT,ts0390004_PCT,ts0390005_PCT,ts0390006_PCT,ts0390007_PCT,ts0390008_PCT,ts0390009_PCT
W00005207,259,224,23,17,6,6,3,3,6,86.48648648648648,8.880308880308881,6.563706563706563,2.3166023166023164,2.3166023166023164,1.1583011583011582,1.1583011583011582,2.3166023166023164
W00005211,265,240,14,12,2,6,3,3,5,90.56603773584906,5.283018867924529,4.528301886792453,0.7547169811320755,2.2641509433962264,1.1320754716981132,1.1320754716981132,1.8867924528301887
W00005212,343,288,28,20,8,12,6,6,15,83.96501457725948,8.16326530612245,5.830903790087463,2.3323615160349855,3.498542274052478,1.749271137026239,1.749271137026239,4.373177842565598
W00005213,346,321,10,8,2,8,2,6,7,92.77456647398844,2.8901734104046244,2.312138728323699,0.5780346820809248,2.312138728323699,0.5780346820809248,1.7341040462427744,2.023121387283237
W00005214,228,196,14,10,4,5,1,4,13,85.96491228070175,6.140350877192982,4.385964912280701,1.7543859649122806,2.1929824561403506,0.43859649122807015,1.7543859649122806,5.701754385964912
W00005215,289,258,22,20,2,7,4,3,2,89.27335640138409,7.612456747404845,6.920415224913495,0.6920415224913495,2.422145328719723,1.384083044982699,1.0380622837370241,0.6920415224913495
W00005216,208,187,11,9,2,4,2,2,6,89.90384615384616,5.288461538461538,4.326923076923077,0.9615384615384616,1.9230769230769231,0.9615384615384616,0.9615384615384616,2.8846153846153846
W00005217,299,253,15,6,9,7,2,5,24,84.61538461538461,5.016722408026756,2.0066889632107023,3.0100334448160537,2.341137123745819,0.6688963210702341,1.6722408026755853,8.02675585284281
W00005218,272,242,21,17,4,3,1,2,6,88.97058823529412,7.720588235294118,6.25,1.4705882352941175,1.1029411764705883,0.3676470588235294,0.7352941176470588,2.2058823529411766
W00005219,284,251,10,5,5,9,2,7,14,88.38028169014085,3.5211267605633805,1.7605633802816902,1.7605633802816902,3.169014084507042,0.7042253521126761,2.464788732394366,4.929577464788732
