OA,ts0190001,ts0190002,ts0190003,ts0190004,ts0190005,ts0190002_PCT,ts0190003_PCT,ts0190004_PCT,ts0190005_PCT
W00009796,479,445,1,33,0,92.90187891440502,0.20876826722338201,6.8893528183716075,0
W00007674,261,251,1,9,0,96.16858237547893,0.38314176245210724,3.4482758620689653,0
W00007675,258,232,0,26,0,89.92248062015504,0,10.077519379844961,0
W00007676,256,241,0,15,0,94.140625,0,5.859375,0
W00007677,250,236,0,14,0,94.39999999999999,0,5.6000000000000005,0
W00007678,289,277,1,9,2,95.8477508650519,0.34602076124567477,3.1141868512110724,0.6920415224913495
W00007667,337,319,0,18,0,94.65875370919882,0,5.341246290801187,0
W00007668,402,383,0,19,0,95.27363184079603,0,4.72636815920398,0
W00007669,268,252,0,16,0,94.02985074626866,0,5.970149253731343,0
W00007670,299,293,0,6,0,97.9933110367893,0,2.0066889632107023,0
W00007636,318,297,0,21,0,93.39622641509435,0,6.60377358490566,0
W00007640,352,338,0,14,0,96.02272727272727,0,3.977272727272727,0
W00007646,246,222,0,24,0,90.2439024390244,0,9.75609756097561,0
W00007647,317,290,0,27,0,91.48264984227129,0,8.517350157728707,0
W00010336,193,186,0,7,0,96.37305699481865,0,3.6269430051813467,0
W00010350,365,343,0,22,0,93.97260273972603,0,6.027397260273973,0
W00007637,198,189,1,8,0,95.45454545454545,0.5050505050505051,4.040404040404041,0
W00007638,238,224,1,12,1,94.11764705882352,0.42016806722689076,5.042016806722689,0.42016806722689076
W00007641,286,268,0,18,0,93.7062937062937,0,6.293706293706294,0
W00007642,350,328,0,22,0,93.71428571428572,0,6.2857142857142865,0
W00007643,226,218,0,8,0,96.46017699115043,0,3.5398230088495577,0
W00007644,246,231,0,15,0,93.90243902439023,0,6.097560975609756,0
W00007645,231,219,0,12,0,94.8051948051948,0,5.194805194805195,0
W00007727,307,287,0,20,0,93.48534201954396,0,6.514657980456026,0
W00007728,268,249,0,19,0,92.91044776119402,0,7.08955223880597,0
W00007731,260,235,3,22,0,90.38461538461539,1.153846153846154,8.461538461538462,0
W00007732,169,152,0,17,0,89.94082840236686,0,10.059171597633137,0
W00007734,106,99,0,7,0,93.39622641509435,0,6.60377358490566,0
W00007735,246,237,1,8,0,96.34146341463415,0.40650406504065045,3.2520325203252036,0
W00007721,126,116,0,10,0,92.06349206349206,0,7.936507936507936,0
W00007723,268,247,0,21,0,92.16417910447761,0,7.835820895522389,0
W00007725,273,256,0,17,0,93.77289377289377,0,6.227106227106227,0
W00007729,220,203,1,16,0,92.27272727272727,0.45454545454545453,7.2727272727272725,0
W00007730,284,262,0,22,0,92.25352112676056,0,7.746478873239436,0
W00007733,286,262,0,24,0,91.6083916083916,0,8.391608391608392,0
W00007720,292,266,1,25,0,91.0958904109589,0.3424657534246575,8.561643835616438,0
W00007722,262,252,0,9,1,96.18320610687023,0,3.435114503816794,0.38167938931297707
W00007724,165,141,0,22,2,85.45454545454545,0,13.333333333333334,1.2121212121212122
W00007726,345,284,0,58,3,82.31884057971014,0,16.81159420289855,0.8695652173913043
W00007739,267,257,0,10,0,96.25468164794007,0,3.7453183520599254,0
W00007741,290,263,0,27,0,90.6896551724138,0,9.310344827586208,0
W00007577,296,273,1,20,2,92.22972972972973,0.33783783783783783,6.756756756756757,0.6756756756756757
W00007587,285,273,0,12,0,95.78947368421052,0,4.2105263157894735,0
W00007588,328,319,0,9,0,97.2560975609756,0,2.7439024390243905,0
W00007589,296,289,0,6,1,97.63513513513513,0,2.027027027027027,0.33783783783783783
W00007576,318,292,0,25,1,91.82389937106919,0,7.861635220125786,0.3144654088050315
W00007578,231,221,0,10,0,95.67099567099568,0,4.329004329004329,0
W00007579,262,237,0,25,0,90.45801526717557,0,9.541984732824428,0
W00007580,246,231,0,15,0,93.90243902439023,0,6.097560975609756,0
W00007586,221,214,1,6,0,96.83257918552036,0.4524886877828055,2.7149321266968327,0
W00007581,303,285,0,18,0,94.05940594059405,0,5.9405940594059405,0
W00007582,257,238,0,19,0,92.60700389105058,0,7.392996108949417,0
W00007583,262,237,0,25,0,90.45801526717557,0,9.541984732824428,0
W00007584,291,283,0,7,1,97.2508591065292,0,2.405498281786942,0.3436426116838488
W00007585,308,298,0,10,0,96.75324675324676,0,3.2467532467532463,0
W00007622,334,321,1,12,0,96.10778443113772,0.29940119760479045,3.592814371257485,0
W00007629,348,325,1,22,0,93.39080459770115,0.28735632183908044,6.321839080459771,0
W00007630,263,244,0,19,0,92.77566539923954,0,7.224334600760455,0
W00007635,245,225,0,20,0,91.83673469387756,0,8.16326530612245,0
W00007623,481,451,2,28,0,93.76299376299376,0.4158004158004158,5.8212058212058215,0
W00007627,188,153,0,35,0,81.38297872340425,0,18.617021276595743,0
W00007631,315,298,0,13,4,94.6031746031746,0,4.1269841269841265,1.2698412698412698
