OA,ts0580001,ts0580002,ts0580003,ts0580004,ts0580005,ts0580006,ts0580007,ts0580008,ts0580009,ts0580010,ts0580011,ts0580002_PCT,ts0580003_PCT,ts0580004_PCT,ts0580005_PCT,ts0580006_PCT,ts0580007_PCT,ts0580008_PCT,ts0580009_PCT,ts0580010_PCT,ts0580011_PCT
W00006781,92,19,16,7,9,6,4,1,1,13,16,20.652173913043477,17.391304347826086,7.608695652173914,9.782608695652174,6.521739130434782,4.3478260869565215,1.0869565217391304,1.0869565217391304,14.130434782608695,17.391304347826086
W00006782,102,19,23,15,6,2,5,1,0,13,18,18.627450980392158,22.54901960784314,14.705882352941178,5.88235294117647,1.9607843137254901,4.901960784313726,0.9803921568627451,0,12.745098039215685,17.647058823529413
W00006783,87,15,19,7,4,7,3,1,0,17,14,17.24137931034483,21.839080459770116,8.045977011494253,4.597701149425287,8.045977011494253,3.4482758620689653,1.1494252873563218,0,19.54022988505747,16.091954022988507
W00006784,103,17,23,13,6,3,5,0,0,10,26,16.50485436893204,22.330097087378643,12.62135922330097,5.825242718446602,2.912621359223301,4.854368932038835,0,0,9.70873786407767,25.24271844660194
W00006785,107,2,27,10,10,11,9,1,2,21,14,1.8691588785046727,25.233644859813083,9.345794392523365,9.345794392523365,10.2803738317757,8.411214953271028,0.9345794392523363,1.8691588785046727,19.626168224299064,13.084112149532709
W00006786,157,7,43,13,7,12,13,1,2,30,29,4.45859872611465,27.388535031847134,8.280254777070063,4.45859872611465,7.643312101910828,8.280254777070063,0.6369426751592357,1.2738853503184715,19.10828025477707,18.471337579617835
W00006787,139,23,31,16,8,12,6,1,2,15,25,16.546762589928058,22.302158273381295,11.510791366906476,5.755395683453238,8.633093525179856,4.316546762589928,0.7194244604316548,1.4388489208633095,10.79136690647482,17.985611510791365
W00006788,111,30,23,8,9,10,0,0,2,16,13,27.027027027027028,20.72072072072072,7.207207207207207,8.108108108108109,9.00900900900901,0,0,1.8018018018018018,14.414414414414415,11.711711711711711
W00006789,143,26,34,10,11,7,4,2,2,22,25,18.181818181818183,23.776223776223777,6.993006993006993,7.6923076923076925,4.895104895104895,2.797202797202797,1.3986013986013985,1.3986013986013985,15.384615384615385,17.482517482517483
W00006790,149,31,22,6,15,10,7,0,4,26,28,20.80536912751678,14.76510067114094,4.026845637583892,10.06711409395973,6.7114093959731544,4.697986577181208,0,2.684563758389262,17.449664429530202,18.79194630872483
W00006791,154,34,42,13,9,8,4,0,7,13,24,22.07792207792208,27.27272727272727,8.441558441558442,5.844155844155844,5.194805194805195,2.5974025974025974,0,4.545454545454546,8.441558441558442,15.584415584415584
W00006792,134,32,23,13,11,12,8,3,0,13,19,23.88059701492537,17.16417910447761,9.701492537313433,8.208955223880597,8.955223880597014,5.970149253731343,2.2388059701492535,0,9.701492537313433,14.17910447761194
W00006793,124,31,28,5,7,6,4,0,3,14,26,25,22.58064516129032,4.032258064516129,5.64516129032258,4.838709677419355,3.225806451612903,0,2.4193548387096775,11.29032258064516,20.967741935483872
W00006794,108,20,19,3,7,6,2,1,3,20,27,18.51851851851852,17.59259259259259,2.7777777777777777,6.481481481481481,5.555555555555555,1.8518518518518516,0.9259259259259258,2.7777777777777777,18.51851851851852,25
W00006795,149,22,35,10,19,15,4,0,3,21,20,14.76510067114094,23.48993288590604,6.7114093959731544,12.751677852348994,10.06711409395973,2.684563758389262,0,2.013422818791946,14.093959731543624,13.422818791946309
W00006796,106,16,29,3,9,7,5,1,2,13,21,15.09433962264151,27.358490566037734,2.8301886792452833,8.49056603773585,6.60377358490566,4.716981132075472,0.9433962264150944,1.8867924528301887,12.264150943396226,19.81132075471698
W00006797,128,21,29,7,14,12,4,2,2,16,21,16.40625,22.65625,5.46875,10.9375,9.375,3.125,1.5625,1.5625,12.5,16.40625
W00006798,118,22,32,7,13,6,5,2,0,13,18,18.64406779661017,27.11864406779661,5.932203389830509,11.016949152542372,5.084745762711865,4.23728813559322,1.694915254237288,0,11.016949152542372,15.254237288135593
W00006799,127,34,23,9,15,3,3,0,1,15,24,26.77165354330709,18.11023622047244,7.086614173228346,11.811023622047244,2.3622047244094486,2.3622047244094486,0,0.7874015748031495,11.811023622047244,18.89763779527559
W00006800,219,17,49,14,17,17,8,0,4,55,38,7.76255707762557,22.37442922374429,6.392694063926941,7.76255707762557,7.76255707762557,3.65296803652968,0,1.82648401826484,25.11415525114155,17.35159817351598
W00006801,116,25,16,4,10,9,9,3,1,11,28,21.551724137931032,13.793103448275861,3.4482758620689653,8.620689655172415,7.758620689655173,7.758620689655173,2.586206896551724,0.8620689655172413,9.482758620689655,24.137931034482758
W00006802,149,20,17,12,20,12,10,3,3,36,16,13.422818791946309,11.409395973154362,8.053691275167784,13.422818791946309,8.053691275167784,6.7114093959731544,2.013422818791946,2.013422818791946,24.161073825503358,10.738255033557047
W00006803,132,13,34,12,9,5,4,1,2,25,27,9.848484848484848,25.757575757575758,9.090909090909092,6.8181818181818175,3.787878787878788,3.0303030303030303,0.7575757575757576,1.5151515151515151,18.939393939393938,20.454545454545457
