OA,ts0680001,ts0680002,ts0680003,ts0680002_PCT,ts0680003_PCT
W00006816,386,124,262,32.12435233160622,67.87564766839378
W00006817,179,37,142,20.670391061452513,79.3296089385475
W00006818,244,49,195,20.081967213114755,79.91803278688525
W00006819,249,60,189,24.096385542168676,75.90361445783132
W00006820,274,67,207,24.45255474452555,75.54744525547446
W00006821,277,57,220,20.577617328519857,79.42238267148014
W00006822,356,122,234,34.26966292134831,65.73033707865169
W00006823,310,84,226,27.09677419354839,72.90322580645162
W00006824,301,73,228,24.25249169435216,75.74750830564784
W00006825,253,58,195,22.92490118577075,77.07509881422925
W00006826,317,51,266,16.08832807570978,83.91167192429022
W00006827,245,63,182,25.71428571428571,74.28571428571429
W00006828,279,50,229,17.921146953405017,82.07885304659499
W00006829,297,39,258,13.131313131313133,86.86868686868688
W00006830,250,46,204,18.4,81.6
W00006831,269,60,209,22.304832713754646,77.69516728624535
W00006832,235,40,195,17.02127659574468,82.97872340425532
W00006833,190,28,162,14.736842105263156,85.26315789473684
W00006834,516,105,411,20.348837209302324,79.65116279069767
W00006835,92,17,75,18.478260869565215,81.52173913043478
W00006836,158,28,130,17.72151898734177,82.27848101265823
W00006837,382,70,312,18.32460732984293,81.67539267015707
W00006838,303,54,249,17.82178217821782,82.17821782178217
W00006839,334,73,261,21.856287425149702,78.1437125748503
W00006840,208,43,165,20.673076923076923,79.32692307692307
W00006841,219,36,183,16.43835616438356,83.56164383561644
W00006842,295,72,223,24.40677966101695,75.59322033898304
W00006843,238,27,211,11.344537815126051,88.65546218487394
W00006844,326,64,262,19.631901840490798,80.3680981595092
W00006845,281,37,244,13.167259786476867,86.83274021352312
W00006846,293,48,245,16.38225255972696,83.61774744027304
W00006847,301,61,240,20.26578073089701,79.734219269103
W00006848,275,27,248,9.818181818181818,90.18181818181819
W00006849,276,48,228,17.391304347826086,82.6086956521739
W00006850,190,33,157,17.36842105263158,82.63157894736842
W00006851,273,39,234,14.285714285714285,85.71428571428571
W00006852,294,66,228,22.448979591836736,77.55102040816327
W00006853,264,48,216,18.181818181818183,81.81818181818183
W00006854,246,28,218,11.38211382113821,88.6178861788618
W00006855,268,59,209,22.01492537313433,77.98507462686567
W00006856,282,66,216,23.404255319148938,76.59574468085107
W00006857,291,77,214,26.46048109965636,73.53951890034365
W00006858,276,58,218,21.014492753623188,78.98550724637681
W00006859,367,95,272,25.885558583106267,74.11444141689373
W00006860,319,89,230,27.89968652037618,72.10031347962382
W00006861,309,77,232,24.919093851132686,75.08090614886731
W00006862,278,55,223,19.784172661870503,80.2158273381295
W00006863,270,57,213,21.11111111111111,78.88888888888889
W00006864,361,63,298,17.451523545706372,82.54847645429363
W00006865,277,61,216,22.021660649819495,77.9783393501805
W00006866,243,39,204,16.049382716049383,83.9506172839506
W00006867,256,58,198,22.65625,77.34375
W00006868,276,56,220,20.28985507246377,79.71014492753623
W00006869,315,70,245,22.22222222222222,77.77777777777779
W00006870,271,47,224,17.343173431734318,82.65682656826569
W00006871,232,31,201,13.36206896551724,86.63793103448276
W00006872,290,49,241,16.896551724137932,83.10344827586206
W00006873,211,29,182,13.744075829383887,86.25592417061611
W00006874,247,49,198,19.838056680161944,80.16194331983806
W00006875,352,30,322,8.522727272727272,91.47727272727273
W00006876,273,47,226,17.216117216117215,82.78388278388277
W00006877,271,55,216,20.29520295202952,79.70479704797047
W00006878,262,37,225,14.122137404580155,85.87786259541986
W00006879,271,42,229,15.498154981549817,84.50184501845018
W00006880,302,42,260,13.90728476821192,86.09271523178808
W00006881,284,44,240,15.492957746478872,84.50704225352112
W00006882,283,32,251,11.307420494699647,88.69257950530034
W00006883,221,22,199,9.95475113122172,90.04524886877829
W00006884,285,49,236,17.192982456140353,82.80701754385966
W00006885,420,91,329,21.666666666666668,78.33333333333333
W00006886,281,53,228,18.86120996441281,81.13879003558719
W00006887,248,53,195,21.370967741935484,78.62903225806451
W00006888,318,73,245,22.955974842767297,77.04402515723271
W00006890,343,50,293,14.577259475218659,85.42274052478133
W00006891,338,45,293,13.313609467455622,86.68639053254438
W00006892,259,22,237,8.494208494208493,91.5057915057915
W00006893,275,32,243,11.636363636363637,88.36363636363636
W00006894,380,66,314,17.36842105263158,82.63157894736842
W00006895,273,42,231,15.384615384615385,84.61538461538461
W00006896,276,35,241,12.681159420289855,87.31884057971014
W00006897,329,75,254,22.796352583586625,77.20364741641338
W00006898,186,19,167,10.21505376344086,89.78494623655914
W00006899,272,41,231,15.073529411764705,84.92647058823529
W00006900,457,123,334,26.914660831509845,73.08533916849015
W00006901,259,45,214,17.374517374517374,82.62548262548263
W00006902,260,43,217,16.538461538461537,83.46153846153847
W00006903,270,40,230,14.814814814814813,85.18518518518519
W00006904,243,48,195,19.753086419753085,80.24691358024691
W00006905,407,65,342,15.970515970515969,84.02948402948402
W00006906,319,54,265,16.927899686520377,83.07210031347962
W00006907,282,50,232,17.73049645390071,82.26950354609929
W00006909,290,54,236,18.620689655172416,81.37931034482759
W00006910,229,36,193,15.72052401746725,84.27947598253274
W00006911,255,24,231,9.411764705882353,90.58823529411765
W00006912,297,53,244,17.845117845117844,82.15488215488216
W00006913,249,40,209,16.06425702811245,83.93574297188755
W00006914,231,20,211,8.658008658008658,91.34199134199135
W00006915,341,52,289,15.249266862170089,84.75073313782991
W00006916,357,89,268,24.92997198879552,75.07002801120449
W00006917,411,91,320,22.14111922141119,77.85888077858881
W00006918,306,65,241,21.241830065359476,78.75816993464052
W00006919,292,62,230,21.232876712328768,78.76712328767124
W00006920,270,42,228,15.555555555555555,84.44444444444444
W00006921,291,56,235,19.243986254295535,80.75601374570446
W00006922,308,60,248,19.480519480519483,80.51948051948052
W00006923,265,37,228,13.962264150943396,86.0377358490566
W00006924,314,39,275,12.420382165605096,87.57961783439491
W00006925,297,51,246,17.17171717171717,82.82828282828282
W00006926,257,36,221,14.007782101167315,85.99221789883269
W00006927,329,57,272,17.325227963525837,82.67477203647417
W00006928,416,80,336,19.230769230769234,80.76923076923077
