OA,ts0040001,ts0040002,ts0040003,ts0040004,ts0040005,ts0040006,ts0040007,ts0040008,ts0040009,ts0040010,ts0040011,ts0040012,ts0040013,ts0040014,ts0040015,ts0040002_PCT,ts0040003_PCT,ts0040004_PCT,ts0040005_PCT,ts0040006_PCT,ts0040007_PCT,ts0040008_PCT,ts0040009_PCT,ts0040010_PCT,ts0040011_PCT,ts0040012_PCT,ts0040013_PCT,ts0040014_PCT,ts0040015_PCT
W00006808,341,336,308,28,1,27,0,0,0,0,0,1,4,0,0,98.53372434017595,90.32258064516128,8.211143695014663,0.2932551319648094,7.9178885630498534,0,0,0,0,0,0.2932551319648094,1.1730205278592376,0,0
W00006787,278,273,245,28,2,21,5,0,0,0,4,1,0,0,0,98.20143884892086,88.12949640287769,10.071942446043165,0.7194244604316548,7.553956834532374,1.7985611510791366,0,0,0,1.4388489208633095,0.3597122302158274,0,0,0
W00006789,309,303,278,25,3,20,2,0,0,0,0,5,1,0,0,98.05825242718447,89.96763754045307,8.090614886731391,0.9708737864077669,6.472491909385113,0.6472491909385114,0,0,0,0,1.6181229773462782,0.3236245954692557,0,0
W00006791,318,308,286,22,5,17,0,0,0,0,3,1,5,1,0,96.85534591194968,89.937106918239,6.918238993710692,1.5723270440251573,5.345911949685535,0,0,0,0,0.9433962264150944,0.3144654088050315,1.5723270440251573,0.3144654088050315,0
W00006794,234,231,222,9,4,5,0,0,0,0,1,1,0,1,0,98.71794871794873,94.87179487179486,3.8461538461538463,1.7094017094017095,2.1367521367521367,0,0,0,0,0.4273504273504274,0.4273504273504274,0,0.4273504273504274,0
W00006795,301,295,265,30,4,26,0,0,0,0,0,6,0,0,0,98.00664451827242,88.03986710963456,9.966777408637874,1.3289036544850499,8.637873754152823,0,0,0,0,0,1.9933554817275747,0,0,0
W00006800,377,364,356,8,1,4,2,1,0,0,1,8,4,0,0,96.55172413793103,94.42970822281167,2.122015915119363,0.2652519893899204,1.0610079575596816,0.5305039787798408,0.2652519893899204,0,0,0.2652519893899204,2.122015915119363,1.0610079575596816,0,0
W00006790,291,288,266,22,8,14,0,0,0,0,0,0,3,0,0,98.96907216494846,91.40893470790378,7.560137457044673,2.7491408934707904,4.810996563573884,0,0,0,0,0,0,1.0309278350515463,0,0
W00006793,263,260,232,28,1,19,8,0,0,0,0,3,0,0,0,98.85931558935361,88.212927756654,10.646387832699618,0.38022813688212925,7.224334600760455,3.041825095057034,0,0,0,0,1.1406844106463878,0,0,0
W00006796,268,263,254,9,5,2,2,0,0,0,0,5,0,0,0,98.13432835820896,94.77611940298507,3.3582089552238807,1.8656716417910446,0.7462686567164178,0.7462686567164178,0,0,0,0,1.8656716417910446,0,0,0
W00006797,251,246,232,13,5,6,2,0,1,1,0,5,0,0,0,98.00796812749005,92.43027888446214,5.179282868525896,1.9920318725099602,2.3904382470119523,0.796812749003984,0,0.398406374501992,0.398406374501992,0,1.9920318725099602,0,0,0
W00006798,297,289,251,38,7,27,4,0,0,0,0,8,0,0,0,97.3063973063973,84.51178451178451,12.794612794612794,2.356902356902357,9.090909090909092,1.3468013468013467,0,0,0,0,2.6936026936026933,0,0,0
W00006799,363,355,332,23,11,12,0,0,0,0,0,8,0,0,0,97.7961432506887,91.46005509641874,6.336088154269973,3.0303030303030303,3.3057851239669422,0,0,0,0,0,2.203856749311295,0,0,0
W00006864,389,389,376,13,5,8,0,0,0,0,0,0,0,0,0,100,96.65809768637533,3.3419023136246784,1.2853470437017995,2.056555269922879,0,0,0,0,0,0,0,0,0
W00006868,293,289,280,7,2,5,0,0,2,2,3,1,0,0,0,98.63481228668942,95.56313993174061,2.3890784982935154,0.6825938566552902,1.7064846416382253,0,0,0.6825938566552902,0.6825938566552902,1.023890784982935,0.3412969283276451,0,0,0
W00006869,337,324,315,9,1,8,0,0,0,0,0,13,0,0,0,96.14243323442136,93.47181008902076,2.6706231454005933,0.2967359050445104,2.3738872403560833,0,0,0,0,0,3.857566765578635,0,0,0
W00006870,291,287,267,20,2,14,4,0,0,0,0,3,1,0,0,98.62542955326461,91.75257731958763,6.872852233676976,0.6872852233676976,4.810996563573884,1.3745704467353952,0,0,0,0,1.0309278350515463,0.3436426116838488,0,0
W00006871,245,241,225,16,2,12,0,2,0,0,0,2,2,0,0,98.36734693877551,91.83673469387756,6.530612244897959,0.8163265306122449,4.8979591836734695,0,0.8163265306122449,0,0,0,0.8163265306122449,0.8163265306122449,0,0
W00006855,307,304,272,30,6,21,2,1,2,2,0,1,2,0,0,99.0228013029316,88.59934853420195,9.77198697068404,1.9543973941368076,6.840390879478828,0.6514657980456027,0.32573289902280134,0.6514657980456027,0.6514657980456027,0,0.32573289902280134,0.6514657980456027,0,0
W00006862,305,293,281,11,1,10,0,0,1,1,3,6,2,1,0,96.06557377049181,92.1311475409836,3.606557377049181,0.32786885245901637,3.278688524590164,0,0,0.32786885245901637,0.32786885245901637,0.9836065573770493,1.9672131147540985,0.6557377049180327,0.32786885245901637,0
W00006866,283,276,260,15,4,11,0,0,1,1,1,5,1,0,0,97.52650176678446,91.87279151943463,5.30035335689046,1.4134275618374559,3.8869257950530036,0,0,0.35335689045936397,0.35335689045936397,0.35335689045936397,1.76678445229682,0.35335689045936397,0,0
W00006867,278,273,263,10,6,4,0,0,0,0,1,3,1,0,0,98.20143884892086,94.60431654676259,3.5971223021582732,2.158273381294964,1.4388489208633095,0,0,0,0,0.3597122302158274,1.079136690647482,0.3597122302158274,0,0
W00006772,342,339,312,26,3,22,1,0,1,1,0,3,0,0,0,99.12280701754386,91.22807017543859,7.602339181286549,0.8771929824561403,6.432748538011696,0.29239766081871343,0,0.29239766081871343,0.29239766081871343,0,0.8771929824561403,0,0,0
W00006773,354,351,344,7,3,4,0,0,0,0,0,3,0,0,0,99.15254237288136,97.17514124293785,1.977401129943503,0.847457627118644,1.1299435028248588,0,0,0,0,0,0.847457627118644,0,0,0
W00006785,263,253,249,4,3,1,0,0,0,0,1,9,0,0,0,96.1977186311787,94.67680608365019,1.520912547528517,1.1406844106463878,0.38022813688212925,0,0,0,0,0.38022813688212925,3.4220532319391634,0,0,0
W00006786,309,298,296,2,2,0,0,0,0,0,1,9,1,0,0,96.44012944983818,95.79288025889967,0.6472491909385114,0.6472491909385114,0,0,0,0,0,0.3236245954692557,2.912621359223301,0.3236245954692557,0,0
W00010299,198,190,186,4,2,2,0,0,0,0,1,3,1,3,0,95.95959595959596,93.93939393939394,2.0202020202020203,1.0101010101010102,1.0101010101010102,0,0,0,0,0.5050505050505051,1.5151515151515151,0.5050505050505051,1.5151515151515151,0
