OA,ts0670001,ts0670002,ts0670003,ts0670004,ts0670005,ts0670006,ts0670007,ts0670008,ts0670002_PCT,ts0670003_PCT,ts0670004_PCT,ts0670005_PCT,ts0670006_PCT,ts0670007_PCT,ts0670008_PCT
W00007757,251,74,20,53,9,51,39,5,29.482071713147413,7.968127490039841,21.115537848605577,3.5856573705179287,20.318725099601593,15.53784860557769,1.9920318725099602
W00007758,264,73,32,38,14,47,50,10,27.65151515151515,12.121212121212121,14.393939393939394,5.303030303030303,17.803030303030305,18.939393939393938,3.787878787878788
W00007759,231,79,31,24,17,34,42,4,34.1991341991342,13.41991341991342,10.38961038961039,7.35930735930736,14.71861471861472,18.181818181818183,1.7316017316017316
W00007760,260,61,34,50,15,49,43,8,23.46153846153846,13.076923076923078,19.230769230769234,5.769230769230769,18.846153846153847,16.538461538461537,3.076923076923077
W00007761,296,82,39,64,13,35,51,12,27.7027027027027,13.175675675675674,21.62162162162162,4.391891891891892,11.824324324324325,17.22972972972973,4.054054054054054
W00007762,282,64,29,45,20,49,67,8,22.69503546099291,10.28368794326241,15.957446808510639,7.092198581560284,17.375886524822697,23.75886524822695,2.8368794326241136
W00007763,281,50,21,36,23,56,86,9,17.793594306049823,7.473309608540925,12.811387900355871,8.185053380782918,19.9288256227758,30.604982206405694,3.202846975088968
W00007764,203,43,19,33,17,39,45,7,21.182266009852217,9.35960591133005,16.25615763546798,8.374384236453201,19.21182266009852,22.167487684729064,3.4482758620689653
W00007765,169,52,19,23,12,23,33,7,30.76923076923077,11.242603550295858,13.609467455621301,7.100591715976331,13.609467455621301,19.526627218934912,4.142011834319527
W00007766,418,64,34,56,23,92,141,8,15.311004784688995,8.133971291866029,13.397129186602871,5.502392344497608,22.00956937799043,33.73205741626794,1.9138755980861244
W00007767,277,51,27,45,20,50,76,8,18.4115523465704,9.747292418772563,16.24548736462094,7.2202166064981945,18.050541516245488,27.436823104693143,2.888086642599278
W00007768,238,44,42,26,8,42,68,8,18.487394957983195,17.647058823529413,10.92436974789916,3.361344537815126,17.647058823529413,28.57142857142857,3.361344537815126
W00007769,199,70,20,26,11,28,35,9,35.175879396984925,10.050251256281408,13.06532663316583,5.527638190954774,14.07035175879397,17.587939698492463,4.522613065326634
W00007770,290,49,23,53,18,56,84,7,16.896551724137932,7.931034482758621,18.275862068965516,6.206896551724138,19.310344827586206,28.965517241379313,2.413793103448276
W00007771,217,37,19,35,16,56,51,3,17.050691244239633,8.755760368663594,16.129032258064516,7.373271889400922,25.806451612903224,23.502304147465438,1.3824884792626728
W00007772,231,53,24,30,21,41,56,6,22.943722943722943,10.38961038961039,12.987012987012985,9.090909090909092,17.74891774891775,24.242424242424242,2.5974025974025974
W00007773,208,38,15,42,12,33,61,7,18.269230769230766,7.211538461538461,20.192307692307693,5.769230769230769,15.865384615384615,29.326923076923077,3.3653846153846154
W00007774,212,76,30,26,9,32,35,4,35.84905660377358,14.150943396226415,12.264150943396226,4.245283018867925,15.09433962264151,16.50943396226415,1.8867924528301887
W00007775,185,60,14,31,7,34,38,1,32.432432432432435,7.567567567567568,16.756756756756758,3.783783783783784,18.37837837837838,20.54054054054054,0.5405405405405406
W00007776,94,24,8,13,5,16,24,4,25.53191489361702,8.51063829787234,13.829787234042554,5.319148936170213,17.02127659574468,25.53191489361702,4.25531914893617
W00007777,211,40,24,33,19,38,51,6,18.95734597156398,11.374407582938389,15.639810426540285,9.004739336492891,18.009478672985782,24.170616113744074,2.843601895734597
W00007778,297,87,26,59,17,51,44,13,29.292929292929294,8.754208754208754,19.865319865319865,5.723905723905724,17.17171717171717,14.814814814814813,4.377104377104377
W00007779,226,36,22,31,13,53,62,9,15.929203539823009,9.734513274336283,13.716814159292035,5.752212389380531,23.451327433628318,27.43362831858407,3.982300884955752
W00007780,197,67,28,38,12,23,29,0,34.01015228426396,14.213197969543149,19.289340101522843,6.091370558375635,11.6751269035533,14.720812182741117,0
