OA,ts0540001,ts0540002,ts0540003,ts0540004,ts0540005,ts0540006,ts0540007,ts0540008,ts0540009,ts0540010,ts0540011,ts0540012,ts0540013,ts0540002_PCT,ts0540003_PCT,ts0540004_PCT,ts0540005_PCT,ts0540006_PCT,ts0540007_PCT,ts0540008_PCT,ts0540009_PCT,ts0540010_PCT,ts0540011_PCT,ts0540012_PCT,ts0540013_PCT
W00001861,187,155,95,60,1,1,4,2,2,27,22,5,0,82.88770053475936,50.80213903743316,32.085561497326204,0.53475935828877,0.53475935828877,2.13903743315508,1.06951871657754,1.06951871657754,14.43850267379679,11.76470588235294,2.6737967914438503,0
W00001862,122,90,42,48,1,1,0,0,0,31,29,2,0,73.77049180327869,34.42622950819672,39.34426229508197,0.819672131147541,0.819672131147541,0,0,0,25.40983606557377,23.770491803278688,1.639344262295082,0
W00001863,124,58,28,30,0,0,57,56,1,8,3,5,1,46.774193548387096,22.58064516129032,24.193548387096776,0,0,45.96774193548387,45.16129032258064,0.8064516129032258,6.451612903225806,2.4193548387096775,4.032258064516129,0.8064516129032258
W00001864,116,96,42,54,0,0,5,5,0,14,12,2,1,82.75862068965517,36.206896551724135,46.55172413793103,0,0,4.310344827586207,4.310344827586207,0,12.068965517241379,10.344827586206897,1.7241379310344827,0.8620689655172413
W00001866,185,121,56,65,0,0,34,25,9,29,28,1,1,65.4054054054054,30.270270270270274,35.13513513513514,0,0,18.37837837837838,13.513513513513514,4.864864864864865,15.675675675675677,15.135135135135137,0.5405405405405406,0.5405405405405406
W00001867,185,140,54,86,0,0,10,1,9,34,25,9,1,75.67567567567568,29.18918918918919,46.48648648648649,0,0,5.405405405405405,0.5405405405405406,4.864864864864865,18.37837837837838,13.513513513513514,4.864864864864865,0.5405405405405406
W00001868,100,44,24,20,0,0,43,42,1,11,8,3,2,44,24,20,0,0,43,42,1,11,8,3,2
W00001869,118,41,17,24,0,0,72,67,5,5,4,1,0,34.74576271186441,14.40677966101695,20.33898305084746,0,0,61.016949152542374,56.779661016949156,4.23728813559322,4.23728813559322,3.389830508474576,0.847457627118644,0
W00001870,141,87,32,55,0,0,30,29,1,24,21,3,0,61.702127659574465,22.69503546099291,39.00709219858156,0,0,21.27659574468085,20.56737588652482,0.7092198581560284,17.02127659574468,14.893617021276595,2.127659574468085,0
W00001871,129,61,29,32,0,0,56,56,0,12,9,3,0,47.286821705426355,22.48062015503876,24.8062015503876,0,0,43.41085271317829,43.41085271317829,0,9.30232558139535,6.976744186046512,2.3255813953488373,0
W00001872,111,39,23,16,0,0,9,3,6,62,58,4,1,35.13513513513514,20.72072072072072,14.414414414414415,0,0,8.108108108108109,2.7027027027027026,5.405405405405405,55.85585585585585,52.25225225225225,3.6036036036036037,0.9009009009009009
W00001874,130,78,54,24,0,0,35,16,19,17,13,4,0,60,41.53846153846154,18.461538461538463,0,0,26.923076923076923,12.307692307692308,14.615384615384617,13.076923076923078,10,3.076923076923077,0
W00001875,169,58,28,30,1,1,62,57,5,48,41,7,0,34.319526627218934,16.56804733727811,17.75147928994083,0.591715976331361,0.591715976331361,36.68639053254438,33.72781065088758,2.9585798816568047,28.402366863905325,24.2603550295858,4.142011834319527,0
W00001876,128,31,14,17,7,7,80,26,54,10,8,2,0,24.21875,10.9375,13.28125,5.46875,5.46875,62.5,20.3125,42.1875,7.8125,6.25,1.5625,0
W00001881,108,42,23,19,0,0,2,2,0,64,63,1,0,38.88888888888889,21.296296296296298,17.59259259259259,0,0,1.8518518518518516,1.8518518518518516,0,59.25925925925925,58.333333333333336,0.9259259259259258,0
W00001882,139,111,52,59,5,5,2,0,2,21,20,1,0,79.85611510791367,37.410071942446045,42.44604316546763,3.5971223021582732,3.5971223021582732,1.4388489208633095,0,1.4388489208633095,15.107913669064748,14.388489208633093,0.7194244604316548,0
