OA,ts0440001,ts0440002,ts0440003,ts0440004,ts0440005,ts0440006,ts0440007,ts0440008,ts0440009,ts0440002_PCT,ts0440003_PCT,ts0440004_PCT,ts0440005_PCT,ts0440006_PCT,ts0440007_PCT,ts0440008_PCT,ts0440009_PCT
E00023512,103,0,0,18,62,19,3,1,0,0,0,17.475728155339805,60.19417475728155,18.446601941747574,2.912621359223301,0.9708737864077669,0
E00023513,75,0,0,1,61,11,1,1,0,0,0,1.3333333333333335,81.33333333333333,14.666666666666666,1.3333333333333335,1.3333333333333335,0
E00023514,117,0,15,37,27,37,1,0,0,0,12.82051282051282,31.62393162393162,23.076923076923077,31.62393162393162,0.8547008547008548,0,0
E00023515,114,1,1,1,69,34,3,5,0,0.8771929824561403,0.8771929824561403,0.8771929824561403,60.526315789473685,29.82456140350877,2.631578947368421,4.385964912280701,0
E00023516,90,0,0,12,64,13,1,0,0,0,0,13.333333333333334,71.11111111111111,14.444444444444443,1.1111111111111112,0,0
E00023517,189,0,3,14,148,23,0,1,0,0,1.5873015873015872,7.4074074074074066,78.3068783068783,12.16931216931217,0,0.5291005291005291,0
E00023518,120,1,11,14,57,35,1,1,0,0.8333333333333334,9.166666666666666,11.666666666666666,47.5,29.166666666666668,0.8333333333333334,0.8333333333333334,0
E00023519,139,0,14,9,112,2,0,2,0,0,10.071942446043165,6.474820143884892,80.57553956834532,1.4388489208633095,0,1.4388489208633095,0
E00023520,111,0,0,0,103,6,1,1,0,0,0,0,92.7927927927928,5.405405405405405,0.9009009009009009,0.9009009009009009,0
E00023521,118,1,0,0,116,0,0,1,0,0.847457627118644,0,0,98.30508474576271,0,0,0.847457627118644,0
E00023522,150,0,0,0,147,2,0,1,0,0,0,0,98,1.3333333333333335,0,0.6666666666666667,0
E00023523,75,0,1,2,66,3,3,0,0,0,1.3333333333333335,2.666666666666667,88,4,4,0,0
E00023524,67,0,0,0,64,2,1,0,0,0,0,0,95.52238805970148,2.9850746268656714,1.4925373134328357,0,0
E00023525,99,0,1,24,70,4,0,0,0,0,1.0101010101010102,24.242424242424242,70.70707070707071,4.040404040404041,0,0,0
E00023526,129,0,0,3,107,17,2,0,0,0,0,2.3255813953488373,82.94573643410853,13.178294573643413,1.550387596899225,0,0
E00023527,180,0,4,18,100,43,3,12,0,0,2.2222222222222223,10,55.55555555555556,23.88888888888889,1.6666666666666667,6.666666666666667,0
E00023528,109,1,4,3,53,45,2,1,0,0.9174311926605505,3.669724770642202,2.7522935779816518,48.62385321100918,41.284403669724774,1.834862385321101,0.9174311926605505,0
E00023529,113,0,0,5,87,7,3,11,0,0,0,4.424778761061947,76.99115044247787,6.1946902654867255,2.6548672566371683,9.734513274336283,0
E00023532,114,0,0,0,110,2,0,2,0,0,0,0,96.49122807017544,1.7543859649122806,0,1.7543859649122806,0
E00023533,159,0,0,0,157,2,0,0,0,0,0,0,98.74213836477988,1.257861635220126,0,0,0
