OA,ts0230001,ts0230002,ts0230003,ts0230004,ts0230005,ts0230006,ts0230002_PCT,ts0230003_PCT,ts0230004_PCT,ts0230005_PCT,ts0230006_PCT
E00157386,138,55,61,1,12,9,39.85507246376812,44.20289855072464,0.7246376811594203,8.695652173913043,6.521739130434782
E00157387,131,56,63,1,9,2,42.74809160305343,48.091603053435115,0.7633587786259541,6.870229007633588,1.5267175572519083
E00157388,186,41,113,5,24,3,22.043010752688172,60.752688172043015,2.6881720430107525,12.903225806451612,1.6129032258064515
E00157389,167,22,122,2,19,2,13.17365269461078,73.05389221556887,1.1976047904191618,11.377245508982035,1.1976047904191618
E00157390,50,10,32,2,6,0,20,64,4,12,0
E00157391,138,35,88,2,12,1,25.36231884057971,63.76811594202898,1.4492753623188406,8.695652173913043,0.7246376811594203
E00157392,151,26,107,2,14,2,17.218543046357617,70.86092715231787,1.3245033112582782,9.271523178807946,1.3245033112582782
E00157393,107,26,76,0,4,1,24.299065420560748,71.02803738317756,0,3.7383177570093453,0.9345794392523363
E00157394,138,26,93,0,14,5,18.84057971014493,67.3913043478261,0,10.144927536231885,3.6231884057971016
E00157395,159,28,110,1,14,6,17.61006289308176,69.18238993710692,0.628930817610063,8.80503144654088,3.7735849056603774
E00157396,128,24,89,1,10,4,18.75,69.53125,0.78125,7.8125,3.125
E00157397,117,23,85,1,7,1,19.65811965811966,72.64957264957265,0.8547008547008548,5.982905982905983,0.8547008547008548
E00157398,112,14,95,0,3,0,12.5,84.82142857142857,0,2.6785714285714284,0
E00157399,116,23,78,0,11,4,19.82758620689655,67.24137931034483,0,9.482758620689655,3.4482758620689653
E00157400,113,43,63,2,4,1,38.05309734513274,55.75221238938053,1.7699115044247788,3.5398230088495577,0.8849557522123894
E00157401,156,29,120,0,5,2,18.58974358974359,76.92307692307693,0,3.205128205128205,1.282051282051282
E00157402,188,57,111,0,19,1,30.319148936170215,59.04255319148937,0,10.106382978723403,0.5319148936170213
E00157403,146,46,86,1,9,4,31.506849315068493,58.9041095890411,0.684931506849315,6.164383561643835,2.73972602739726
E00157404,125,51,64,1,9,0,40.8,51.2,0.8,7.199999999999999,0
E00157405,112,51,55,1,5,0,45.535714285714285,49.107142857142854,0.8928571428571428,4.464285714285714,0
E00157406,127,30,87,0,9,1,23.62204724409449,68.50393700787401,0,7.086614173228346,0.7874015748031495
E00157407,211,41,146,0,20,4,19.431279620853083,69.19431279620854,0,9.47867298578199,1.8957345971563981
