OA,ts0270001,ts0270002,ts0270003,ts0270004,ts0270005,ts0270006,ts0270007,ts0270008,ts0270009,ts0270010,ts0270011,ts0270012,ts0270013,ts0270014,ts0270015,ts0270016,ts0270017,ts0270018,ts0270019,ts0270020,ts0270002_PCT,ts0270003_PCT,ts0270004_PCT,ts0270005_PCT,ts0270006_PCT,ts0270007_PCT,ts0270008_PCT,ts0270009_PCT,ts0270010_PCT,ts0270011_PCT,ts0270012_PCT,ts0270013_PCT,ts0270014_PCT,ts0270015_PCT,ts0270016_PCT,ts0270017_PCT,ts0270018_PCT,ts0270019_PCT,ts0270020_PCT
W00005841,418,88,19,6,237,55,5,3,0,0,0,0,0,2,0,0,3,5,3,5,21.052631578947366,4.545454545454546,1.4354066985645932,56.698564593301434,13.157894736842104,1.1961722488038278,0.7177033492822966,0,0,0,0,0,0.4784688995215311,0,0,0.7177033492822966,1.1961722488038278,0.7177033492822966,1.1961722488038278
W00005842,357,65,27,5,182,43,9,4,0,0,0,0,0,5,3,0,12,11,15,11,18.207282913165265,7.563025210084033,1.400560224089636,50.98039215686274,12.044817927170868,2.5210084033613445,1.1204481792717087,0,0,0,0,0,1.400560224089636,0.8403361344537815,0,3.361344537815126,3.081232492997199,4.201680672268908,3.081232492997199
W00005843,417,94,54,14,188,48,9,3,2,0,0,0,0,4,2,0,3,5,5,5,22.54196642685851,12.949640287769784,3.357314148681055,45.08393285371702,11.510791366906476,2.158273381294964,0.7194244604316548,0.4796163069544364,0,0,0,0,0.9592326139088728,0.4796163069544364,0,0.7194244604316548,1.1990407673860912,1.1990407673860912,1.1990407673860912
W00005844,243,69,22,3,115,20,4,2,0,0,0,0,0,2,2,0,8,0,10,0,28.39506172839506,9.053497942386832,1.2345679012345678,47.325102880658434,8.23045267489712,1.646090534979424,0.823045267489712,0,0,0,0,0,0.823045267489712,0.823045267489712,0,3.292181069958848,0,4.11522633744856,0
W00005845,288,61,22,7,151,30,6,0,0,1,0,0,0,5,1,0,7,3,8,3,21.180555555555554,7.638888888888889,2.430555555555556,52.43055555555556,10.416666666666668,2.083333333333333,0,0,0.3472222222222222,0,0,0,1.7361111111111112,0.3472222222222222,0,2.430555555555556,1.0416666666666665,2.7777777777777777,1.0416666666666665
W00005846,237,28,27,5,137,32,7,6,0,1,0,0,0,0,0,0,1,0,1,0,11.814345991561181,11.39240506329114,2.109704641350211,57.80590717299579,13.502109704641349,2.9535864978902953,2.5316455696202533,0,0.42194092827004215,0,0,0,0,0,0,0.42194092827004215,0,0.42194092827004215,0
W00005847,543,121,65,26,254,48,5,1,1,0,0,0,0,3,3,1,13,7,16,8,22.283609576427256,11.970534069981584,4.788213627992634,46.77716390423573,8.83977900552486,0.9208103130755065,0.1841620626151013,0.1841620626151013,0,0,0,0,0.5524861878453038,0.5524861878453038,0.1841620626151013,2.394106813996317,1.289134438305709,2.9465930018416207,1.4732965009208103
W00005848,337,102,39,7,148,18,7,2,0,1,0,0,0,4,2,0,5,9,7,9,30.267062314540063,11.572700296735905,2.0771513353115725,43.916913946587535,5.341246290801187,2.0771513353115725,0.5934718100890208,0,0.2967359050445104,0,0,0,1.1869436201780417,0.5934718100890208,0,1.483679525222552,2.6706231454005933,2.0771513353115725,2.6706231454005933
W00005849,279,89,21,8,126,25,5,3,0,0,0,1,0,1,0,0,4,1,4,1,31.899641577060933,7.526881720430108,2.867383512544803,45.16129032258064,8.960573476702509,1.7921146953405016,1.0752688172043012,0,0,0,0.35842293906810035,0,0.35842293906810035,0,0,1.4336917562724014,0.35842293906810035,1.4336917562724014,0.35842293906810035
W00005850,323,70,20,14,179,31,3,0,0,0,0,0,0,3,0,0,3,3,3,3,21.671826625387,6.191950464396285,4.3343653250774,55.417956656346746,9.597523219814242,0.9287925696594427,0,0,0,0,0,0,0.9287925696594427,0,0,0.9287925696594427,0.9287925696594427,0.9287925696594427,0.9287925696594427
W00005851,274,75,22,4,141,21,8,4,0,1,0,0,0,3,1,0,2,0,3,0,27.37226277372263,8.02919708029197,1.4598540145985401,51.45985401459854,7.664233576642336,2.9197080291970803,1.4598540145985401,0,0.36496350364963503,0,0,0,1.094890510948905,0.36496350364963503,0,0.7299270072992701,0,1.094890510948905,0
W00005852,254,77,31,8,114,15,6,1,0,0,2,0,0,3,0,0,3,0,3,0,30.314960629921263,12.204724409448819,3.149606299212598,44.881889763779526,5.905511811023622,2.3622047244094486,0.39370078740157477,0,0,0.7874015748031495,0,0,1.1811023622047243,0,0,1.1811023622047243,0,1.1811023622047243,0
W00005853,218,41,20,5,118,17,6,2,0,0,0,0,0,4,1,4,4,2,5,6,18.807339449541285,9.174311926605505,2.293577981651376,54.12844036697248,7.79816513761468,2.7522935779816518,0.9174311926605505,0,0,0,0,0,1.834862385321101,0.45871559633027525,1.834862385321101,1.834862385321101,0.9174311926605505,2.293577981651376,2.7522935779816518
W00005854,286,71,16,4,162,20,4,2,0,1,0,0,0,1,2,0,5,2,7,2,24.825174825174827,5.594405594405594,1.3986013986013985,56.64335664335665,6.993006993006993,1.3986013986013985,0.6993006993006993,0,0.34965034965034963,0,0,0,0.34965034965034963,0.6993006993006993,0,1.7482517482517483,0.6993006993006993,2.4475524475524475,0.6993006993006993
W00005855,297,76,32,11,118,38,11,3,0,3,0,0,0,5,0,0,10,1,10,1,25.589225589225588,10.774410774410773,3.7037037037037033,39.73063973063973,12.794612794612794,3.7037037037037033,1.0101010101010102,0,1.0101010101010102,0,0,0,1.6835016835016834,0,0,3.3670033670033668,0.33670033670033667,3.3670033670033668,0.33670033670033667
W00005856,299,67,29,13,127,35,12,3,2,2,0,0,0,5,1,0,8,7,9,7,22.40802675585284,9.698996655518394,4.3478260869565215,42.474916387959865,11.705685618729097,4.013377926421405,1.0033444816053512,0.6688963210702341,0.6688963210702341,0,0,0,1.6722408026755853,0.33444816053511706,0,2.6755852842809364,2.341137123745819,3.0100334448160537,2.341137123745819
W00005857,168,27,26,2,89,19,5,4,0,0,0,0,0,1,0,0,0,0,0,0,16.071428571428573,15.476190476190476,1.1904761904761905,52.976190476190474,11.30952380952381,2.976190476190476,2.380952380952381,0,0,0,0,0,0.5952380952380952,0,0,0,0,0,0
W00005858,281,55,27,6,156,26,4,1,0,0,0,0,0,3,1,0,5,1,6,1,19.572953736654807,9.608540925266903,2.135231316725979,55.51601423487544,9.252669039145907,1.4234875444839856,0.3558718861209964,0,0,0,0,0,1.0676156583629894,0.3558718861209964,0,1.7793594306049825,0.3558718861209964,2.135231316725979,0.3558718861209964
W00005859,255,52,31,7,120,20,12,3,0,1,0,0,0,8,0,1,9,3,9,4,20.392156862745097,12.156862745098039,2.7450980392156863,47.05882352941176,7.8431372549019605,4.705882352941177,1.1764705882352942,0,0.39215686274509803,0,0,0,3.1372549019607843,0,0.39215686274509803,3.5294117647058822,1.1764705882352942,3.5294117647058822,1.5686274509803921
W00005860,260,71,24,3,135,11,2,1,0,0,0,0,0,1,1,0,6,7,7,7,27.307692307692307,9.230769230769232,1.153846153846154,51.92307692307693,4.230769230769231,0.7692307692307693,0.38461538461538464,0,0,0,0,0,0.38461538461538464,0.38461538461538464,0,2.307692307692308,2.6923076923076925,2.6923076923076925,2.6923076923076925
W00005861,220,60,20,7,108,22,1,1,0,0,0,0,0,0,0,0,2,0,2,0,27.27272727272727,9.090909090909092,3.1818181818181817,49.09090909090909,10,0.45454545454545453,0.45454545454545453,0,0,0,0,0,0,0,0,0.9090909090909091,0,0.9090909090909091,0
W00005863,228,75,16,13,95,17,5,0,0,0,0,0,0,5,0,0,7,0,7,0,32.89473684210527,7.017543859649122,5.701754385964912,41.66666666666667,7.456140350877193,2.1929824561403506,0,0,0,0,0,0,2.1929824561403506,0,0,3.070175438596491,0,3.070175438596491,0
W00005864,292,78,32,3,139,21,8,2,0,0,0,0,0,6,0,0,9,2,9,2,26.71232876712329,10.95890410958904,1.0273972602739725,47.6027397260274,7.191780821917808,2.73972602739726,0.684931506849315,0,0,0,0,0,2.054794520547945,0,0,3.0821917808219177,0.684931506849315,3.0821917808219177,0.684931506849315
W00005865,292,64,23,5,172,20,4,1,0,0,0,0,0,3,0,0,3,1,3,1,21.91780821917808,7.876712328767123,1.7123287671232876,58.9041095890411,6.8493150684931505,1.36986301369863,0.3424657534246575,0,0,0,0,0,1.0273972602739725,0,0,1.0273972602739725,0.3424657534246575,1.0273972602739725,0.3424657534246575
W00005866,304,74,37,4,168,10,8,5,1,0,0,0,0,2,0,0,3,0,3,0,24.342105263157894,12.171052631578947,1.3157894736842104,55.26315789473685,3.289473684210526,2.631578947368421,1.644736842105263,0.3289473684210526,0,0,0,0,0.6578947368421052,0,0,0.9868421052631579,0,0.9868421052631579,0
W00005867,284,83,31,6,140,13,4,2,1,0,0,0,0,1,0,0,3,4,3,4,29.225352112676056,10.915492957746478,2.112676056338028,49.29577464788733,4.577464788732395,1.4084507042253522,0.7042253521126761,0.35211267605633806,0,0,0,0,0.35211267605633806,0,0,1.056338028169014,1.4084507042253522,1.056338028169014,1.4084507042253522
W00005868,264,56,34,5,124,27,5,1,2,1,0,0,0,1,0,2,5,6,5,8,21.21212121212121,12.878787878787879,1.893939393939394,46.96969696969697,10.227272727272728,1.893939393939394,0.3787878787878788,0.7575757575757576,0.3787878787878788,0,0,0,0.3787878787878788,0,0.7575757575757576,1.893939393939394,2.272727272727273,1.893939393939394,3.0303030303030303
W00005869,258,102,25,3,91,19,8,3,0,2,2,0,0,1,2,4,3,1,5,5,39.53488372093023,9.689922480620156,1.1627906976744187,35.27131782945737,7.3643410852713185,3.10077519379845,1.1627906976744187,0,0.7751937984496124,0.7751937984496124,0,0,0.3875968992248062,0.7751937984496124,1.550387596899225,1.1627906976744187,0.3875968992248062,1.937984496124031,1.937984496124031
W00005870,308,61,20,5,189,17,9,2,0,2,0,0,0,5,0,0,5,2,5,2,19.805194805194805,6.493506493506493,1.6233766233766231,61.36363636363637,5.51948051948052,2.922077922077922,0.6493506493506493,0,0.6493506493506493,0,0,0,1.6233766233766231,0,0,1.6233766233766231,0.6493506493506493,1.6233766233766231,0.6493506493506493
W00005871,277,62,25,6,151,17,10,7,0,0,0,0,0,3,0,0,1,5,1,5,22.382671480144403,9.025270758122744,2.166064981949458,54.51263537906137,6.137184115523466,3.6101083032490973,2.527075812274368,0,0,0,0,0,1.083032490974729,0,0,0.36101083032490977,1.8050541516245486,0.36101083032490977,1.8050541516245486
W00005872,228,45,15,4,129,23,7,6,1,0,0,0,0,0,2,0,0,3,2,3,19.736842105263158,6.578947368421052,1.7543859649122806,56.57894736842105,10.087719298245613,3.070175438596491,2.631578947368421,0.43859649122807015,0,0,0,0,0,0.8771929824561403,0,0,1.3157894736842104,0.8771929824561403,1.3157894736842104
W00005873,349,91,59,15,138,13,20,5,1,3,2,0,0,9,1,0,9,3,10,3,26.07449856733524,16.9054441260745,4.297994269340974,39.541547277936964,3.7249283667621778,5.730659025787966,1.4326647564469914,0.28653295128939826,0.8595988538681949,0.5730659025787965,0,0,2.5787965616045847,0.28653295128939826,0,2.5787965616045847,0.8595988538681949,2.865329512893983,0.8595988538681949
W00005874,238,66,23,6,106,20,2,0,0,0,0,0,0,2,2,0,13,0,15,0,27.73109243697479,9.663865546218489,2.5210084033613445,44.537815126050425,8.403361344537815,0.8403361344537815,0,0,0,0,0,0,0.8403361344537815,0.8403361344537815,0,5.46218487394958,0,6.302521008403361,0
W00005875,277,66,22,4,149,26,4,2,0,0,0,0,0,2,2,0,4,0,6,0,23.826714801444044,7.9422382671480145,1.444043321299639,53.79061371841155,9.386281588447654,1.444043321299639,0.7220216606498195,0,0,0,0,0,0.7220216606498195,0.7220216606498195,0,1.444043321299639,0,2.166064981949458,0
W00005876,226,67,31,5,84,21,9,5,1,0,0,0,0,3,0,0,5,4,5,4,29.646017699115045,13.716814159292035,2.2123893805309733,37.16814159292036,9.29203539823009,3.982300884955752,2.2123893805309733,0.4424778761061947,0,0,0,0,1.3274336283185841,0,0,2.2123893805309733,1.7699115044247788,2.2123893805309733,1.7699115044247788
W00005878,516,127,30,6,290,43,6,0,0,1,0,0,0,5,2,0,8,4,10,4,24.612403100775193,5.813953488372093,1.1627906976744187,56.201550387596896,8.333333333333332,1.1627906976744187,0,0,0.1937984496124031,0,0,0,0.9689922480620154,0.3875968992248062,0,1.550387596899225,0.7751937984496124,1.937984496124031,0.7751937984496124
W00005879,479,117,33,2,271,49,4,4,0,0,0,0,0,0,1,0,1,1,2,1,24.4258872651357,6.8893528183716075,0.41753653444676403,56.57620041753654,10.22964509394572,0.8350730688935281,0.8350730688935281,0,0,0,0,0,0,0.20876826722338201,0,0.20876826722338201,0.20876826722338201,0.41753653444676403,0.20876826722338201
W00005880,233,66,19,4,108,26,5,4,1,0,0,0,0,0,1,0,4,0,5,0,28.32618025751073,8.15450643776824,1.7167381974248928,46.3519313304721,11.158798283261802,2.1459227467811157,1.7167381974248928,0.4291845493562232,0,0,0,0,0,0.4291845493562232,0,1.7167381974248928,0,2.1459227467811157,0
W00005881,174,33,14,4,96,15,8,5,0,2,0,0,0,1,1,0,2,1,3,1,18.96551724137931,8.045977011494253,2.2988505747126435,55.172413793103445,8.620689655172415,4.597701149425287,2.8735632183908044,0,1.1494252873563218,0,0,0,0.5747126436781609,0.5747126436781609,0,1.1494252873563218,0.5747126436781609,1.7241379310344827,0.5747126436781609
W00005882,385,67,19,9,240,30,9,1,2,0,1,0,0,5,1,0,4,6,5,6,17.402597402597404,4.935064935064935,2.3376623376623376,62.33766233766234,7.792207792207792,2.3376623376623376,0.2597402597402597,0.5194805194805194,0,0.2597402597402597,0,0,1.2987012987012987,0.2597402597402597,0,1.0389610389610389,1.5584415584415585,1.2987012987012987,1.5584415584415585
W00005883,526,175,37,7,211,72,7,4,0,3,0,0,0,0,1,3,7,6,8,9,33.26996197718631,7.0342205323193925,1.3307984790874523,40.11406844106464,13.688212927756654,1.3307984790874523,0.7604562737642585,0,0.5703422053231939,0,0,0,0,0.19011406844106463,0.5703422053231939,1.3307984790874523,1.1406844106463878,1.520912547528517,1.7110266159695817
W00005884,306,53,8,14,177,34,6,3,0,0,0,0,0,3,2,0,6,6,8,6,17.320261437908496,2.6143790849673203,4.57516339869281,57.84313725490197,11.11111111111111,1.9607843137254901,0.9803921568627451,0,0,0,0,0,0.9803921568627451,0.6535947712418301,0,1.9607843137254901,1.9607843137254901,2.6143790849673203,1.9607843137254901
W00005885,335,117,20,6,116,44,14,3,1,0,0,0,0,10,0,0,14,4,14,4,34.92537313432836,5.970149253731343,1.791044776119403,34.626865671641795,13.134328358208954,4.179104477611941,0.8955223880597015,0.2985074626865672,0,0,0,0,2.9850746268656714,0,0,4.179104477611941,1.1940298507462688,4.179104477611941,1.1940298507462688
W00005886,227,65,16,4,98,24,6,3,0,1,0,0,0,2,2,0,8,4,10,4,28.634361233480178,7.048458149779736,1.762114537444934,43.17180616740088,10.572687224669604,2.643171806167401,1.3215859030837005,0,0.4405286343612335,0,0,0,0.881057268722467,0.881057268722467,0,3.524229074889868,1.762114537444934,4.405286343612335,1.762114537444934
