OA,ts0190001,ts0190002,ts0190003,ts0190004,ts0190005,ts0190002_PCT,ts0190003_PCT,ts0190004_PCT,ts0190005_PCT
E00092915,334,305,1,28,0,91.31736526946108,0.29940119760479045,8.383233532934131,0
E00092918,266,260,0,5,1,97.74436090225564,0,1.8796992481203008,0.37593984962406013
E00092925,275,265,1,9,0,96.36363636363636,0.36363636363636365,3.272727272727273,0
E00184579,389,306,0,83,0,78.66323907455013,0,21.336760925449873,0
E00184605,257,226,2,29,0,87.93774319066148,0.7782101167315175,11.284046692607005,0
E00092916,289,266,0,21,2,92.04152249134948,0,7.26643598615917,0.6920415224913495
E00092919,252,225,1,25,1,89.28571428571429,0.3968253968253968,9.920634920634921,0.3968253968253968
E00092921,431,387,1,41,2,89.79118329466357,0.23201856148491878,9.51276102088167,0.46403712296983757
E00092924,329,308,0,19,2,93.61702127659575,0,5.775075987841945,0.60790273556231
E00092927,264,251,0,13,0,95.07575757575758,0,4.924242424242424,0
E00092920,299,284,1,14,0,94.98327759197325,0.33444816053511706,4.682274247491638,0
E00092922,306,275,0,31,0,89.86928104575163,0,10.130718954248366,0
E00092923,299,267,0,30,2,89.29765886287625,0,10.033444816053512,0.6688963210702341
E00092926,335,301,0,34,0,89.8507462686567,0,10.149253731343283,0
E00092929,493,448,1,42,2,90.87221095334685,0.2028397565922921,8.519269776876268,0.4056795131845842
E00092928,275,265,0,10,0,96.36363636363636,0,3.6363636363636362,0
E00092930,392,370,3,15,4,94.38775510204081,0.7653061224489796,3.826530612244898,1.0204081632653061
E00092931,333,326,2,5,0,97.8978978978979,0.6006006006006006,1.5015015015015014,0
E00184559,478,439,1,38,0,91.84100418410041,0.20920502092050208,7.949790794979079,0
E00184589,322,297,0,25,0,92.2360248447205,0,7.763975155279502,0
E00092966,308,294,1,13,0,95.45454545454545,0.3246753246753247,4.220779220779221,0
E00092969,332,318,1,13,0,95.78313253012048,0.30120481927710846,3.91566265060241,0
E00092970,431,411,0,20,0,95.35962877030161,0,4.640371229698376,0
E00092971,349,325,1,23,0,93.12320916905445,0.28653295128939826,6.59025787965616,0
E00092974,247,217,0,26,4,87.85425101214574,0,10.526315789473683,1.6194331983805668
E00092967,395,352,2,40,1,89.1139240506329,0.5063291139240507,10.126582278481013,0.25316455696202533
E00092972,311,244,0,62,5,78.45659163987139,0,19.935691318327976,1.607717041800643
E00092973,269,226,2,41,0,84.01486988847584,0.7434944237918215,15.241635687732341,0
E00092975,408,380,0,28,0,93.13725490196079,0,6.862745098039216,0
E00092977,279,262,2,15,0,93.9068100358423,0.7168458781362007,5.376344086021505,0
E00092976,167,149,0,18,0,89.22155688622755,0,10.778443113772456,0
E00092978,285,272,0,13,0,95.43859649122807,0,4.56140350877193,0
E00092980,265,243,0,22,0,91.69811320754717,0,8.30188679245283,0
E00092981,238,230,1,7,0,96.63865546218487,0.42016806722689076,2.941176470588235,0
E00092983,263,240,0,20,3,91.25475285171103,0,7.604562737642586,1.1406844106463878
E00092985,266,251,2,13,0,94.3609022556391,0.7518796992481203,4.887218045112782,0
E00092968,295,277,0,16,2,93.89830508474576,0,5.423728813559322,0.6779661016949152
E00092979,272,257,1,14,0,94.48529411764706,0.3676470588235294,5.147058823529411,0
E00092982,352,329,1,21,1,93.4659090909091,0.2840909090909091,5.965909090909091,0.2840909090909091
E00092984,287,268,0,19,0,93.37979094076655,0,6.620209059233449,0
E00092948,297,275,0,22,0,92.5925925925926,0,7.4074074074074066,0
E00092954,290,266,1,18,5,91.72413793103448,0.3448275862068966,6.206896551724138,1.7241379310344827
E00092956,393,359,0,33,1,91.34860050890585,0,8.396946564885496,0.2544529262086514
E00092958,228,215,0,13,0,94.2982456140351,0,5.701754385964912,0
E00184581,204,192,0,12,0,94.11764705882352,0,5.88235294117647,0
E00184591,386,326,0,56,4,84.4559585492228,0,14.507772020725387,1.0362694300518136
E00184606,531,454,2,74,1,85.49905838041431,0.3766478342749529,13.93596986817326,0.18832391713747645
