OA,ts0610001,ts0610002,ts0610003,ts0610004,ts0610005,ts0610006,ts0610007,ts0610008,ts0610009,ts0610010,ts0610011,ts0610012,ts0610002_PCT,ts0610003_PCT,ts0610004_PCT,ts0610005_PCT,ts0610006_PCT,ts0610007_PCT,ts0610008_PCT,ts0610009_PCT,ts0610010_PCT,ts0610011_PCT,ts0610012_PCT
E00067145,147,48,0,0,0,0,0,86,3,2,8,0,32.6530612244898,0,0,0,0,0,58.50340136054422,2.0408163265306123,1.3605442176870748,5.442176870748299,0
E00067146,182,52,0,2,2,2,1,104,2,3,10,4,28.57142857142857,0,1.098901098901099,1.098901098901099,1.098901098901099,0.5494505494505495,57.14285714285714,1.098901098901099,1.6483516483516485,5.4945054945054945,2.197802197802198
E00067147,196,32,0,1,1,1,2,138,8,5,7,1,16.3265306122449,0,0.5102040816326531,0.5102040816326531,0.5102040816326531,1.0204081632653061,70.40816326530613,4.081632653061225,2.5510204081632653,3.571428571428571,0.5102040816326531
E00067148,181,40,0,0,2,0,0,129,3,2,5,0,22.099447513812155,0,0,1.1049723756906076,0,0,71.27071823204419,1.6574585635359116,1.1049723756906076,2.7624309392265194,0
E00067149,177,37,0,2,1,0,1,124,3,3,5,1,20.903954802259886,0,1.1299435028248588,0.5649717514124294,0,0.5649717514124294,70.05649717514125,1.694915254237288,1.694915254237288,2.824858757062147,0.5649717514124294
E00067150,202,33,0,0,0,0,0,148,10,0,8,3,16.33663366336634,0,0,0,0,0,73.26732673267327,4.9504950495049505,0,3.9603960396039604,1.4851485148514851
E00067151,155,44,0,0,1,0,2,91,6,2,8,1,28.387096774193548,0,0,0.6451612903225806,0,1.2903225806451613,58.70967741935483,3.870967741935484,1.2903225806451613,5.161290322580645,0.6451612903225806
E00067152,171,28,0,1,0,0,1,120,7,3,9,2,16.374269005847953,0,0.5847953216374269,0,0,0.5847953216374269,70.17543859649122,4.093567251461988,1.7543859649122806,5.263157894736842,1.1695906432748537
E00067153,132,13,0,0,3,0,1,82,8,2,21,2,9.848484848484848,0,0,2.272727272727273,0,0.7575757575757576,62.121212121212125,6.0606060606060606,1.5151515151515151,15.909090909090908,1.5151515151515151
E00067154,135,16,0,3,0,2,0,87,8,5,13,1,11.851851851851853,0,2.2222222222222223,0,1.4814814814814816,0,64.44444444444444,5.9259259259259265,3.7037037037037033,9.62962962962963,0.7407407407407408
E00067155,139,30,0,1,0,0,0,91,5,2,6,4,21.58273381294964,0,0.7194244604316548,0,0,0,65.46762589928058,3.5971223021582732,1.4388489208633095,4.316546762589928,2.877697841726619
E00067157,135,24,0,0,0,2,1,91,5,2,9,1,17.77777777777778,0,0,0,1.4814814814814816,0.7407407407407408,67.4074074074074,3.7037037037037033,1.4814814814814816,6.666666666666667,0.7407407407407408
E00067159,166,17,0,1,1,0,2,126,11,3,5,0,10.240963855421686,0,0.6024096385542169,0.6024096385542169,0,1.2048192771084338,75.90361445783132,6.626506024096386,1.8072289156626504,3.0120481927710845,0
E00067160,136,47,1,1,3,1,1,78,0,1,3,0,34.55882352941176,0.7352941176470588,0.7352941176470588,2.2058823529411766,0.7352941176470588,0.7352941176470588,57.35294117647059,0,0.7352941176470588,2.2058823529411766,0
E00067161,210,44,0,0,4,2,2,136,12,1,6,3,20.952380952380953,0,0,1.9047619047619049,0.9523809523809524,0.9523809523809524,64.76190476190476,5.714285714285714,0.4761904761904762,2.857142857142857,1.4285714285714286
E00067162,172,43,0,1,1,0,1,102,6,4,12,2,25,0,0.5813953488372093,0.5813953488372093,0,0.5813953488372093,59.30232558139535,3.488372093023256,2.3255813953488373,6.976744186046512,1.1627906976744187
E00067163,146,25,0,0,0,0,0,106,7,1,4,3,17.123287671232877,0,0,0,0,0,72.6027397260274,4.794520547945205,0.684931506849315,2.73972602739726,2.054794520547945
E00067164,62,17,0,0,1,0,1,36,4,0,3,0,27.419354838709676,0,0,1.6129032258064515,0,1.6129032258064515,58.06451612903226,6.451612903225806,0,4.838709677419355,0
E00067165,144,40,0,0,0,0,1,96,0,0,4,3,27.77777777777778,0,0,0,0,0.6944444444444444,66.66666666666666,0,0,2.7777777777777777,2.083333333333333
E00067166,63,24,0,0,0,0,0,35,0,0,4,0,38.095238095238095,0,0,0,0,0,55.55555555555556,0,0,6.349206349206349,0
E00067167,130,32,0,0,1,0,2,87,0,3,4,1,24.615384615384617,0,0,0.7692307692307693,0,1.5384615384615385,66.92307692307692,0,2.307692307692308,3.076923076923077,0.7692307692307693
E00067168,140,33,0,0,0,0,0,100,0,0,6,1,23.57142857142857,0,0,0,0,0,71.42857142857143,0,0,4.285714285714286,0.7142857142857143
E00067169,148,5,0,0,11,1,1,85,18,13,11,3,3.3783783783783785,0,0,7.4324324324324325,0.6756756756756757,0.6756756756756757,57.432432432432435,12.162162162162163,8.783783783783784,7.4324324324324325,2.027027027027027
E00067170,147,13,0,0,1,0,0,77,12,18,25,1,8.843537414965986,0,0,0.6802721088435374,0,0,52.38095238095239,8.16326530612245,12.244897959183673,17.006802721088434,0.6802721088435374
E00067171,156,18,0,0,2,0,0,97,10,6,19,4,11.538461538461538,0,0,1.282051282051282,0,0,62.17948717948718,6.41025641025641,3.8461538461538463,12.179487179487179,2.564102564102564
E00067172,82,8,1,0,6,1,1,31,11,8,15,0,9.75609756097561,1.2195121951219512,0,7.317073170731707,1.2195121951219512,1.2195121951219512,37.80487804878049,13.414634146341465,9.75609756097561,18.29268292682927,0
E00067173,179,19,0,1,1,0,1,88,19,15,34,1,10.614525139664805,0,0.5586592178770949,0.5586592178770949,0,0.5586592178770949,49.162011173184354,10.614525139664805,8.379888268156424,18.994413407821227,0.5586592178770949
E00067174,157,15,0,0,1,0,1,93,10,11,24,2,9.554140127388536,0,0,0.6369426751592357,0,0.6369426751592357,59.23566878980891,6.369426751592357,7.006369426751593,15.286624203821656,1.2738853503184715
E00067175,181,14,0,0,4,2,0,111,9,13,24,4,7.734806629834254,0,0,2.209944751381215,1.1049723756906076,0,61.32596685082873,4.972375690607735,7.18232044198895,13.259668508287293,2.209944751381215
E00067176,183,10,0,2,7,1,1,90,27,13,31,1,5.46448087431694,0,1.092896174863388,3.825136612021858,0.546448087431694,0.546448087431694,49.18032786885246,14.754098360655737,7.103825136612022,16.939890710382514,0.546448087431694
E00067177,182,22,0,1,0,0,0,111,7,12,28,1,12.087912087912088,0,0.5494505494505495,0,0,0,60.98901098901099,3.8461538461538463,6.593406593406594,15.384615384615385,0.5494505494505495
