OA,ts0500001,ts0500002,ts0500003,ts0500004,ts0500005,ts0500002_PCT,ts0500003_PCT,ts0500004_PCT,ts0500005_PCT
W00008067,139,1,4,53,81,0.7194244604316548,2.877697841726619,38.1294964028777,58.27338129496403
W00008068,57,14,16,15,12,24.561403508771928,28.07017543859649,26.31578947368421,21.052631578947366
W00008069,113,1,11,71,30,0.8849557522123894,9.734513274336283,62.83185840707964,26.548672566371685
W00008070,156,27,15,62,52,17.307692307692307,9.615384615384617,39.743589743589745,33.33333333333333
W00008071,99,3,36,40,20,3.0303030303030303,36.36363636363637,40.4040404040404,20.2020202020202
W00008072,132,17,18,87,10,12.878787878787879,13.636363636363635,65.9090909090909,7.575757575757576
W00008073,128,23,36,63,6,17.96875,28.125,49.21875,4.6875
W00008074,124,22,67,26,9,17.741935483870968,54.03225806451613,20.967741935483872,7.258064516129033
W00008075,134,3,28,53,50,2.2388059701492535,20.8955223880597,39.55223880597015,37.3134328358209
W00008076,142,3,19,68,52,2.112676056338028,13.380281690140844,47.88732394366197,36.61971830985916
W00008077,134,3,34,75,22,2.2388059701492535,25.37313432835821,55.970149253731336,16.417910447761194
W00008078,125,3,20,54,48,2.4,16,43.2,38.4
W00008079,173,7,26,73,67,4.046242774566474,15.028901734104046,42.19653179190752,38.72832369942196
W00008080,193,6,25,76,86,3.1088082901554404,12.953367875647666,39.37823834196891,44.559585492227974
W00008081,145,12,30,42,61,8.275862068965518,20.689655172413794,28.965517241379313,42.06896551724138
W00008082,135,9,19,37,70,6.666666666666667,14.074074074074074,27.40740740740741,51.85185185185185
W00008083,153,1,18,46,88,0.6535947712418301,11.76470588235294,30.065359477124183,57.51633986928104
W00008084,172,4,12,58,98,2.3255813953488373,6.976744186046512,33.72093023255814,56.97674418604651
W00008085,111,7,1,89,14,6.306306306306306,0.9009009009009009,80.18018018018019,12.612612612612612
W00008086,119,1,6,79,33,0.8403361344537815,5.042016806722689,66.38655462184873,27.73109243697479
W00008087,125,13,2,99,11,10.4,1.6,79.2,8.799999999999999
W00008088,135,11,92,29,3,8.148148148148149,68.14814814814815,21.48148148148148,2.2222222222222223
W00008089,117,4,16,87,10,3.418803418803419,13.675213675213676,74.35897435897436,8.547008547008547
W00008090,138,0,5,40,93,0,3.6231884057971016,28.985507246376812,67.3913043478261
W00008091,136,0,7,36,93,0,5.147058823529411,26.47058823529412,68.38235294117648
W00008092,144,11,13,36,84,7.638888888888889,9.027777777777777,25,58.333333333333336
W00008093,86,1,12,34,39,1.1627906976744187,13.953488372093023,39.53488372093023,45.348837209302324
W00008094,129,0,4,27,98,0,3.10077519379845,20.930232558139537,75.96899224806202
W00008096,184,34,47,59,44,18.478260869565215,25.543478260869566,32.065217391304344,23.91304347826087
W00008097,148,35,72,21,20,23.64864864864865,48.64864864864865,14.18918918918919,13.513513513513514
W00008099,135,3,16,53,63,2.2222222222222223,11.851851851851853,39.25925925925926,46.666666666666664
W00008100,140,11,23,73,33,7.857142857142857,16.428571428571427,52.142857142857146,23.57142857142857
W00008101,143,27,50,40,26,18.88111888111888,34.96503496503497,27.972027972027973,18.181818181818183
W00008102,162,39,28,81,14,24.074074074074073,17.28395061728395,50,8.641975308641975
W00008103,139,3,13,75,48,2.158273381294964,9.352517985611511,53.956834532374096,34.53237410071942
W00008104,153,40,72,28,13,26.143790849673206,47.05882352941176,18.30065359477124,8.49673202614379
W00008105,162,1,54,89,18,0.6172839506172839,33.33333333333333,54.93827160493827,11.11111111111111
W00008106,139,2,19,55,63,1.4388489208633095,13.66906474820144,39.568345323741006,45.32374100719424
W00008107,112,0,9,81,22,0,8.035714285714286,72.32142857142857,19.642857142857142
W00008108,122,13,18,46,45,10.655737704918032,14.754098360655737,37.704918032786885,36.885245901639344
W00008109,121,6,21,34,60,4.958677685950414,17.355371900826448,28.09917355371901,49.586776859504134
W00008110,118,3,23,33,59,2.5423728813559325,19.491525423728813,27.966101694915253,50
W00008111,122,2,10,49,61,1.639344262295082,8.19672131147541,40.16393442622951,50
W00008112,197,26,39,79,53,13.19796954314721,19.796954314720814,40.10152284263959,26.903553299492383
W00008113,118,14,1,95,8,11.864406779661017,0.847457627118644,80.50847457627118,6.779661016949152
W00008114,103,0,6,80,17,0,5.825242718446602,77.66990291262135,16.50485436893204
W00008115,120,8,17,82,13,6.666666666666667,14.166666666666666,68.33333333333333,10.833333333333334
W00008116,125,28,37,42,18,22.400000000000002,29.599999999999998,33.6,14.399999999999999
