OA,ts0020001,ts0020002,ts0020003,ts0020004,ts0020005,ts0020006,ts0020007,ts0020008,ts0020009,ts0020010,ts0020011,ts0020012,ts0020013,ts0020014,ts0020015,ts0020016,ts0020017,ts0020018,ts0020002_PCT,ts0020003_PCT,ts0020004_PCT,ts0020005_PCT,ts0020006_PCT,ts0020007_PCT,ts0020008_PCT,ts0020009_PCT,ts0020010_PCT,ts0020011_PCT,ts0020012_PCT,ts0020013_PCT,ts0020014_PCT,ts0020015_PCT,ts0020016_PCT,ts0020017_PCT,ts0020018_PCT
E00111389,257,83,127,127,127,0,0,0,0,2,2,0,26,26,0,19,19,0,32.295719844357976,49.416342412451364,49.416342412451364,49.416342412451364,0,0,0,0,0.7782101167315175,0.7782101167315175,0,10.116731517509727,10.116731517509727,0,7.392996108949417,7.392996108949417,0
E00111393,258,67,138,136,136,0,2,0,2,3,3,0,26,26,0,24,24,0,25.968992248062015,53.48837209302325,52.71317829457365,52.71317829457365,0,0.7751937984496124,0,0.7751937984496124,1.1627906976744187,1.1627906976744187,0,10.077519379844961,10.077519379844961,0,9.30232558139535,9.30232558139535,0
E00111394,307,108,138,134,128,6,4,0,4,2,2,0,35,35,0,24,24,0,35.17915309446254,44.951140065146575,43.648208469055376,41.69381107491857,1.9543973941368076,1.3029315960912053,0,1.3029315960912053,0.6514657980456027,0.6514657980456027,0,11.400651465798045,11.400651465798045,0,7.81758957654723,7.81758957654723,0
E00111395,220,84,84,84,83,1,0,0,0,5,5,0,33,33,0,14,14,0,38.18181818181819,38.18181818181819,38.18181818181819,37.72727272727273,0.45454545454545453,0,0,0,2.272727272727273,2.272727272727273,0,15,15,0,6.363636363636363,6.363636363636363,0
E00111397,215,49,115,115,115,0,0,0,0,7,7,0,24,23,1,20,20,0,22.790697674418606,53.48837209302325,53.48837209302325,53.48837209302325,0,0,0,0,3.255813953488372,3.255813953488372,0,11.162790697674419,10.69767441860465,0.46511627906976744,9.30232558139535,9.30232558139535,0
E00111499,220,87,96,96,96,0,0,0,0,9,9,0,21,21,0,7,7,0,39.54545454545455,43.63636363636363,43.63636363636363,43.63636363636363,0,0,0,0,4.090909090909091,4.090909090909091,0,9.545454545454547,9.545454545454547,0,3.1818181818181817,3.1818181818181817,0
E00111503,245,63,117,117,117,0,0,0,0,5,5,0,24,24,0,36,36,0,25.71428571428571,47.755102040816325,47.755102040816325,47.755102040816325,0,0,0,0,2.0408163265306123,2.0408163265306123,0,9.795918367346939,9.795918367346939,0,14.69387755102041,14.69387755102041,0
E00111513,246,70,140,140,140,0,0,0,0,2,2,0,22,22,0,12,12,0,28.455284552845526,56.91056910569105,56.91056910569105,56.91056910569105,0,0,0,0,0.8130081300813009,0.8130081300813009,0,8.94308943089431,8.94308943089431,0,4.878048780487805,4.878048780487805,0
E00111517,292,94,159,157,157,0,2,0,2,5,5,0,20,20,0,14,14,0,32.19178082191781,54.45205479452054,53.76712328767124,53.76712328767124,0,0.684931506849315,0,0.684931506849315,1.7123287671232876,1.7123287671232876,0,6.8493150684931505,6.8493150684931505,0,4.794520547945205,4.794520547945205,0
E00111519,239,51,112,110,110,0,2,0,2,10,10,0,41,41,0,25,25,0,21.338912133891213,46.86192468619247,46.02510460251046,46.02510460251046,0,0.8368200836820083,0,0.8368200836820083,4.184100418410042,4.184100418410042,0,17.154811715481173,17.154811715481173,0,10.460251046025103,10.460251046025103,0
E00111511,253,89,116,116,116,0,0,0,0,8,8,0,19,19,0,21,21,0,35.177865612648226,45.8498023715415,45.8498023715415,45.8498023715415,0,0,0,0,3.1620553359683794,3.1620553359683794,0,7.5098814229249005,7.5098814229249005,0,8.300395256916996,8.300395256916996,0
E00111515,288,145,106,106,106,0,0,0,0,6,6,0,24,24,0,7,7,0,50.34722222222222,36.80555555555556,36.80555555555556,36.80555555555556,0,0,0,0,2.083333333333333,2.083333333333333,0,8.333333333333332,8.333333333333332,0,2.430555555555556,2.430555555555556,0
E00111516,220,99,74,74,74,0,0,0,0,5,5,0,31,31,0,11,11,0,45,33.63636363636363,33.63636363636363,33.63636363636363,0,0,0,0,2.272727272727273,2.272727272727273,0,14.09090909090909,14.09090909090909,0,5,5,0
E00180509,146,37,46,46,46,0,0,0,0,5,5,0,20,20,0,38,37,1,25.34246575342466,31.506849315068493,31.506849315068493,31.506849315068493,0,0,0,0,3.4246575342465753,3.4246575342465753,0,13.698630136986301,13.698630136986301,0,26.027397260273972,25.34246575342466,0.684931506849315
