OA,ts0400001,ts0400002,ts0400003,ts0400004,ts0400002_PCT,ts0400003_PCT,ts0400004_PCT
W00007240,149,97,41,11,65.1006711409396,27.516778523489933,7.38255033557047
W00007241,132,79,37,16,59.84848484848485,28.030303030303028,12.121212121212121
W00007242,158,87,56,15,55.06329113924051,35.44303797468354,9.49367088607595
W00007243,116,67,33,16,57.758620689655174,28.448275862068968,13.793103448275861
W00007244,159,95,42,22,59.74842767295597,26.41509433962264,13.836477987421384
W00007245,117,71,38,8,60.68376068376068,32.47863247863248,6.837606837606838
W00007246,121,69,42,10,57.02479338842975,34.710743801652896,8.264462809917356
W00007247,141,87,44,10,61.702127659574465,31.20567375886525,7.092198581560284
W00007248,148,87,50,11,58.78378378378378,33.78378378378378,7.4324324324324325
W00007249,140,92,36,12,65.71428571428571,25.71428571428571,8.571428571428571
W00007250,134,70,48,16,52.23880597014925,35.82089552238806,11.940298507462686
W00007251,134,90,32,12,67.16417910447761,23.88059701492537,8.955223880597014
W00007252,134,69,45,20,51.49253731343284,33.582089552238806,14.925373134328357
W00007253,111,51,56,4,45.94594594594595,50.45045045045045,3.6036036036036037
W00007254,161,78,64,19,48.4472049689441,39.75155279503105,11.801242236024844
W00007256,116,67,41,8,57.758620689655174,35.3448275862069,6.896551724137931
W00007257,82,24,50,8,29.268292682926827,60.97560975609756,9.75609756097561
W00007258,132,69,54,9,52.27272727272727,40.909090909090914,6.8181818181818175
W00007259,157,93,47,17,59.23566878980891,29.936305732484076,10.828025477707007
W00007261,119,47,58,14,39.49579831932773,48.739495798319325,11.76470588235294
W00007262,106,65,31,10,61.32075471698113,29.245283018867923,9.433962264150944
W00007263,114,48,54,12,42.10526315789473,47.368421052631575,10.526315789473683
W00007264,143,98,32,13,68.53146853146853,22.377622377622377,9.090909090909092
W00007265,111,49,51,11,44.14414414414414,45.94594594594595,9.90990990990991
W00007266,154,79,63,12,51.298701298701296,40.909090909090914,7.792207792207792
W00007267,139,79,51,9,56.83453237410072,36.69064748201439,6.474820143884892
W00007268,138,72,46,20,52.17391304347826,33.33333333333333,14.492753623188406
W00007269,143,90,38,15,62.93706293706294,26.573426573426573,10.48951048951049
W00007270,173,95,60,18,54.91329479768786,34.68208092485549,10.404624277456648
W00007271,137,86,36,15,62.77372262773723,26.277372262773724,10.948905109489052
W00007272,166,87,62,17,52.40963855421686,37.34939759036144,10.240963855421686
W00007273,125,73,38,14,58.4,30.4,11.200000000000001
W00007274,112,67,31,14,59.82142857142857,27.67857142857143,12.5
W00007275,154,93,48,13,60.3896103896104,31.16883116883117,8.441558441558442
W00007276,125,66,38,21,52.800000000000004,30.4,16.8
W00007277,185,129,44,12,69.72972972972973,23.783783783783786,6.486486486486487
W00007278,129,70,47,12,54.263565891472865,36.434108527131784,9.30232558139535
W00007279,171,111,45,15,64.91228070175438,26.31578947368421,8.771929824561402
W00007280,158,110,34,14,69.62025316455697,21.518987341772153,8.860759493670885
W00007281,190,122,48,20,64.21052631578948,25.263157894736842,10.526315789473683
W00007282,129,76,41,12,58.91472868217055,31.782945736434108,9.30232558139535
W00007284,131,77,34,20,58.778625954198475,25.954198473282442,15.267175572519085
W00007285,130,85,34,11,65.38461538461539,26.153846153846157,8.461538461538462
W00007286,154,113,29,12,73.37662337662337,18.83116883116883,7.792207792207792
W00007287,137,79,40,18,57.66423357664233,29.1970802919708,13.138686131386862
W00007288,139,80,41,18,57.55395683453237,29.496402877697843,12.949640287769784
W00007289,135,64,44,27,47.40740740740741,32.592592592592595,20
W00007290,237,157,56,24,66.24472573839662,23.628691983122362,10.126582278481013
W00007291,162,93,55,14,57.407407407407405,33.95061728395062,8.641975308641975
W00007292,114,72,32,10,63.1578947368421,28.07017543859649,8.771929824561402
W00007293,186,111,50,25,59.67741935483871,26.881720430107524,13.440860215053762
W00007294,118,70,33,15,59.32203389830508,27.966101694915253,12.711864406779661
W00007295,155,106,36,13,68.38709677419355,23.225806451612904,8.38709677419355
W00007296,117,69,42,6,58.97435897435898,35.8974358974359,5.128205128205128
W00007297,143,72,55,16,50.349650349650354,38.46153846153847,11.188811188811188
W00007298,119,62,41,16,52.10084033613446,34.45378151260504,13.445378151260504
W00007299,122,76,38,8,62.295081967213115,31.147540983606557,6.557377049180328
W00007300,157,75,54,28,47.77070063694268,34.394904458598724,17.8343949044586
W00007301,114,56,46,12,49.122807017543856,40.35087719298245,10.526315789473683
W00007302,116,54,48,14,46.55172413793103,41.37931034482759,12.068965517241379
W00007303,125,75,33,17,60,26.400000000000002,13.600000000000001
W00007304,106,73,22,11,68.86792452830188,20.754716981132077,10.377358490566039
W00007305,123,60,42,21,48.78048780487805,34.146341463414636,17.073170731707318
W00007306,128,86,31,11,67.1875,24.21875,8.59375
W00007307,180,88,65,27,48.888888888888886,36.11111111111111,15
W00007308,113,81,25,7,71.68141592920354,22.123893805309734,6.1946902654867255
W00007309,128,97,25,6,75.78125,19.53125,4.6875
W00007310,112,61,32,19,54.46428571428571,28.57142857142857,16.964285714285715
W00007311,117,53,50,14,45.2991452991453,42.73504273504273,11.965811965811966
