OA,ts0210001,ts0210002,ts0210003,ts0210004,ts0210005,ts0210006,ts0210007,ts0210008,ts0210009,ts0210010,ts0210011,ts0210012,ts0210013,ts0210014,ts0210015,ts0210016,ts0210017,ts0210018,ts0210019,ts0210020,ts0210021,ts0210022,ts0210023,ts0210024,ts0210025,ts0210002_PCT,ts0210003_PCT,ts0210004_PCT,ts0210005_PCT,ts0210006_PCT,ts0210007_PCT,ts0210008_PCT,ts0210009_PCT,ts0210010_PCT,ts0210011_PCT,ts0210012_PCT,ts0210013_PCT,ts0210014_PCT,ts0210015_PCT,ts0210016_PCT,ts0210017_PCT,ts0210018_PCT,ts0210019_PCT,ts0210020_PCT,ts0210021_PCT,ts0210022_PCT,ts0210023_PCT,ts0210024_PCT,ts0210025_PCT
W00007052,228,5,0,1,0,0,4,0,0,0,0,6,2,1,1,2,217,216,0,0,0,1,0,0,0,2.1929824561403506,0,0.43859649122807015,0,0,1.7543859649122806,0,0,0,0,2.631578947368421,0.8771929824561403,0.43859649122807015,0.43859649122807015,0.8771929824561403,95.17543859649122,94.73684210526315,0,0,0,0.43859649122807015,0,0,0
W00007053,328,9,0,3,5,0,1,0,0,0,0,6,2,0,2,2,312,312,0,0,0,0,1,0,1,2.7439024390243905,0,0.9146341463414633,1.524390243902439,0,0.3048780487804878,0,0,0,0,1.8292682926829267,0.6097560975609756,0,0.6097560975609756,0.6097560975609756,95.1219512195122,95.1219512195122,0,0,0,0,0.3048780487804878,0,0.3048780487804878
W00007054,262,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,261,252,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.38167938931297707,0,0,0,0.38167938931297707,99.61832061068702,96.18320610687023,0,0,0,3.435114503816794,0,0,0
W00007055,359,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,357,356,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5571030640668524,0,0,0.2785515320334262,0.2785515320334262,99.44289693593315,99.16434540389972,0,0,0,0.2785515320334262,0,0,0
W00007056,338,1,0,0,0,0,1,1,0,1,0,3,3,0,0,0,333,320,0,0,0,13,0,0,0,0.2958579881656805,0,0,0,0,0.2958579881656805,0.2958579881656805,0,0.2958579881656805,0,0.8875739644970414,0.8875739644970414,0,0,0,98.5207100591716,94.67455621301775,0,0,0,3.8461538461538463,0,0,0
W00007057,313,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,311,304,1,0,0,6,0,0,0,0.3194888178913738,0,0.3194888178913738,0,0,0,0,0,0,0,0.3194888178913738,0.3194888178913738,0,0,0,99.36102236421725,97.12460063897763,0.3194888178913738,0,0,1.9169329073482428,0,0,0
W00007058,297,12,0,1,0,2,9,0,0,0,0,0,0,0,0,0,283,269,3,0,0,11,2,0,2,4.040404040404041,0,0.33670033670033667,0,0.6734006734006733,3.0303030303030303,0,0,0,0,0,0,0,0,0,95.28619528619528,90.57239057239057,1.0101010101010102,0,0,3.7037037037037033,0.6734006734006733,0,0.6734006734006733
W00007059,283,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,282,281,0,0,0,1,0,0,0,0.35335689045936397,0,0,0,0,0.35335689045936397,0,0,0,0,0,0,0,0,0,99.64664310954063,99.29328621908127,0,0,0,0.35335689045936397,0,0,0
W00007060,496,14,0,11,0,0,3,4,4,0,0,14,7,2,0,5,463,446,0,0,0,17,1,0,1,2.82258064516129,0,2.217741935483871,0,0,0.6048387096774194,0.8064516129032258,0.8064516129032258,0,0,2.82258064516129,1.411290322580645,0.4032258064516129,0,1.0080645161290323,93.34677419354838,89.91935483870968,0,0,0,3.4274193548387095,0.20161290322580644,0,0.20161290322580644
W00007061,260,8,0,8,0,0,0,0,0,0,0,1,1,0,0,0,250,249,0,0,0,1,1,0,1,3.076923076923077,0,3.076923076923077,0,0,0,0,0,0,0,0.38461538461538464,0.38461538461538464,0,0,0,96.15384615384616,95.76923076923077,0,0,0,0.38461538461538464,0.38461538461538464,0,0.38461538461538464
W00007062,309,1,0,0,0,0,1,0,0,0,0,2,0,0,2,0,306,301,0,0,0,5,0,0,0,0.3236245954692557,0,0,0,0,0.3236245954692557,0,0,0,0,0.6472491909385114,0,0,0.6472491909385114,0,99.02912621359224,97.41100323624595,0,0,0,1.6181229773462782,0,0,0
W00007063,304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,304,292,1,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,96.05263157894737,0.3289473684210526,0,0,3.618421052631579,0,0,0
W00007064,326,1,0,0,1,0,0,1,0,1,0,5,1,1,3,0,315,308,0,0,0,7,4,0,4,0.3067484662576687,0,0,0.3067484662576687,0,0,0.3067484662576687,0,0.3067484662576687,0,1.5337423312883436,0.3067484662576687,0.3067484662576687,0.9202453987730062,0,96.62576687116564,94.47852760736197,0,0,0,2.147239263803681,1.2269938650306749,0,1.2269938650306749
W00007065,244,2,0,0,2,0,0,0,0,0,0,1,1,0,0,0,240,232,1,0,0,7,1,0,1,0.819672131147541,0,0,0.819672131147541,0,0,0,0,0,0,0.4098360655737705,0.4098360655737705,0,0,0,98.36065573770492,95.08196721311475,0.4098360655737705,0,0,2.8688524590163933,0.4098360655737705,0,0.4098360655737705
W00007066,307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,307,304,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,99.0228013029316,0,0,0,0.9771986970684038,0,0,0
W00007067,492,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,489,482,1,0,0,6,0,0,0,0.6097560975609756,0,0.6097560975609756,0,0,0,0,0,0,0,0,0,0,0,0,99.39024390243902,97.96747967479675,0.20325203252032523,0,0,1.2195121951219512,0,0,0
W00007068,314,1,0,0,0,0,1,3,0,2,1,0,0,0,0,0,310,295,1,0,0,14,0,0,0,0.3184713375796179,0,0,0,0,0.3184713375796179,0.9554140127388535,0,0.6369426751592357,0.3184713375796179,0,0,0,0,0,98.72611464968153,93.94904458598727,0.3184713375796179,0,0,4.45859872611465,0,0,0
W00007069,289,15,0,4,6,4,1,0,0,0,0,0,0,0,0,0,274,272,0,0,0,2,0,0,0,5.190311418685121,0,1.384083044982699,2.0761245674740483,1.384083044982699,0.34602076124567477,0,0,0,0,0,0,0,0,0,94.80968858131487,94.11764705882352,0,0,0,0.6920415224913495,0,0,0
W00007070,299,5,0,0,0,5,0,1,0,0,1,3,0,0,0,3,290,290,0,0,0,0,0,0,0,1.6722408026755853,0,0,0,1.6722408026755853,0,0.33444816053511706,0,0,0.33444816053511706,1.0033444816053512,0,0,0,1.0033444816053512,96.98996655518395,96.98996655518395,0,0,0,0,0,0,0
W00007071,220,1,0,1,0,0,0,3,1,2,0,5,1,2,0,2,210,209,0,0,0,1,1,0,1,0.45454545454545453,0,0.45454545454545453,0,0,0,1.3636363636363635,0.45454545454545453,0.9090909090909091,0,2.272727272727273,0.45454545454545453,0.9090909090909091,0,0.9090909090909091,95.45454545454545,95,0,0,0,0.45454545454545453,0.45454545454545453,0,0.45454545454545453
W00007072,240,6,0,0,4,2,0,0,0,0,0,0,0,0,0,0,234,226,0,0,0,8,0,0,0,2.5,0,0,1.6666666666666667,0.8333333333333334,0,0,0,0,0,0,0,0,0,0,97.5,94.16666666666667,0,0,0,3.3333333333333335,0,0,0
W00007073,327,5,0,0,0,0,5,0,0,0,0,4,1,0,2,1,318,316,1,0,0,1,0,0,0,1.529051987767584,0,0,0,0,1.529051987767584,0,0,0,0,1.2232415902140672,0.3058103975535168,0,0.6116207951070336,0.3058103975535168,97.24770642201835,96.63608562691131,0.3058103975535168,0,0,0.3058103975535168,0,0,0
W00007074,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,249,246,0,0,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.6,98.4,0,0,0,1.2,0.4,0,0.4
W00007075,315,0,0,0,0,0,0,0,0,0,0,3,1,1,1,0,312,312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9523809523809524,0.31746031746031744,0.31746031746031744,0.31746031746031744,0,99.04761904761905,99.04761904761905,0,0,0,0,0,0,0
W00007076,300,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,297,297,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,99,99,0,0,0,0,0,0,0
W00007077,269,1,0,0,0,0,1,0,0,0,0,2,2,0,0,0,266,265,1,0,0,0,0,0,0,0.37174721189591076,0,0,0,0,0.37174721189591076,0,0,0,0,0.7434944237918215,0.7434944237918215,0,0,0,98.88475836431226,98.51301115241635,0.37174721189591076,0,0,0,0,0,0
W00007078,269,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,268,266,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37174721189591076,0,0.37174721189591076,0,0,99.62825278810409,98.88475836431226,0.37174721189591076,0,0,0.37174721189591076,0,0,0
W00007079,362,3,0,2,0,0,1,2,1,0,1,2,0,0,1,1,355,348,1,0,3,3,0,0,0,0.8287292817679558,0,0.5524861878453038,0,0,0.2762430939226519,0.5524861878453038,0.2762430939226519,0,0.2762430939226519,0.5524861878453038,0,0,0.2762430939226519,0.2762430939226519,98.06629834254143,96.13259668508287,0.2762430939226519,0,0.8287292817679558,0.8287292817679558,0,0,0
W00007080,325,9,0,4,0,3,2,0,0,0,0,4,0,0,3,1,312,299,0,0,3,10,0,0,0,2.769230769230769,0,1.2307692307692308,0,0.9230769230769231,0.6153846153846154,0,0,0,0,1.2307692307692308,0,0,0.9230769230769231,0.3076923076923077,96,92,0,0,0.9230769230769231,3.076923076923077,0,0,0
W00007081,244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,244,241,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,98.77049180327869,0.4098360655737705,0,0,0.819672131147541,0,0,0
W00007082,275,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,272,271,1,0,0,0,1,0,1,0.7272727272727273,0,0.36363636363636365,0,0,0.36363636363636365,0,0,0,0,0,0,0,0,0,98.9090909090909,98.54545454545455,0.36363636363636365,0,0,0,0.36363636363636365,0,0.36363636363636365
W00007083,354,0,0,0,0,0,0,0,0,0,0,15,1,4,10,0,339,337,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4.23728813559322,0.2824858757062147,1.1299435028248588,2.824858757062147,0,95.76271186440678,95.19774011299435,0,0,0,0.5649717514124294,0,0,0
W00007084,258,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,256,256,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3875968992248062,0,0,0.3875968992248062,0.3875968992248062,0,0,0.3875968992248062,0,99.2248062015504,99.2248062015504,0,0,0,0,0,0,0
W00007085,255,3,0,0,1,0,2,0,0,0,0,4,4,0,0,0,248,245,0,0,0,3,0,0,0,1.1764705882352942,0,0,0.39215686274509803,0,0.7843137254901961,0,0,0,0,1.5686274509803921,1.5686274509803921,0,0,0,97.25490196078431,96.07843137254902,0,0,0,1.1764705882352942,0,0,0
W00007086,245,8,0,3,2,1,2,1,1,0,0,2,2,0,0,0,234,232,0,0,0,2,0,0,0,3.2653061224489797,0,1.2244897959183674,0.8163265306122449,0.40816326530612246,0.8163265306122449,0.40816326530612246,0.40816326530612246,0,0,0.8163265306122449,0.8163265306122449,0,0,0,95.51020408163265,94.6938775510204,0,0,0,0.8163265306122449,0,0,0
W00007087,255,0,0,0,0,0,0,0,0,0,0,3,1,0,0,2,252,243,2,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1764705882352942,0.39215686274509803,0,0,0.7843137254901961,98.82352941176471,95.29411764705881,0.7843137254901961,0,0,2.7450980392156863,0,0,0
