OA,ts0500001,ts0500002,ts0500003,ts0500004,ts0500005,ts0500002_PCT,ts0500003_PCT,ts0500004_PCT,ts0500005_PCT
E00092804,119,0,7,42,70,0,5.88235294117647,35.294117647058826,58.82352941176471
E00092806,89,0,12,44,33,0,13.48314606741573,49.43820224719101,37.07865168539326
E00092807,178,6,21,51,100,3.3707865168539324,11.797752808988763,28.651685393258425,56.17977528089888
E00092808,79,1,11,31,36,1.2658227848101267,13.924050632911392,39.24050632911392,45.56962025316456
E00092809,223,4,17,69,133,1.7937219730941705,7.623318385650224,30.94170403587444,59.64125560538116
E00092811,145,3,21,81,40,2.0689655172413794,14.482758620689657,55.86206896551724,27.586206896551722
E00092813,129,47,24,52,6,36.434108527131784,18.6046511627907,40.310077519379846,4.651162790697675
E00092815,106,1,34,68,3,0.9433962264150944,32.075471698113205,64.15094339622641,2.8301886792452833
E00092816,126,0,4,57,65,0,3.1746031746031744,45.23809523809524,51.587301587301596
E00092817,124,0,11,48,65,0,8.870967741935484,38.70967741935484,52.41935483870967
E00092818,127,6,37,70,14,4.724409448818897,29.133858267716533,55.118110236220474,11.023622047244094
E00092820,112,0,19,60,33,0,16.964285714285715,53.57142857142857,29.464285714285715
E00092821,120,7,24,84,5,5.833333333333333,20,70,4.166666666666666
E00092822,123,0,40,69,14,0,32.52032520325203,56.09756097560976,11.38211382113821
E00092823,228,23,79,79,47,10.087719298245613,34.64912280701755,34.64912280701755,20.614035087719298
E00092825,121,32,57,27,5,26.446280991735538,47.107438016528924,22.31404958677686,4.132231404958678
E00092826,127,19,56,42,10,14.960629921259844,44.09448818897638,33.07086614173229,7.874015748031496
E00092827,204,0,31,46,127,0,15.196078431372548,22.54901960784314,62.254901960784316
E00092828,150,51,62,24,13,34,41.333333333333336,16,8.666666666666668
E00092829,135,5,77,44,9,3.7037037037037033,57.03703703703704,32.592592592592595,6.666666666666667
E00092830,173,20,58,59,36,11.560693641618498,33.52601156069364,34.104046242774565,20.809248554913296
E00092831,110,1,10,75,24,0.9090909090909091,9.090909090909092,68.18181818181817,21.818181818181817
E00092832,112,7,65,37,3,6.25,58.03571428571429,33.035714285714285,2.6785714285714284
E00092833,160,19,35,54,52,11.875,21.875,33.75,32.5
E00092835,128,9,33,81,5,7.03125,25.78125,63.28125,3.90625
E00092836,122,8,49,60,5,6.557377049180328,40.16393442622951,49.18032786885246,4.098360655737705
