OA,ts0660001,ts0660002,ts0660003,ts0660004,ts0660005,ts0660006,ts0660007,ts0660008,ts0660009,ts0660010,ts0660011,ts0660012,ts0660013,ts0660014,ts0660015,ts0660016,ts0660017,ts0660018,ts0660019,ts0660020,ts0660021,ts0660022,ts0660023,ts0660024,ts0660025,ts0660026,ts0660027,ts0660028,ts0660029,ts0660030,ts0660031,ts0660002_PCT,ts0660003_PCT,ts0660004_PCT,ts0660005_PCT,ts0660006_PCT,ts0660007_PCT,ts0660008_PCT,ts0660009_PCT,ts0660010_PCT,ts0660011_PCT,ts0660012_PCT,ts0660013_PCT,ts0660014_PCT,ts0660015_PCT,ts0660016_PCT,ts0660017_PCT,ts0660018_PCT,ts0660019_PCT,ts0660020_PCT,ts0660021_PCT,ts0660022_PCT,ts0660023_PCT,ts0660024_PCT,ts0660025_PCT,ts0660026_PCT,ts0660027_PCT,ts0660028_PCT,ts0660029_PCT,ts0660030_PCT,ts0660031_PCT
E00111831,224,146,145,119,32,87,2,1,1,24,10,14,1,3,3,3,2,1,0,0,0,0,0,0,0,75,51,3,10,4,7,65.17857142857143,64.73214285714286,53.125,14.285714285714285,38.839285714285715,0.8928571428571428,0.4464285714285714,0.4464285714285714,10.714285714285714,4.464285714285714,6.25,0.4464285714285714,1.3392857142857142,1.3392857142857142,1.3392857142857142,0.8928571428571428,0.4464285714285714,0,0,0,0,0,0,0,33.482142857142854,22.767857142857142,1.3392857142857142,4.464285714285714,1.7857142857142856,3.125
E00111832,253,181,178,160,45,115,1,1,0,17,8,9,3,4,3,3,3,0,0,0,0,0,0,0,1,68,52,5,7,3,1,71.54150197628458,70.35573122529645,63.24110671936759,17.786561264822133,45.45454545454545,0.3952569169960474,0.3952569169960474,0,6.719367588932807,3.1620553359683794,3.557312252964427,1.185770750988142,1.5810276679841897,1.185770750988142,1.185770750988142,1.185770750988142,0,0,0,0,0,0,0,0.3952569169960474,26.877470355731226,20.55335968379447,1.9762845849802373,2.766798418972332,1.185770750988142,0.3952569169960474
E00111833,216,138,137,116,28,88,1,0,1,20,8,12,1,5,4,4,3,1,0,0,0,0,0,0,1,73,50,5,7,8,3,63.888888888888886,63.42592592592593,53.70370370370371,12.962962962962962,40.74074074074074,0.4629629629629629,0,0.4629629629629629,9.25925925925926,3.7037037037037033,5.555555555555555,0.4629629629629629,2.314814814814815,1.8518518518518516,1.8518518518518516,1.3888888888888888,0.4629629629629629,0,0,0,0,0,0,0.4629629629629629,33.7962962962963,23.14814814814815,2.314814814814815,3.2407407407407405,3.7037037037037033,1.3888888888888888
E00111834,224,162,157,138,37,101,4,3,1,15,7,8,5,3,3,3,3,0,0,0,0,0,0,0,0,59,36,6,12,1,4,72.32142857142857,70.08928571428571,61.60714285714286,16.517857142857142,45.089285714285715,1.7857142857142856,1.3392857142857142,0.4464285714285714,6.696428571428571,3.125,3.571428571428571,2.232142857142857,1.3392857142857142,1.3392857142857142,1.3392857142857142,1.3392857142857142,0,0,0,0,0,0,0,0,26.339285714285715,16.071428571428573,2.6785714285714284,5.357142857142857,0.4464285714285714,1.7857142857142856
E00111835,206,107,106,89,28,61,3,0,3,14,7,7,1,3,1,1,1,0,0,0,0,0,0,0,2,96,65,4,13,8,6,51.94174757281553,51.45631067961165,43.203883495145625,13.592233009708737,29.61165048543689,1.4563106796116505,0,1.4563106796116505,6.796116504854369,3.3980582524271843,3.3980582524271843,0.48543689320388345,1.4563106796116505,0.48543689320388345,0.48543689320388345,0.48543689320388345,0,0,0,0,0,0,0,0.9708737864077669,46.601941747572816,31.55339805825243,1.9417475728155338,6.310679611650485,3.8834951456310676,2.912621359223301
E00111837,187,98,89,74,24,50,1,1,0,14,6,8,9,3,2,1,1,0,0,0,0,1,0,1,1,86,40,9,14,17,6,52.406417112299465,47.593582887700535,39.57219251336899,12.834224598930483,26.737967914438503,0.53475935828877,0.53475935828877,0,7.4866310160427805,3.2085561497326207,4.27807486631016,4.81283422459893,1.6042780748663104,1.06951871657754,0.53475935828877,0.53475935828877,0,0,0,0,0.53475935828877,0,0.53475935828877,0.53475935828877,45.98930481283423,21.390374331550802,4.81283422459893,7.4866310160427805,9.090909090909092,3.2085561497326207
E00111838,274,156,151,124,33,91,5,0,5,22,8,14,5,5,5,5,5,0,0,0,0,0,0,0,0,113,70,11,15,13,4,56.934306569343065,55.1094890510949,45.25547445255474,12.043795620437956,33.21167883211679,1.824817518248175,0,1.824817518248175,8.02919708029197,2.9197080291970803,5.109489051094891,1.824817518248175,1.824817518248175,1.824817518248175,1.824817518248175,1.824817518248175,0,0,0,0,0,0,0,0,41.24087591240876,25.547445255474454,4.014598540145985,5.474452554744526,4.744525547445255,1.4598540145985401
E00111839,249,138,135,98,36,62,6,0,6,31,13,18,3,2,2,2,2,0,0,0,0,0,0,0,0,109,81,8,6,5,9,55.42168674698795,54.21686746987952,39.3574297188755,14.457831325301203,24.899598393574294,2.4096385542168677,0,2.4096385542168677,12.449799196787147,5.220883534136546,7.228915662650602,1.2048192771084338,0.8032128514056224,0.8032128514056224,0.8032128514056224,0.8032128514056224,0,0,0,0,0,0,0,0,43.77510040160642,32.53012048192771,3.2128514056224895,2.4096385542168677,2.0080321285140563,3.614457831325301
E00111840,189,97,97,81,19,62,2,0,2,14,3,11,0,6,5,5,5,0,0,0,0,0,0,0,1,86,53,8,6,14,5,51.32275132275132,51.32275132275132,42.857142857142854,10.052910052910052,32.804232804232804,1.0582010582010581,0,1.0582010582010581,7.4074074074074066,1.5873015873015872,5.82010582010582,0,3.1746031746031744,2.6455026455026456,2.6455026455026456,2.6455026455026456,0,0,0,0,0,0,0,0.5291005291005291,45.5026455026455,28.04232804232804,4.232804232804233,3.1746031746031744,7.4074074074074066,2.6455026455026456
E00111841,233,86,86,72,26,46,1,1,0,13,3,10,0,7,5,5,5,0,0,0,0,0,0,0,2,140,128,4,6,2,0,36.9098712446352,36.9098712446352,30.90128755364807,11.158798283261802,19.742489270386265,0.4291845493562232,0.4291845493562232,0,5.579399141630901,1.2875536480686696,4.291845493562231,0,3.004291845493562,2.1459227467811157,2.1459227467811157,2.1459227467811157,0,0,0,0,0,0,0,0.8583690987124464,60.08583690987125,54.93562231759657,1.7167381974248928,2.575107296137339,0.8583690987124464,0
E00111842,254,134,132,105,33,72,4,1,3,23,10,13,2,4,3,3,3,0,0,0,0,0,0,0,1,116,96,9,2,5,4,52.75590551181102,51.96850393700787,41.338582677165356,12.992125984251967,28.346456692913385,1.574803149606299,0.39370078740157477,1.1811023622047243,9.05511811023622,3.937007874015748,5.118110236220472,0.7874015748031495,1.574803149606299,1.1811023622047243,1.1811023622047243,1.1811023622047243,0,0,0,0,0,0,0,0.39370078740157477,45.66929133858268,37.79527559055118,3.543307086614173,0.7874015748031495,1.968503937007874,1.574803149606299
