OA,ts0170001,ts0170002,ts0170003,ts0170004,ts0170005,ts0170006,ts0170007,ts0170008,ts0170009,ts0170010,ts0170002_PCT,ts0170003_PCT,ts0170004_PCT,ts0170005_PCT,ts0170006_PCT,ts0170007_PCT,ts0170008_PCT,ts0170009_PCT,ts0170010_PCT
W00008418,107,0,26,38,25,12,5,1,0,0,0,24.299065420560748,35.51401869158878,23.364485981308412,11.214953271028037,4.672897196261682,0.9345794392523363,0,0
W00008420,123,0,28,42,27,17,6,2,1,0,0,22.76422764227642,34.146341463414636,21.951219512195124,13.821138211382115,4.878048780487805,1.6260162601626018,0.8130081300813009,0
W00008434,139,0,56,41,23,13,3,1,0,2,0,40.28776978417266,29.496402877697843,16.546762589928058,9.352517985611511,2.158273381294964,0.7194244604316548,0,1.4388489208633095
W00008414,130,0,41,32,32,14,6,2,0,3,0,31.538461538461537,24.615384615384617,24.615384615384617,10.76923076923077,4.615384615384616,1.5384615384615385,0,2.307692307692308
W00008416,105,0,38,27,21,12,6,0,1,0,0,36.19047619047619,25.71428571428571,20,11.428571428571429,5.714285714285714,0,0.9523809523809524,0
W00008417,97,0,22,34,20,15,4,2,0,0,0,22.68041237113402,35.051546391752574,20.618556701030926,15.463917525773196,4.123711340206185,2.0618556701030926,0,0
W00008432,121,0,39,29,31,14,4,3,0,1,0,32.231404958677686,23.96694214876033,25.6198347107438,11.570247933884298,3.3057851239669422,2.479338842975207,0,0.8264462809917356
W00008435,123,0,51,28,28,13,3,0,0,0,0,41.46341463414634,22.76422764227642,22.76422764227642,10.569105691056912,2.4390243902439024,0,0,0
W00008421,106,0,42,28,16,14,3,3,0,0,0,39.62264150943396,26.41509433962264,15.09433962264151,13.20754716981132,2.8301886792452833,2.8301886792452833,0,0
W00008422,115,0,37,30,19,14,12,2,0,1,0,32.17391304347826,26.08695652173913,16.52173913043478,12.173913043478262,10.434782608695652,1.7391304347826086,0,0.8695652173913043
W00008424,140,0,30,41,40,19,7,3,0,0,0,21.428571428571427,29.28571428571429,28.57142857142857,13.571428571428571,5,2.142857142857143,0,0
W00010518,103,0,24,33,17,21,7,1,0,0,0,23.300970873786408,32.038834951456316,16.50485436893204,20.388349514563107,6.796116504854369,0.9708737864077669,0,0
W00010520,117,0,25,35,30,18,5,4,0,0,0,21.367521367521366,29.914529914529915,25.64102564102564,15.384615384615385,4.273504273504273,3.418803418803419,0,0
W00010608,111,0,33,48,17,11,2,0,0,0,0,29.72972972972973,43.24324324324324,15.315315315315313,9.90990990990991,1.8018018018018018,0,0,0
W00008411,130,0,58,35,20,13,3,0,0,1,0,44.61538461538462,26.923076923076923,15.384615384615385,10,2.307692307692308,0,0,0.7692307692307693
W00008425,122,0,27,49,21,18,6,1,0,0,0,22.131147540983605,40.16393442622951,17.21311475409836,14.754098360655737,4.918032786885246,0.819672131147541,0,0
